0,1,2,3,4,5,6,7,8,9
1,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,5500,6500,6000,19 Oct 2024
2,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,5650,6725,6725,18 Oct 2024
3,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,5725,6100,5910,11 Nov 2024
4,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,5876,6585,6585,23 Oct 2024
5,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,6050,7025,7025,20 Sep 2024
6,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,6100,6100,6100,05 Nov 2024
7,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,6195,6300,6240,06 Nov 2024
8,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,6330,6405,6370,04 Nov 2024
9,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,6505,6505,6505,14 Oct 2024
10,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,6789,6789,6789,08 Oct 2024
11,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,6800,6800,6800,09 Oct 2024
12,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,6905,6905,6905,21 Sep 2024
13,Ujjain,Mahidpur(F&V),Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,7250,7250,7250,27 Sep 2024
