0,1,2,3,4,5,6,7,8,9
1,Beawar,Jaitaran,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,5400,5400,5400,14 Sep 2017
2,Kekri,Kekri,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4680,5200,4970,03 Oct 2017
3,Jodhpur Rural,Pipar City,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4000,4400,4200,14 Apr 2018
4,Jodhpur Rural,Pipar City,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4400,4400,02 Jun 2018
5,Jodhpur Rural,Pipar City,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4400,4400,04 May 2018
6,Jodhpur Rural,Pipar City,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4400,4400,23 May 2018
7,Jodhpur Rural,Pipar City,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4400,4400,25 Apr 2018
8,Jodhpur Rural,Pipar City,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4400,4400,26 Apr 2018
9,Jodhpur Rural,Pipar City,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4400,4400,30 May 2018
10,Ganganagar,Ridmalsar,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,3771,3771,3771,30 Aug 2018
