0,1,2,3,4,5,6,7,8,9
1,Agra,Agra,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,0,0,6000,29 Mar 2017
2,Agra,Agra,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,0,0,7150,13 Apr 2017
3,Agra,Agra,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,6700,7000,6850,27 Jun 2017
4,Agra,Agra,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,6850,7150,7000,19 Jun 2017
5,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6050,6150,6100,08 Jul 2017
6,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6050,6150,6100,09 Jul 2017
7,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6100,6200,6150,01 Jul 2017
8,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6100,6200,6150,04 Jul 2017
9,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6100,6200,6150,05 Jul 2017
10,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6150,6250,6200,07 Jul 2017
11,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6150,6250,6200,11 Jul 2017
12,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6150,6250,6200,12 Jul 2017
13,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6150,6250,6200,18 Jul 2017
14,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6200,6300,6250,10 Jul 2017
15,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6200,6300,6250,16 Jul 2017
16,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6200,6300,6250,17 Jul 2017
17,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6200,6300,6250,19 Jul 2017
18,Unnao,Bangarmau,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,6225,6275,6250,02 Jul 2017
