0,1,2,3,4,5,6,7,8,9
1,Ambedkarnagar,Akbarpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8350,8450,8400,04 Dec 2024
2,Ambedkarnagar,Akbarpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8500,8600,8580,06 Dec 2024
3,Azamgarh,Azamgarh,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8385,8485,8435,06 Dec 2024
4,Azamgarh,Azamgarh,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8385,8485,8435,07 Dec 2024
5,Azamgarh,Azamgarh,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8500,8450,04 Dec 2024
6,Bahraich,Bahraich,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8370,8650,8500,05 Dec 2024
7,Bahraich,Bahraich,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8385,8660,8515,06 Dec 2024
8,Bahraich,Bahraich,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8600,8500,04 Dec 2024
9,Bahraich,Bahraich,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8600,8510,07 Dec 2024
10,Baghpat,Baraut,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8300,8600,8440,06 Dec 2024
11,Baghpat,Baraut,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8300,8600,8445,07 Dec 2024
12,Baghpat,Baraut,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8300,8600,8450,04 Dec 2024
13,Baghpat,Baraut,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8350,8550,8450,05 Dec 2024
14,Basti,Basti,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8500,8450,06 Dec 2024
15,Etawah,Bharthna,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8200,8600,8400,04 Dec 2024
16,Etawah,Bharthna,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8200,8600,8400,05 Dec 2024
17,Etawah,Bharthna,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8200,8600,8400,06 Dec 2024
18,Shravasti,Bhinga,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8370,8650,8500,04 Dec 2024
19,Shravasti,Bhinga,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8375,8700,8510,05 Dec 2024
20,Shravasti,Bhinga,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8380,8675,8520,06 Dec 2024
21,Shravasti,Bhinga,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8665,8520,07 Dec 2024
22,Chandauli,Chandoli,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8410,8430,8420,05 Dec 2024
23,Chandauli,Chandoli,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8410,8430,8420,06 Dec 2024
24,Chandauli,Chandoli,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8420,8440,8430,07 Dec 2024
25,Chandauli,Chandoli,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8450,8470,8460,04 Dec 2024
26,Gautam Budh Nagar,Dadri,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8200,8630,8420,08 Dec 2024
27,Gautam Budh Nagar,Dadri,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8250,8650,8450,05 Dec 2024
28,Ghazipur,Gazipur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8370,8430,8400,04 Dec 2024
29,Ghazipur,Gazipur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8370,8430,8400,05 Dec 2024
30,Gonda,Gonda,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8475,8600,8500,04 Dec 2024
31,Gonda,Gonda,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8475,8600,8500,05 Dec 2024
32,Gonda,Gonda,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8475,8600,8525,06 Dec 2024
33,Gonda,Gonda,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8475,8600,8525,07 Dec 2024
34,Bulandshahar,Jahangirabad,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8335,8575,8455,04 Dec 2024
35,Jaunpur,Jaunpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8370,8430,8400,05 Dec 2024
36,Jaunpur,Jaunpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8370,8430,8400,07 Dec 2024
37,Jaunpur,Jaunpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8500,8450,04 Dec 2024
38,Farukhabad,Kayamganj,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8325,8375,8350,07 Dec 2024
39,Farukhabad,Kayamganj,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8350,8400,8375,04 Dec 2024
40,Farukhabad,Kayamganj,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8350,8400,8375,06 Dec 2024
41,Farukhabad,Kayamganj,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8375,8425,8400,05 Dec 2024
42,Raebarelli,Lalganj,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8425,8475,8455,05 Dec 2024
43,Raebarelli,Lalganj,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8435,8475,8450,04 Dec 2024
44,Raebarelli,Lalganj,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8435,8475,8450,06 Dec 2024
45,Raebarelli,Lalganj,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8450,8475,8465,07 Dec 2024
46,Lucknow,Lucknow,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8500,8460,04 Dec 2024
47,Lucknow,Lucknow,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8500,8460,05 Dec 2024
48,Lucknow,Lucknow,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8500,8460,06 Dec 2024
49,Lucknow,Lucknow,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8400,8500,8460,07 Dec 2024
50,Meerut,Meerut,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8380,8420,8400,06 Dec 2024
51,Meerut,Meerut,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8420,8460,8440,04 Dec 2024
52,Meerut,Meerut,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8430,8470,8450,07 Dec 2024
53,Mirzapur,Mirzapur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8350,8450,8400,04 Dec 2024
54,Mirzapur,Mirzapur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,8350,8450,8400,05 Dec 2024
