0,1,2,3,4,5,6,7,8,9
1,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3000,4019,3769,06 May 2018
2,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3002,3616,3291,27 Apr 2018
3,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3007,3629,3256,19 Apr 2018
4,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3008,4376,3856,29 Jul 2018
5,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3012,3839,3570,07 May 2018
6,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3015,3835,3760,24 Jun 2018
7,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3017,3840,3629,29 Apr 2018
8,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3025,3806,3623,02 Jul 2018
9,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3040,3802,3408,30 Apr 2018
10,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3126,3904,3619,09 Jul 2018
11,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3155,3753,3660,25 Jun 2018
12,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3208,3863,3605,01 Jul 2018
13,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3210,3508,3367,08 May 2018
14,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3545,3876,3625,08 Jul 2018
15,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,3589,3826,3589,15 Jul 2018
16,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,4086,4256,4086,22 Jul 2018
17,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,4523,4678,4523,05 Aug 2018
18,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,4670,5070,4670,12 Aug 2018
19,Mahbubnagar,Achampet,Ground Nut Oil,Ground Nut Oil,Medium,4729,5053,4729,19 Aug 2018
20,Mahbubnagar,Achampet(Amrabad),Ground Nut Oil,Ground Nut Oil,Medium,3025,3806,3623,02 Jul 2018
