0,1,2,3,4,5,6,7,8,9
1,Srikakulam,Ichapuram,Potato,Potato,Medium,400,600,500,01 Mar 2018
2,Srikakulam,Ichapuram,Potato,Potato,Medium,400,600,500,01 Nov 2017
3,Srikakulam,Ichapuram,Potato,Potato,Medium,400,600,500,06 Sep 2017
4,Srikakulam,Ichapuram,Potato,Potato,Medium,400,600,500,18 Sep 2017
5,Chittor,Palamaner,Potato,Potato,Medium,600,1200,800,10 Jan 2018
6,Chittor,Palamaner,Potato,Potato,Medium,700,1500,1100,26 Sep 2017
7,Krishna,Vijayawada,Potato,Potato,FAQ,1200,1400,1300,20 Sep 2017
8,Krishna,Vijayawada,Potato,Potato,FAQ,1300,1500,1400,06 Sep 2017
9,Krishna,Vijayawada,Potato,Potato,FAQ,1300,1500,1400,08 Sep 2017
10,Krishna,Vijayawada,Potato,Potato,FAQ,1300,1500,1400,09 Sep 2017
11,Krishna,Vijayawada,Potato,Potato,FAQ,1300,1500,1400,18 Oct 2017
12,Krishna,Vijayawada,Potato,Potato,FAQ,1300,1500,1400,29 Oct 2017
13,Srikakulam,Ichapuram,Potato,Potato,Medium,400,500,400,30 Oct 2017
14,Srikakulam,Ichapuram,Potato,Potato,Medium,400,500,450,10 Sep 2017
15,Srikakulam,Ichapuram,Potato,Potato,Medium,400,600,500,06 Dec 2017
16,Srikakulam,Ichapuram,Potato,Potato,Medium,400,600,500,17 Jan 2018
17,Chittor,Palamaner,Potato,Potato,Medium,400,800,600,23 Dec 2017
18,Chittor,Palamaner,Potato,Potato,Medium,500,1200,900,21 Oct 2017
19,Chittor,Palamaner,Potato,Potato,Medium,600,1000,800,08 Jan 2018
20,Chittor,Palamaner,Potato,Potato,Medium,600,1000,800,26 Oct 2017
21,Chittor,Palamaner,Potato,Potato,Medium,600,1100,900,27 Dec 2017
22,Chittor,Palamaner,Potato,Potato,Medium,600,1200,900,17 Oct 2017
23,Chittor,Palamaner,Potato,Potato,Medium,600,1200,900,23 Oct 2017
24,Chittor,Palamaner,Potato,Potato,Medium,600,1200,1000,08 Mar 2018
25,Chittor,Palamaner,Potato,Potato,Medium,600,1200,1000,28 Dec 2017
26,Chittor,Palamaner,Potato,Potato,Medium,700,1100,900,07 Jan 2018
27,Chittor,Palamaner,Potato,Potato,Medium,700,1100,900,07 Mar 2018
28,Chittor,Palamaner,Potato,Potato,Medium,700,1500,1100,06 Oct 2017
29,Chittor,Palamaner,Potato,Potato,Medium,700,1500,1100,10 Oct 2017
30,Chittor,Palamaner,Potato,Potato,Medium,750,1200,1050,09 Mar 2018
31,Chittor,Palamaner,Potato,Potato,Medium,800,1200,1000,09 Nov 2017
32,Krishna,Vijayawada,Potato,Potato,FAQ,1200,1400,1300,21 Sep 2017
33,Krishna,Vijayawada,Potato,Potato,FAQ,1300,1500,1400,10 Sep 2017
34,Krishna,Vijayawada,Potato,Potato,FAQ,1300,1500,1400,11 Sep 2017
