0,1,2,3,4,5,6,7,8,9
1,Barpeta,Bohorihat,Potato,Other,FAQ,300,400,350,21 May 2015
2,Barpeta,Bohorihat,Potato,Other,FAQ,350,450,400,26 May 2015
3,Barpeta,Bohorihat,Potato,Other,FAQ,350,450,400,29 May 2015
4,Barpeta,Bohorihat,Potato,Other,FAQ,400,450,425,01 Jun 2015
5,Barpeta,Bohorihat,Potato,Other,FAQ,400,450,425,02 Jun 2015
6,Barpeta,Bohorihat,Potato,Other,FAQ,400,450,425,22 May 2015
7,Barpeta,Bohorihat,Potato,Other,FAQ,400,450,425,25 May 2015
8,Barpeta,Bohorihat,Potato,Other,FAQ,400,450,425,31 May 2015
9,Barpeta,Bohorihat,Potato,Other,FAQ,400,500,450,03 Jun 2015
10,Barpeta,Bohorihat,Potato,Other,FAQ,400,500,450,04 Jun 2015
11,Barpeta,Bohorihat,Potato,Other,FAQ,400,500,450,07 May 2015
12,Barpeta,Bohorihat,Potato,Other,FAQ,400,500,450,11 May 2015
13,Barpeta,Bohorihat,Potato,Other,FAQ,400,500,450,20 May 2015
14,Barpeta,Bohorihat,Potato,Other,FAQ,400,500,450,28 May 2015
15,Barpeta,Bohorihat,Potato,Other,FAQ,400,500,450,30 May 2015
16,Barpeta,Bohorihat,Potato,Other,FAQ,400,550,475,17 May 2015
17,Barpeta,Bohorihat,Potato,Other,FAQ,400,550,500,09 May 2015
18,Barpeta,Bohorihat,Potato,Other,FAQ,400,600,500,13 May 2015
19,Barpeta,Bohorihat,Potato,Other,FAQ,400,600,500,26 Mar 2015
20,Barpeta,Bohorihat,Potato,Other,FAQ,400,600,500,27 Mar 2015
21,Barpeta,Bohorihat,Potato,Other,FAQ,450,500,475,09 Apr 2015
22,Barpeta,Bohorihat,Potato,Other,FAQ,450,550,500,12 May 2015
23,Barpeta,Bohorihat,Potato,Other,FAQ,450,550,500,18 May 2015
24,Barpeta,Bohorihat,Potato,Other,FAQ,450,550,500,19 May 2015
25,Barpeta,Bohorihat,Potato,Other,FAQ,450,550,500,28 Mar 2015
26,Barpeta,Bohorihat,Potato,Other,FAQ,500,550,525,17 Apr 2015
27,Barpeta,Bohorihat,Potato,Other,FAQ,500,550,525,27 Apr 2015
28,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,05 Jun 2015
29,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,05 May 2015
30,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,06 Jun 2015
31,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,06 May 2015
32,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,16 Apr 2015
33,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,19 Mar 2015
34,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,25 Apr 2015
35,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,26 Apr 2015
36,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,28 Apr 2015
37,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,29 Apr 2015
38,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,29 Mar 2015
39,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,30 Mar 2015
40,Barpeta,Bohorihat,Potato,Other,FAQ,500,600,550,31 Mar 2015
41,Barpeta,Bohorihat,Potato,Other,FAQ,500,620,560,30 Apr 2015
42,Barpeta,Bohorihat,Potato,Other,FAQ,500,650,575,13 Mar 2015
43,Barpeta,Bohorihat,Potato,Other,FAQ,500,650,600,21 Apr 2015
44,Barpeta,Bohorihat,Potato,Other,FAQ,500,700,600,14 Mar 2015
45,Barpeta,Bohorihat,Potato,Other,FAQ,500,700,600,15 Mar 2015
46,Barpeta,Bohorihat,Potato,Other,FAQ,500,700,600,18 Jun 2015
47,Barpeta,Bohorihat,Potato,Other,FAQ,520,620,570,02 May 2015
48,Barpeta,Bohorihat,Potato,Other,FAQ,550,650,600,02 Apr 2015
