0,1,2,3,4,5,6,7,8,9
1,Bhojpur,Aarah,Potato,Jyoti,FAQ,900,1000,950,14 Feb 2024
2,Bhojpur,Aarah,Potato,Jyoti,FAQ,900,1000,950,15 Feb 2024
3,Bhojpur,Aarah,Potato,Jyoti,FAQ,900,1000,950,16 Feb 2024
4,Bhojpur,Aarah,Potato,Jyoti,FAQ,900,1000,950,17 Feb 2024
5,Bhojpur,Aarah,Potato,Jyoti,FAQ,900,1000,950,18 Feb 2024
6,Bhojpur,Aarah,Potato,Jyoti,FAQ,900,1000,950,19 Feb 2024
7,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,01 Mar 2024
8,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,03 Mar 2024
9,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,04 Mar 2024
10,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,05 Mar 2024
11,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,06 Feb 2024
12,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,06 Mar 2024
13,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,07 Feb 2024
14,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,07 Mar 2024
15,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,08 Feb 2024
16,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,08 Mar 2024
17,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,09 Feb 2024
18,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,09 Mar 2024
19,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,10 Feb 2024
20,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,10 Mar 2024
21,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,11 Feb 2024
22,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,11 Mar 2024
23,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,12 Feb 2024
24,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,23 Feb 2024
25,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,24 Feb 2024
26,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,25 Feb 2024
27,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,26 Feb 2024
28,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,27 Feb 2024
29,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,28 Feb 2024
30,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1100,1050,29 Feb 2024
31,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,01 Feb 2024
32,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,02 Feb 2024
33,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,03 Feb 2024
34,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,04 Feb 2024
35,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,05 Feb 2024
36,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,12 Jan 2024
37,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,13 Jan 2024
38,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,15 Jan 2024
39,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,16 Jan 2024
40,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,17 Jan 2024
41,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,18 Jan 2024
42,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,21 Jan 2024
43,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,22 Jan 2024
44,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,23 Jan 2024
45,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,24 Jan 2024
46,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,25 Jan 2024
47,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,26 Jan 2024
48,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,27 Jan 2024
49,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,28 Jan 2024
50,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,29 Jan 2024
51,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,30 Jan 2024
52,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,31 Dec 2023
53,Bhojpur,Aarah,Potato,Jyoti,FAQ,1000,1200,1100,31 Jan 2024
