0,1,2,3,4,5,6,7,8,9
1,Bilaspur,Bilaspur,Potato,Local,Local,2600,2800,2700,23 Nov 2024
2,Bilaspur,Bilaspur,Potato,Local,Local,3200,3400,3300,24 Nov 2024
3,Bilaspur,Bilaspur,Potato,Local,Local,4300,4500,4400,12 Nov 2024
4,Durg,Durg,Potato,Local,Local,2600,2800,2800,15 Nov 2024
5,Durg,Durg,Potato,Local,Local,2800,3000,3000,27 Nov 2024
6,Durg,Durg,Potato,Local,Local,3000,3200,3200,23 Nov 2024
7,Durg,Durg,Potato,Potato,FAQ,2600,3000,3000,20 Jul 2024
8,Durg,Durg,Potato,Potato,FAQ,2600,3000,3000,24 Oct 2024
9,Durg,Durg,Potato,Potato,FAQ,2800,3000,3000,27 Sep 2024
10,Durg,Durg,Potato,Potato,FAQ,3000,3200,3000,02 Jul 2024
11,Durg,Durg,Potato,Potato,FAQ,3000,3200,3200,17 Jul 2024
12,Rajnandgaon,Gandai,Potato,Potato,Local,2200,2700,2500,23 Nov 2024
13,Raigarh,Raigarh,Potato,Other,FAQ,2000,2400,2200,15 Oct 2024
14,Raigarh,Raigarh,Potato,Other,FAQ,2200,2600,2400,02 Oct 2024
15,Raigarh,Raigarh,Potato,Other,FAQ,2300,2700,2300,08 Jul 2024
16,Raigarh,Raigarh,Potato,Other,FAQ,2700,3200,2700,05 Jul 2024
17,Raigarh,Raigarh,Potato,Potato,Local,2000,3000,2500,24 Nov 2024
18,Raigarh,Raigarh,Potato,Potato,Local,2200,2800,2500,16 Nov 2024
19,Raigarh,Raigarh,Potato,Potato,Local,2200,3000,2600,07 Nov 2024
20,Raigarh,Raigarh,Potato,Potato,Local,2300,3100,2700,28 Nov 2024
21,Rajnandgaon,Rajnandgaon,Potato,Potato,FAQ,2000,3000,2500,13 Oct 2024
22,Rajnandgaon,Rajnandgaon,Potato,Potato,FAQ,2200,3000,2600,03 Oct 2024
23,Rajnandgaon,Rajnandgaon,Potato,Potato,FAQ,2500,3500,3000,28 Aug 2024
24,Rajnandgaon,Rajnandgaon,Potato,Potato,FAQ,2500,3500,3000,31 Aug 2024
25,Rajnandgaon,Rajnandgaon,Potato,Potato,FAQ,2600,3400,3000,22 Aug 2024
26,Rajnandgaon,Rajnandgaon,Potato,Potato,Local,2100,2500,2300,24 Nov 2024
27,Bilaspur,Tiphra,Potato,Other,FAQ,3200,3400,3300,18 Jul 2024
28,Bilaspur,Tiphra,Potato,Other,FAQ,3500,3700,3600,08 Jul 2024
29,Bilaspur,Tiphra,Potato,Other,FAQ,4000,4200,4100,12 Aug 2024
30,Bilaspur,Tiphra,Potato,Other,FAQ,4000,4200,4100,14 Jul 2024
31,Bilaspur,Tiphra,Potato,Other,FAQ,4000,4300,4100,05 Oct 2024
32,Durg,Durg,Potato,Potato,FAQ,2800,3200,3200,10 Aug 2024
33,Durg,Durg,Potato,Potato,FAQ,3000,3200,3000,31 Jul 2024
34,Durg,Durg,Potato,Potato,FAQ,4000,4200,4200,27 Aug 2024
35,Raigarh,Raigarh,Potato,Other,FAQ,1800,2600,2200,31 Aug 2024
36,Raigarh,Raigarh,Potato,Other,FAQ,2000,2500,2250,13 Oct 2024
37,Raigarh,Raigarh,Potato,Other,FAQ,2600,3000,2600,26 Jul 2024
