0,1,2,3,4,5,6,7,8,9
1,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,150,350,250,26 Mar 2019
2,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,150,350,250,27 Mar 2019
3,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,01 Jan 2019
4,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,07 Mar 2019
5,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,08 Mar 2019
6,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,09 Mar 2019
7,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,10 Feb 2019
8,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,15 Mar 2019
9,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,16 Mar 2019
10,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,20 Mar 2019
11,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,22 Dec 2018
12,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,22 Mar 2019
13,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,23 Dec 2018
14,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,23 Mar 2019
15,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,24 Mar 2019
16,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,25 Dec 2018
17,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,26 Dec 2018
18,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,27 Dec 2018
19,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,28 Dec 2018
20,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,400,300,30 Dec 2018
21,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,01 Feb 2019
22,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,02 Mar 2019
23,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,03 Mar 2019
24,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,07 Feb 2019
25,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,08 Feb 2019
26,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,09 Feb 2019
27,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,23 Jan 2019
28,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,24 Jan 2019
29,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,25 Jan 2019
30,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,26 Jan 2019
31,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,27 Jan 2019
32,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,29 Jan 2019
33,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,30 Jan 2019
34,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,450,325,31 Jan 2019
35,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,02 Apr 2019
36,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,02 Feb 2019
37,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,03 Apr 2019
38,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,03 Feb 2019
39,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,04 Apr 2019
40,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,04 Jan 2019
41,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,05 Feb 2019
42,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,05 Jan 2019
43,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,06 Apr 2019
44,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,06 Feb 2019
45,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,06 Jan 2019
46,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,07 Apr 2019
47,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,08 Jan 2019
48,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,09 Apr 2019
49,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,09 Jan 2019
50,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,10 Apr 2019
51,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,10 Jan 2019
52,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,11 Apr 2019
53,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,11 Jan 2019
54,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,12 Jan 2019
55,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,13 Jan 2019
56,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,15 Jan 2019
57,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,16 Dec 2018
58,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,16 Feb 2019
59,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,17 Feb 2019
60,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,21 Feb 2019
61,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,22 Feb 2019
62,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,23 Feb 2019
63,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,24 Feb 2019
64,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,26 Feb 2019
65,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,500,350,27 Feb 2019
66,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,600,400,04 Jun 2019
67,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,600,400,05 Jun 2019
68,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,600,400,09 Dec 2018
69,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,600,400,13 Dec 2018
70,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,600,400,15 Dec 2018
71,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,01 Dec 2018
72,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,02 Dec 2018
73,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,18 Apr 2019
74,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,19 Apr 2019
75,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,20 Apr 2019
76,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,21 Apr 2019
77,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,23 Apr 2019
78,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,24 Apr 2019
79,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,29 Nov 2018
80,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,700,450,30 Nov 2018
81,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,05 Dec 2018
82,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,06 Dec 2018
83,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,07 Dec 2018
84,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,08 Dec 2018
85,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,10 May 2019
86,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,11 May 2019
87,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,12 May 2019
88,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,14 May 2019
89,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,15 May 2019
90,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,16 May 2019
91,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,200,800,500,17 May 2019
