0,1,2,3,4,5,6,7,8,9
1,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,2000,2100,2050,05 Sep 2019
2,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,2300,2500,2450,26 Sep 2019
3,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,2900,3200,3100,25 Oct 2019
4,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,3500,4000,3800,09 Nov 2019
5,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,3500,4000,3800,19 Nov 2019
6,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,400,750,625,24 Sep 2019
7,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,500,800,700,30 Sep 2019
8,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,500,900,750,17 Sep 2019
9,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,600,1200,950,05 Dec 2019
10,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,700,1200,1000,18 Nov 2019
11,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,700,1250,1025,19 Nov 2019
12,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,750,1100,975,30 Jan 2020
13,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,800,1100,1000,12 Feb 2020
14,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,900,1150,1075,05 Feb 2020
15,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,900,1500,1250,28 Dec 2019
16,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,1000,1750,1425,04 Jan 2020
17,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,1300,2000,1700,18 Dec 2019
18,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,1500,2000,1800,10 Aug 2020
19,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Jalander,FAQ,400,1500,1050,22 Nov 2019
20,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Jalander,FAQ,1300,1700,1550,27 Dec 2019
21,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Jalander,FAQ,1800,2400,2150,19 Dec 2019
22,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,500,900,700,08 Oct 2019
23,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,500,1150,800,06 Feb 2020
24,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,600,1100,900,15 Feb 2020
25,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,750,1000,800,01 Oct 2019
26,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,750,1250,1100,07 Feb 2020
27,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1000,1250,1150,02 Mar 2020
28,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1000,1400,1250,22 Nov 2019
29,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1000,1500,1400,03 Jan 2020
30,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1200,1500,1400,24 Mar 2020
31,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1400,1550,1500,23 Apr 2020
32,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1400,1600,1500,11 Jun 2020
33,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1400,1700,1600,23 May 2020
34,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1500,1900,1800,30 Jun 2020
35,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1600,1800,1700,26 Jun 2020
36,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1700,1800,1750,04 Jul 2020
37,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1750,2000,1800,11 Aug 2020
38,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,2000,2250,2100,29 Jul 2020
39,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,2000,2300,2200,25 Aug 2020
40,Bharuch,Bharuch,Potato,Other,FAQ,1000,1500,1300,07 Mar 2020
41,Bharuch,Bharuch,Potato,Other,FAQ,1200,1650,1400,15 Nov 2019
42,Bharuch,Bharuch,Potato,Other,FAQ,1300,1550,1400,22 Sep 2019
43,Bharuch,Bharuch,Potato,Other,FAQ,1300,1600,1400,05 Oct 2019
44,Bharuch,Bharuch,Potato,Other,FAQ,1300,1600,1500,04 Sep 2019
45,Bharuch,Bharuch,Potato,Other,FAQ,1300,1650,1400,27 Oct 2019
46,Bharuch,Bharuch,Potato,Other,FAQ,1300,1650,1500,26 Oct 2019
47,Bharuch,Bharuch,Potato,Other,FAQ,1300,1750,1400,19 Nov 2019
48,Bharuch,Bharuch,Potato,Other,FAQ,1400,1600,1500,25 Sep 2019
49,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,2000,2200,2150,13 Sep 2019
50,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,2200,2500,2400,23 Sep 2019
51,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,2800,3200,3050,23 Oct 2019
52,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Chips,FAQ,3800,4000,3900,09 Dec 2019
53,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,400,900,700,04 Oct 2019
54,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,500,1100,850,27 Nov 2019
55,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,600,1200,950,02 Dec 2019
56,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,700,1250,1025,11 Nov 2019
57,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,700,1300,1050,11 Dec 2019
58,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,800,1150,1025,03 Feb 2020
59,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana),Potato,Desi,FAQ,1000,1400,1250,09 Mar 2020
