0,1,2,3,4,5,6,7,8,9
1,North Goa,Mapusa,Potato,Potato,FAQ,1000,2000,1500,10 Oct 2019
2,North Goa,Mapusa,Potato,Potato,FAQ,1000,2000,1500,11 Oct 2019
3,North Goa,Mapusa,Potato,Potato,FAQ,1000,3000,2000,26 Jul 2020
4,North Goa,Mapusa,Potato,Potato,FAQ,1200,1600,1400,14 Jun 2020
5,North Goa,Mapusa,Potato,Potato,FAQ,1200,1800,1500,06 Jun 2020
6,North Goa,Mapusa,Potato,Potato,FAQ,1200,1800,1500,07 Jun 2020
7,North Goa,Mapusa,Potato,Potato,FAQ,1200,1800,1500,08 Jun 2020
8,North Goa,Mapusa,Potato,Potato,FAQ,1400,1600,1500,04 Dec 2019
9,North Goa,Mapusa,Potato,Potato,FAQ,1400,1800,1600,05 Dec 2019
10,North Goa,Mapusa,Potato,Potato,FAQ,1400,1800,1600,08 Dec 2019
11,North Goa,Mapusa,Potato,Potato,FAQ,1500,2000,1800,12 May 2020
12,North Goa,Mapusa,Potato,Potato,FAQ,1500,2000,1800,16 May 2020
13,North Goa,Mapusa,Potato,Potato,FAQ,1500,2000,1850,15 Sep 2019
14,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,01 Dec 2019
15,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,01 Jun 2020
16,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,01 Nov 2019
17,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,01 Oct 2019
18,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,01 Sep 2019
19,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,02 Nov 2019
20,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,02 Oct 2019
21,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,03 Dec 2019
22,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,03 Jun 2020
23,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,03 Nov 2019
24,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,04 Jun 2020
25,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,04 Nov 2019
26,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,04 Oct 2019
27,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,05 Oct 2019
28,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,06 Nov 2019
29,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,06 Oct 2019
30,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,07 Feb 2020
31,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,07 Sep 2019
32,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,08 Oct 2019
33,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,09 Feb 2020
34,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,09 Sep 2019
35,North Goa,Mapusa,Potato,Potato,FAQ,1500,2500,2000,10 Dec 2019
