0,1,2,3,4,5,6,7,8,9
1,Kullu,Bhuntar,Potato,Other,FAQ,2000,2200,2100,05 Jul 2024
2,Kullu,Bhuntar,Potato,Other,FAQ,2000,2200,2100,07 Jul 2024
3,Kullu,Bhuntar,Potato,Other,FAQ,2000,2800,2400,17 Jul 2024
4,Kullu,Bhuntar,Potato,Other,FAQ,2000,2800,2400,18 Jul 2024
5,Kullu,Bhuntar,Potato,Other,FAQ,2000,3000,2500,03 Jul 2024
6,Kullu,Bhuntar,Potato,Other,FAQ,2000,3000,2500,04 Jul 2024
7,Kullu,Bhuntar,Potato,Other,FAQ,2000,3000,2500,08 Jul 2024
8,Kullu,Bhuntar,Potato,Other,FAQ,2000,3000,2500,19 Jul 2024
9,Kullu,Bhuntar,Potato,Other,FAQ,2100,2800,2400,04 Nov 2024
10,Kullu,Bhuntar,Potato,Other,FAQ,2200,2400,2300,22 Sep 2024
11,Kullu,Bhuntar,Potato,Other,FAQ,2200,2600,2400,05 Aug 2024
12,Kullu,Bhuntar,Potato,Other,FAQ,2200,2600,2400,06 Aug 2024
13,Kullu,Bhuntar,Potato,Other,FAQ,2200,3000,2500,27 Sep 2024
14,Kullu,Bhuntar,Potato,Other,FAQ,2200,3000,2600,12 Jul 2024
15,Kullu,Bhuntar,Potato,Other,FAQ,2200,3000,2600,19 Aug 2024
16,Kullu,Bhuntar,Potato,Other,FAQ,2200,3000,2600,20 Aug 2024
17,Kullu,Bhuntar,Potato,Other,FAQ,2200,3000,2600,21 Aug 2024
18,Kullu,Bhuntar,Potato,Other,FAQ,2200,3100,2600,01 Oct 2024
19,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2600,02 Oct 2024
20,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2600,03 Oct 2024
21,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2600,04 Oct 2024
22,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2600,06 Oct 2024
23,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2600,18 Sep 2024
24,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2800,19 Sep 2024
25,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2800,20 Sep 2024
26,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2800,23 Sep 2024
27,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2800,25 Sep 2024
28,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2800,29 Sep 2024
29,Kullu,Bhuntar,Potato,Other,FAQ,2200,3200,2800,30 Sep 2024
30,Kullu,Bhuntar,Potato,Other,FAQ,2200,3300,2800,24 Sep 2024
31,Kullu,Bhuntar,Potato,Other,FAQ,2200,3300,2800,26 Sep 2024
32,Kullu,Bhuntar,Potato,Other,FAQ,2200,4000,3000,18 Nov 2024
33,Kullu,Bhuntar,Potato,Other,FAQ,2300,2700,2500,02 Jul 2024
34,Kullu,Bhuntar,Potato,Other,FAQ,2300,3300,2600,07 Oct 2024
35,Kullu,Bhuntar,Potato,Other,FAQ,2300,3300,2600,11 Oct 2024
36,Kullu,Bhuntar,Potato,Other,FAQ,2300,3400,2700,22 Oct 2024
37,Kullu,Bhuntar,Potato,Other,FAQ,2300,3400,2800,08 Oct 2024
38,Kullu,Bhuntar,Potato,Other,FAQ,2300,3400,2800,09 Oct 2024
39,Kullu,Bhuntar,Potato,Other,FAQ,2300,3400,2800,10 Oct 2024
