0,1,2,3,4,5,6,7,8,9
1,Ambala,Ambala Cantt.,Potato,Other,FAQ,350,400,358,06 Jan 2024
2,Ambala,Ambala Cantt.,Potato,Other,FAQ,400,450,420,28 Jan 2024
3,Ambala,Ambala Cantt.,Potato,Other,FAQ,400,450,450,03 Jan 2024
4,Ambala,Ambala Cantt.,Potato,Other,FAQ,400,500,450,21 Jan 2024
5,Ambala,Ambala Cantt.,Potato,Other,FAQ,400,500,450,22 Dec 2023
6,Ambala,Ambala Cantt.,Potato,Other,FAQ,400,500,450,28 Dec 2023
7,Ambala,Ambala Cantt.,Potato,Other,FAQ,600,2000,1200,28 Sep 2023
8,Ambala,Ambala Cantt.,Potato,Other,FAQ,700,900,800,16 Mar 2024
9,Ambala,Ambala Cantt.,Potato,Other,FAQ,800,1400,1000,17 Nov 2023
10,Ambala,Ambala Cantt.,Potato,Other,FAQ,800,1500,1200,25 Oct 2023
11,Ambala,Ambala Cantt.,Potato,Other,FAQ,1300,1600,1500,11 Jul 2024
12,Ambala,Ambala City,Potato,Other,FAQ,1000,1500,1200,17 May 2024
13,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,200,610,450,09 Feb 2024
14,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,325,550,460,26 Dec 2023
15,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,450,625,580,16 Dec 2023
16,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,650,835,780,06 Dec 2023
17,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,750,1100,900,07 Nov 2023
18,Kurukshetra,Babain,Potato,Local,FAQ,60,525,320,07 Jan 2024
19,Kurukshetra,Babain,Potato,Local,FAQ,150,575,450,21 Dec 2023
20,Kurukshetra,Babain,Potato,Local,FAQ,150,705,390,24 Jan 2024
21,Kurukshetra,Babain,Potato,Local,FAQ,240,1255,550,13 Feb 2024
22,Jhajar,Bahadurgarh,Potato,Other,FAQ,400,500,450,15 Jan 2024
23,Jhajar,Bahadurgarh,Potato,Other,FAQ,500,1200,1000,21 Oct 2023
24,Jhajar,Bahadurgarh,Potato,Other,FAQ,600,700,650,28 Dec 2023
25,Jhajar,Bahadurgarh,Potato,Other,FAQ,600,1200,1000,01 Dec 2023
26,Jhajar,Bahadurgarh,Potato,Other,FAQ,650,700,680,07 Feb 2024
27,Jhajar,Bahadurgarh,Potato,Other,FAQ,700,900,800,24 Feb 2024
28,Jhajar,Bahadurgarh,Potato,Other,FAQ,750,800,780,05 Jan 2024
29,Jhajar,Bahadurgarh,Potato,Other,FAQ,800,1100,900,13 Sep 2023
30,Jhajar,Bahadurgarh,Potato,Other,FAQ,800,1100,1000,01 Sep 2023
31,Jhajar,Bahadurgarh,Potato,Other,FAQ,900,1200,1000,22 Sep 2023
32,Jhajar,Bahadurgarh,Potato,Other,FAQ,2200,2500,2400,01 Aug 2024
33,Jhajar,Bahadurgarh,Potato,Other,FAQ,2200,2500,2400,17 Jul 2024
34,Jhajar,Bahadurgarh,Potato,Other,FAQ,2300,2500,2400,10 Aug 2024
35,Faridabad,Ballabhgarh,Potato,Other,FAQ,400,1400,900,13 Sep 2023
36,Faridabad,Ballabhgarh,Potato,Other,FAQ,500,900,700,10 Oct 2023
37,Faridabad,Ballabhgarh,Potato,Other,FAQ,500,900,700,23 Oct 2023
38,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,800,700,12 Feb 2024
39,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,800,700,12 Nov 2023
40,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,800,700,14 Jan 2024
41,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,800,700,16 Dec 2023
42,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,900,800,04 Oct 2023
43,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,1000,900,18 Oct 2023
44,Faridabad,Ballabhgarh,Potato,Other,FAQ,700,800,800,21 Feb 2024
45,Faridabad,Ballabhgarh,Potato,Other,FAQ,700,900,800,29 Oct 2023
46,Faridabad,Ballabhgarh,Potato,Other,FAQ,700,900,800,30 Dec 2023
47,Faridabad,Ballabhgarh,Potato,Other,FAQ,800,1000,900,20 Oct 2023
48,Faridabad,Ballabhgarh,Potato,Other,FAQ,800,1200,1000,02 Oct 2023
49,Faridabad,Ballabhgarh,Potato,Other,FAQ,1000,1400,1200,21 Apr 2024
50,Faridabad,Ballabhgarh,Potato,Other,FAQ,1000,1400,1200,23 Nov 2023
51,Faridabad,Ballabhgarh,Potato,Other,FAQ,1000,1500,1200,12 May 2024
52,Faridabad,Ballabhgarh,Potato,Other,FAQ,1000,1700,1500,14 Jun 2024
53,Faridabad,Ballabhgarh,Potato,Other,FAQ,1200,1600,1400,09 May 2024
54,Ambala,Ambala Cantt.,Potato,Other,FAQ,400,450,450,25 Jan 2024
55,Ambala,Ambala Cantt.,Potato,Other,FAQ,400,500,450,06 Feb 2024
56,Ambala,Ambala Cantt.,Potato,Other,FAQ,400,600,500,15 Feb 2024
57,Ambala,Ambala Cantt.,Potato,Other,FAQ,700,900,800,14 Mar 2024
58,Ambala,Ambala Cantt.,Potato,Other,FAQ,800,1200,900,07 Sep 2023
59,Ambala,Ambala Cantt.,Potato,Other,FAQ,800,1200,1000,18 Apr 2024
60,Ambala,Ambala Cantt.,Potato,Other,FAQ,1000,1700,1200,02 Aug 2024
61,Ambala,Ambala Cantt.,Potato,Other,FAQ,1300,1500,1400,20 Jun 2024
62,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,315,525,410,03 Jan 2024
63,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,425,555,500,09 Jan 2024
64,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,700,1050,850,02 Nov 2023
65,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,715,900,780,10 Oct 2023
66,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,810,925,865,20 Sep 2023
67,Ambala,Ambala City(Subji Mandi),Potato,Other,FAQ,850,1350,940,29 Nov 2023
68,Kurukshetra,Babain,Potato,Local,FAQ,200,1200,610,15 Feb 2024
69,Kurukshetra,Babain,Potato,Local,FAQ,205,1265,680,21 Feb 2024
70,Kurukshetra,Babain,Potato,Local,FAQ,211,600,480,29 Dec 2023
71,Jhajar,Bahadurgarh,Potato,Other,FAQ,500,580,550,11 Jan 2024
72,Jhajar,Bahadurgarh,Potato,Other,FAQ,500,600,550,14 Dec 2023
73,Jhajar,Bahadurgarh,Potato,Other,FAQ,500,600,550,23 Jan 2024
74,Jhajar,Bahadurgarh,Potato,Other,FAQ,550,600,580,27 Jan 2024
75,Jhajar,Bahadurgarh,Potato,Other,FAQ,550,600,580,29 Jan 2024
76,Jhajar,Bahadurgarh,Potato,Other,FAQ,600,1400,1000,07 Nov 2023
77,Jhajar,Bahadurgarh,Potato,Other,FAQ,700,800,750,03 Jan 2024
78,Jhajar,Bahadurgarh,Potato,Other,FAQ,700,800,750,16 Feb 2024
79,Jhajar,Bahadurgarh,Potato,Other,FAQ,800,1000,900,06 Sep 2023
80,Jhajar,Bahadurgarh,Potato,Other,FAQ,800,1100,900,03 Sep 2023
81,Jhajar,Bahadurgarh,Potato,Other,FAQ,800,1200,1000,03 Nov 2023
82,Jhajar,Bahadurgarh,Potato,Other,FAQ,800,1200,1000,14 Sep 2023
83,Jhajar,Bahadurgarh,Potato,Other,FAQ,800,1600,1000,28 Nov 2023
84,Jhajar,Bahadurgarh,Potato,Other,FAQ,900,1100,1000,08 Sep 2023
85,Jhajar,Bahadurgarh,Potato,Other,FAQ,2000,3000,2500,03 Jul 2024
86,Jhajar,Bahadurgarh,Potato,Other,FAQ,2200,2800,2500,30 Aug 2024
87,Jhajar,Bahadurgarh,Potato,Other,FAQ,2400,2500,2450,03 Aug 2024
88,Faridabad,Ballabhgarh,Potato,Other,FAQ,300,1000,500,04 Mar 2024
89,Faridabad,Ballabhgarh,Potato,Other,FAQ,500,600,500,15 Nov 2023
90,Faridabad,Ballabhgarh,Potato,Other,FAQ,500,800,600,12 Oct 2023
91,Faridabad,Ballabhgarh,Potato,Other,FAQ,500,800,600,22 Mar 2024
92,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,700,700,20 Feb 2024
93,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,800,700,06 Apr 2024
94,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,800,700,06 Jan 2024
95,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,800,700,28 Dec 2023
96,Faridabad,Ballabhgarh,Potato,Other,FAQ,600,1000,900,15 Sep 2023
97,Faridabad,Ballabhgarh,Potato,Other,FAQ,700,1000,800,04 Sep 2023
98,Faridabad,Ballabhgarh,Potato,Other,FAQ,700,1200,1000,07 Mar 2024
99,Faridabad,Ballabhgarh,Potato,Other,FAQ,800,1000,900,18 Apr 2024
100,Faridabad,Ballabhgarh,Potato,Other,FAQ,900,1600,1400,17 May 2024
101,Faridabad,Ballabhgarh,Potato,Other,FAQ,1000,1600,1200,19 Jun 2024
102,Faridabad,Ballabhgarh,Potato,Other,FAQ,1200,2000,1700,07 Jun 2024
