0,1,2,3,4,5,6,7,8,9
1,Jammu,Akhnoor,Potato,Other,FAQ,2200,2600,2400,04 Dec 2024
2,Jammu,Akhnoor,Potato,Other,FAQ,2200,2600,2400,05 Dec 2024
3,Anantnag,Ashahipora (Anantnagh),Potato,Potato,FAQ,3000,3400,3200,07 Dec 2024
4,Jammu,Batote,Potato,Other,FAQ,2500,2700,2600,04 Dec 2024
5,Jammu,Batote,Potato,Other,FAQ,2600,3000,2800,06 Dec 2024
6,Jammu,Batote,Potato,Other,FAQ,2600,3000,2800,07 Dec 2024
7,Jammu,Batote,Potato,Other,FAQ,3000,3200,3100,05 Dec 2024
8,Kathua,Kathua,Potato,Potato,FAQ,2500,2800,2650,05 Dec 2024
9,Kathua,Kathua,Potato,Potato,FAQ,2500,2800,2650,07 Dec 2024
10,Kathua,Kathua,Potato,Potato,FAQ,2600,2800,2700,06 Dec 2024
11,Kathua,Kathua,Potato,Potato,FAQ,2800,3000,2900,04 Dec 2024
12,Anantnag,Kulgam,Potato,Potato,FAQ,2500,3000,2750,04 Dec 2024
13,Anantnag,Kulgam,Potato,Potato,FAQ,2500,3000,2750,06 Dec 2024
14,Anantnag,Kulgam,Potato,Potato,FAQ,2750,3000,2900,05 Dec 2024
15,Jammu,Narwal Jammu (F&V),Potato,Potato,FAQ,2200,3000,2600,04 Dec 2024
16,Jammu,Narwal Jammu (F&V),Potato,Potato,FAQ,2400,2800,2600,07 Dec 2024
17,Jammu,Narwal Jammu (F&V),Potato,Potato,FAQ,2400,3000,2700,05 Dec 2024
18,Jammu,Narwal Jammu (F&V),Potato,Potato,FAQ,2400,3000,2700,06 Dec 2024
19,Srinagar,Parimpore,Potato,Local,FAQ,2800,3200,3000,04 Dec 2024
20,Srinagar,Parimpore,Potato,Local,FAQ,3000,3500,3250,07 Dec 2024
21,Srinagar,Parimpore,Potato,Red,FAQ,2500,3000,2750,04 Dec 2024
22,Srinagar,Parimpore,Potato,Red,FAQ,2800,3200,3000,07 Dec 2024
23,Rajouri,Rajouri (F&V),Potato,Other,FAQ,2600,2800,2700,07 Dec 2024
24,Rajouri,Rajouri (F&V),Potato,Other,FAQ,2800,3000,2900,05 Dec 2024
25,Rajouri,Rajouri (F&V),Potato,Other,FAQ,2800,3000,2900,06 Dec 2024
26,Udhampur,Udhampur,Potato,Other,FAQ,2000,2800,2400,04 Dec 2024
27,Udhampur,Udhampur,Potato,Other,FAQ,2000,3000,2500,05 Dec 2024
28,Udhampur,Udhampur,Potato,Other,FAQ,2000,3000,2500,06 Dec 2024
29,Udhampur,Udhampur,Potato,Other,FAQ,2000,3000,2500,07 Dec 2024
