0,1,2,3,4,5,6,7,8,9
1,Bokaro,Bermo,Potato,Desi,FAQ,900,1100,1100,09 Nov 2015
2,Bokaro,Bermo,Potato,Other,FAQ,600,800,800,03 Sep 2015
3,Bokaro,Bermo,Potato,Other,FAQ,600,800,800,07 Sep 2015
4,Bokaro,Bermo,Potato,Other,FAQ,600,900,900,04 Dec 2015
5,Bokaro,Bermo,Potato,Other,FAQ,800,1000,1000,25 Nov 2015
6,Bokaro,Bermo,Potato,Other,FAQ,900,1100,1100,04 Nov 2015
7,Bokaro,Bermo,Potato,Other,FAQ,900,1100,1100,07 Oct 2015
8,Bokaro,Bermo,Potato,Other,FAQ,900,1100,1100,12 Sep 2015
9,Bokaro,Bermo,Potato,Other,FAQ,900,1100,1100,17 Sep 2015
10,Bokaro,Bermo,Potato,Other,FAQ,900,1100,1100,19 Nov 2015
11,Bokaro,Bermo,Potato,Other,FAQ,900,1100,1100,21 Oct 2015
12,Bokaro,Bermo,Potato,Other,FAQ,900,1100,1100,24 Sep 2015
13,Bokaro,Bermo,Potato,Other,FAQ,900,1100,1100,28 Sep 2015
14,Bokaro,Bermo,Potato,Other,FAQ,900,1100,1100,29 Oct 2015
15,Bokaro,Bermo,Potato,Other,FAQ,900,1200,1050,12 Dec 2015
16,Bokaro,Bermo,Potato,Other,FAQ,900,1200,1050,20 Dec 2015
17,Giridih,Giridih,Potato,Desi,FAQ,1200,1300,1300,22 Apr 2016
18,Giridih,Giridih,Potato,Desi,FAQ,1200,1300,1300,23 Mar 2016
19,Giridih,Giridih,Potato,Desi,FAQ,1200,1300,1300,27 Oct 2015
20,Giridih,Giridih,Potato,Desi,FAQ,1200,1400,1400,30 Jan 2016
21,Giridih,Giridih,Potato,Desi,FAQ,1200,1500,1500,12 May 2016
22,Giridih,Giridih,Potato,Desi,FAQ,1200,1500,1500,16 Apr 2016
23,Giridih,Giridih,Potato,Desi,FAQ,1200,1500,1500,18 Nov 2015
24,Giridih,Giridih,Potato,Desi,FAQ,1200,1500,1500,19 Dec 2015
25,Giridih,Giridih,Potato,Desi,FAQ,1200,1500,1500,27 Sep 2015
26,Giridih,Giridih,Potato,Desi,FAQ,1300,1500,1500,22 Oct 2015
27,Giridih,Giridih,Potato,Desi,FAQ,1300,1500,1500,24 Feb 2016
28,Giridih,Giridih,Potato,Desi,FAQ,1400,1500,1500,04 Oct 2015
29,Giridih,Giridih,Potato,Desi,FAQ,1500,1600,1600,01 Jul 2016
30,Giridih,Giridih,Potato,Desi,FAQ,1500,1600,1600,08 Apr 2016
31,Giridih,Giridih,Potato,Desi,FAQ,1500,1600,1600,09 Dec 2015
32,Giridih,Giridih,Potato,Desi,FAQ,1500,1600,1600,13 Oct 2015
33,Giridih,Giridih,Potato,Desi,FAQ,1500,1600,1600,18 Oct 2015
34,Giridih,Giridih,Potato,Desi,FAQ,1500,1800,1800,02 Aug 2016
35,Giridih,Giridih,Potato,Desi,FAQ,1600,1700,1700,01 Aug 2016
36,Giridih,Giridih,Potato,Desi,FAQ,1600,1700,1700,14 Aug 2016
37,Giridih,Giridih,Potato,Desi,FAQ,1600,1700,1700,16 Aug 2016
38,Giridih,Giridih,Potato,Desi,FAQ,1600,1800,1800,02 Jul 2016
39,Giridih,Giridih,Potato,Desi,FAQ,1600,1800,1800,06 Feb 2016
40,Giridih,Giridih,Potato,Desi,FAQ,1600,1800,1800,27 Jun 2016
41,Giridih,Giridih,Potato,Desi,FAQ,1600,1800,1800,30 Jun 2016
42,Giridih,Giridih,Potato,Desi,FAQ,1800,1900,1900,20 Jul 2016
43,Giridih,Giridih,Potato,Desi,FAQ,1800,1900,1900,22 Jun 2016
44,Giridih,Giridih,Potato,Desi,FAQ,1800,1900,1900,24 Jul 2016
45,Giridih,Giridih,Potato,Desi,FAQ,1900,2100,2100,19 Jul 2016
46,Giridih,Giridih,Potato,Desi,FAQ,2000,2200,2200,23 Nov 2015
47,Hazaribagh,Hazaribagh,Potato,Other,FAQ,900,1050,950,05 Nov 2015
48,Hazaribagh,Hazaribagh,Potato,Other,FAQ,900,1100,1000,12 Dec 2015
49,Hazaribagh,Hazaribagh,Potato,Other,FAQ,950,1100,1000,01 Nov 2015
