0,1,2,3,4,5,6,7,8,9
1,Hassan,Arakalgud,Potato,Local,FAQ,400,500,400,23 Oct 2016
2,Hassan,Arakalgud,Potato,Local,FAQ,400,750,500,07 Oct 2016
3,Hassan,Arakalgud,Potato,Local,FAQ,500,600,500,02 Sep 2016
4,Chikmagalur,Bagepalli,Potato,Other,FAQ,800,1400,1130,25 Feb 2017
5,Bangalore,Bangalore,Potato,Chips,FAQ,1100,1600,1350,20 May 2017
6,Bangalore,Bangalore,Potato,Chips,FAQ,1200,1500,1300,31 Mar 2017
7,Bangalore,Bangalore,Potato,Chips,FAQ,1200,1700,1450,01 Jun 2017
8,Bangalore,Bangalore,Potato,Chips,FAQ,1200,1700,1450,27 May 2017
9,Bangalore,Bangalore,Potato,Chips,FAQ,1200,1900,1550,03 May 2017
10,Bangalore,Bangalore,Potato,Chips,FAQ,1300,1500,1400,05 Apr 2017
11,Bangalore,Bangalore,Potato,Chips,FAQ,1400,1600,1500,01 Jul 2017
12,Bangalore,Bangalore,Potato,Chips,FAQ,1500,1700,1600,21 Jun 2017
13,Bangalore,Bangalore,Potato,Chips,FAQ,1600,1800,1700,24 Sep 2016
14,Bangalore,Bangalore,Potato,Chips,FAQ,1600,1900,1700,26 Sep 2016
15,Bangalore,Bangalore,Potato,Chips,FAQ,1600,1900,1700,27 Sep 2016
16,Bangalore,Bangalore,Potato,Chips,FAQ,1700,1900,1800,24 Nov 2016
17,Bangalore,Bangalore,Potato,Chips,FAQ,1700,2600,2150,15 Dec 2016
18,Bangalore,Bangalore,Potato,Local,FAQ,600,1000,800,08 Mar 2017
19,Bangalore,Bangalore,Potato,Local,FAQ,600,1200,900,17 Jan 2017
20,Bangalore,Bangalore,Potato,Local,FAQ,700,1200,950,28 Jul 2017
21,Bangalore,Bangalore,Potato,Local,FAQ,700,1400,1050,21 Oct 2016
22,Bangalore,Bangalore,Potato,Local,FAQ,800,950,900,23 Feb 2017
23,Bangalore,Bangalore,Potato,Local,FAQ,800,950,900,27 Feb 2017
24,Bangalore,Bangalore,Potato,Local,FAQ,800,1200,1000,25 May 2017
25,Bangalore,Bangalore,Potato,Local,FAQ,800,1200,1000,31 Mar 2017
26,Bangalore,Bangalore,Potato,Local,FAQ,800,1250,1025,03 Jun 2017
27,Bangalore,Bangalore,Potato,Local,FAQ,800,1400,1100,05 Jan 2017
28,Bangalore,Bangalore,Potato,Local,FAQ,800,1700,1250,18 Oct 2016
29,Bangalore,Bangalore,Potato,Local,FAQ,900,1200,1050,19 Apr 2017
30,Bangalore,Bangalore,Potato,Local,FAQ,1000,1600,1300,15 Sep 2016
31,Bangalore,Bangalore,Potato,Local,FAQ,1200,1600,1400,05 Dec 2016
32,Bangalore,Bangalore,Potato,Local,FAQ,1200,1700,1450,24 May 2017
33,Bangalore,Bangalore,Potato,Potato,FAQ,800,1100,950,01 Jul 2017
34,Bangalore,Bangalore,Potato,Potato,FAQ,1100,1300,1200,06 Mar 2017
35,Bangalore,Bangalore,Potato,Potato,FAQ,1200,1900,1550,27 Apr 2017
36,Bangalore,Bangalore,Potato,Potato,FAQ,1300,1400,1350,17 Jul 2017
37,Bangalore,Bangalore,Potato,Potato,FAQ,1300,1500,1400,19 Jul 2017
38,Kolar,Bangarpet,Potato,Jalander,FAQ,2200,3600,2800,06 Sep 2016
39,Kolar,Bangarpet,Potato,Jalander,FAQ,2650,3650,2800,03 Oct 2016
40,Belgaum,Belgaum,Potato,Local,FAQ,400,850,700,16 Jul 2017
41,Belgaum,Belgaum,Potato,Local,FAQ,400,900,790,09 Feb 2017
42,Belgaum,Belgaum,Potato,Local,FAQ,400,1000,800,02 Dec 2016
43,Belgaum,Belgaum,Potato,Local,FAQ,500,1050,900,17 Apr 2017
44,Belgaum,Belgaum,Potato,Local,FAQ,600,1700,1160,10 Sep 2016
45,Belgaum,Belgaum,Potato,Local,FAQ,620,1100,960,05 Apr 2017
46,Belgaum,Belgaum,Potato,Local,FAQ,620,1200,1000,18 May 2017
47,Belgaum,Belgaum,Potato,Local,FAQ,650,1700,1200,25 Sep 2016
48,Belgaum,Belgaum,Potato,Local,FAQ,700,1120,1000,16 Jun 2017
49,Belgaum,Belgaum,Potato,Local,FAQ,900,1700,1300,24 Nov 2016
50,Hassan,Belur,Potato,Chandermukhi,FAQ,700,700,700,18 Aug 2017
51,Hassan,Belur,Potato,Chandermukhi,FAQ,1000,1000,1000,23 Nov 2016
52,Hassan,Belur,Potato,Chandermukhi,FAQ,1250,1250,1250,28 Sep 2016
53,Kolar,Chickkaballapura,Potato,Jalander,FAQ,900,1100,1075,20 Dec 2016
54,Hassan,Arakalgud,Potato,Local,FAQ,500,625,500,02 Oct 2016
55,Hassan,Arakalgud,Potato,Local,FAQ,625,625,625,03 Nov 2016
56,Hassan,Arakalgud,Potato,Local,FAQ,625,625,625,29 Oct 2016
57,Hassan,Arakalgud,Potato,Local,FAQ,833,833,833,14 Aug 2017
58,Chikmagalur,Bagepalli,Potato,Other,FAQ,800,1200,1000,08 Nov 2016
59,Chikmagalur,Bagepalli,Potato,Other,FAQ,900,1100,1000,31 Mar 2017
60,Chikmagalur,Bagepalli,Potato,Potato,FAQ,600,1000,850,07 Dec 2016
61,Chikmagalur,Bagepalli,Potato,Potato,FAQ,800,1200,1040,30 Nov 2016
62,Bangalore,Bangalore,Potato,Chips,FAQ,1000,1300,1150,10 Mar 2017
63,Bangalore,Bangalore,Potato,Chips,FAQ,1100,1200,1150,04 Mar 2017
64,Bangalore,Bangalore,Potato,Chips,FAQ,1100,1600,1350,17 May 2017
65,Bangalore,Bangalore,Potato,Chips,FAQ,1200,1300,1250,22 Mar 2017
66,Bangalore,Bangalore,Potato,Chips,FAQ,1200,1450,1300,14 Mar 2017
67,Bangalore,Bangalore,Potato,Chips,FAQ,1200,1700,1450,30 May 2017
68,Bangalore,Bangalore,Potato,Chips,FAQ,1200,1700,1450,31 May 2017
69,Bangalore,Bangalore,Potato,Chips,FAQ,1200,1900,1550,02 May 2017
70,Bangalore,Bangalore,Potato,Chips,FAQ,1300,1500,1400,07 Jan 2017
71,Bangalore,Bangalore,Potato,Chips,FAQ,1400,1600,1500,07 Jun 2017
72,Bangalore,Bangalore,Potato,Chips,FAQ,1400,1600,1500,19 Oct 2016
73,Bangalore,Bangalore,Potato,Chips,FAQ,1400,1700,1550,20 Oct 2016
74,Bangalore,Bangalore,Potato,Chips,FAQ,1500,2000,1750,15 Nov 2016
75,Bangalore,Bangalore,Potato,Chips,FAQ,1500,2200,1800,19 Nov 2016
76,Bangalore,Bangalore,Potato,Chips,FAQ,1550,2000,1775,24 Dec 2016
