0,1,2,3,4,5,6,7,8,9
1,Alappuzha,Alappuzha,Potato,Other,FAQ,1600,1700,1650,11 Aug 2017
2,Alappuzha,Alappuzha,Potato,Other,FAQ,1800,1900,1850,25 Jan 2017
3,Alappuzha,Alappuzha,Potato,Other,FAQ,1800,1900,1850,29 Aug 2017
4,Alappuzha,Alappuzha,Potato,Other,FAQ,1950,2050,2000,27 Dec 2016
5,Alappuzha,Alappuzha,Potato,Other,FAQ,2000,2100,2050,02 May 2017
6,Alappuzha,Alappuzha,Potato,Other,FAQ,2000,2100,2050,04 May 2017
7,Alappuzha,Alappuzha,Potato,Other,FAQ,2300,2400,2350,19 Sep 2016
8,Alappuzha,Alappuzha,Potato,Other,FAQ,2300,2400,2350,27 Oct 2016
9,Ernakulam,Aluva,Potato,Potato,FAQ,1400,2000,1700,07 Mar 2017
10,Ernakulam,Aluva,Potato,Potato,FAQ,1400,2000,1700,27 Jul 2017
11,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,02 Feb 2017
12,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,02 Jun 2017
13,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,09 May 2017
14,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,10 May 2017
15,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,14 Jan 2017
16,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,28 Jul 2017
17,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,31 Jul 2017
18,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2500,2100,03 Feb 2017
19,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2400,2100,03 Jan 2017
20,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2400,2100,04 Jan 2017
21,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2400,2100,11 Aug 2017
22,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2400,2100,24 Dec 2016
23,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2400,2100,29 Apr 2017
24,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2500,2200,05 Jan 2017
25,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2500,2200,21 Jan 2017
26,Ernakulam,Aluva,Potato,Potato,FAQ,2200,3000,2500,25 Oct 2016
27,Ernakulam,Aluva,Potato,Potato,FAQ,2200,3000,2600,07 Oct 2016
28,Ernakulam,Aluva,Potato,Potato,FAQ,2300,3000,2700,15 Nov 2016
29,Ernakulam,Aluva,Potato,Potato,FAQ,2300,3000,2700,19 Nov 2016
30,Kollam,Anchal,Potato,Other,FAQ,3200,3200,3200,21 Nov 2016
31,Ernakulam,Angamaly,Potato,Potato,FAQ,1400,1800,1600,25 Jan 2017
32,Ernakulam,Angamaly,Potato,Potato,FAQ,1400,1800,1600,27 Dec 2016
33,Ernakulam,Angamaly,Potato,Potato,FAQ,1400,1800,1600,28 Dec 2016
34,Ernakulam,Angamaly,Potato,Potato,FAQ,1600,2000,1800,13 Mar 2017
35,Ernakulam,Angamaly,Potato,Potato,FAQ,1600,2000,1800,29 Nov 2016
36,Ernakulam,Angamaly,Potato,Potato,FAQ,1700,1900,1800,04 Aug 2017
37,Ernakulam,Angamaly,Potato,Potato,FAQ,1700,2300,2000,13 Jul 2017
38,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,15 Apr 2017
39,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,26 Dec 2016
40,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,26 May 2017
41,Ernakulam,Angamaly,Potato,Potato,FAQ,2000,2400,2200,22 Nov 2016
42,Ernakulam,Angamaly,Potato,Potato,FAQ,2000,2400,2200,27 Sep 2016
43,Thiruvananthapuram,Aralamoodu,Potato,Potato,FAQ,1500,2000,2000,15 Mar 2017
44,Thiruvananthapuram,Aralamoodu,Potato,Potato,FAQ,2000,2000,2000,01 Mar 2017
45,Thiruvananthapuram,Aralamoodu,Potato,Potato,FAQ,2000,2000,2000,08 Apr 2017
46,Thiruvananthapuram,Aralamoodu,Potato,Potato,FAQ,2000,2000,2000,22 Mar 2017
47,Thiruvananthapuram,Aralamoodu,Potato,Potato,FAQ,2500,2500,2500,21 Jun 2017
48,Alappuzha,Aroor,Potato,Other,FAQ,1800,2000,1900,23 Dec 2016
49,Alappuzha,Aroor,Potato,Other,FAQ,2000,2200,2100,02 Mar 2017
50,Alappuzha,Aroor,Potato,Other,FAQ,2000,2200,2100,22 Feb 2017
51,Alappuzha,Aroor,Potato,Other,FAQ,2300,2500,2400,29 Jun 2017
52,Alappuzha,Aroor,Potato,Other,FAQ,2300,2500,2400,31 Oct 2016
53,Alappuzha,Aroor,Potato,Other,FAQ,2400,2600,2500,06 Oct 2016
54,Alappuzha,Alappuzha,Potato,Other,FAQ,1600,1700,1650,15 Jul 2017
55,Alappuzha,Alappuzha,Potato,Other,FAQ,1650,1750,1700,01 Aug 2017
56,Alappuzha,Alappuzha,Potato,Other,FAQ,1650,1775,1700,26 Jun 2017
57,Alappuzha,Alappuzha,Potato,Other,FAQ,2000,2100,2050,03 Dec 2016
58,Alappuzha,Alappuzha,Potato,Other,FAQ,2000,2100,2050,19 Apr 2017
59,Alappuzha,Alappuzha,Potato,Other,FAQ,2100,2200,2150,21 Dec 2016
60,Alappuzha,Alappuzha,Potato,Other,FAQ,2300,2400,2350,15 Oct 2016
61,Ernakulam,Aluva,Potato,Potato,FAQ,1400,2000,1700,16 Feb 2017
62,Ernakulam,Aluva,Potato,Potato,FAQ,1500,2000,1800,28 Jun 2017
63,Ernakulam,Aluva,Potato,Potato,FAQ,1500,2400,2000,27 Mar 2017
64,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,01 Apr 2017
65,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,05 May 2017
66,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,08 May 2017
67,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,14 Dec 2016
68,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,14 Feb 2017
69,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,17 May 2017
70,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,18 Aug 2017
71,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,23 May 2017
72,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2400,2100,26 Apr 2017
73,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2400,2200,18 Apr 2017
74,Ernakulam,Aluva,Potato,Potato,FAQ,1800,2500,2200,03 Dec 2016
75,Ernakulam,Aluva,Potato,Potato,FAQ,2000,2800,2400,28 Sep 2016
76,Ernakulam,Aluva,Potato,Potato,FAQ,2000,3000,2500,22 Nov 2016
77,Ernakulam,Aluva,Potato,Potato,FAQ,2300,3000,2700,07 Nov 2016
78,Ernakulam,Aluva,Potato,Potato,FAQ,2400,3200,2800,12 Sep 2016
79,Kollam,Anchal,Potato,Other,FAQ,2200,2200,2200,05 Nov 2016
80,Kollam,Anchal,Potato,Other,FAQ,2400,2400,2400,10 Jun 2017
81,Kollam,Anchal,Potato,Other,FAQ,2500,2500,2500,07 Jul 2017
82,Kollam,Anchal,Potato,Other,FAQ,2500,2500,2500,17 Jul 2017
83,Kollam,Anchal,Potato,Other,FAQ,2500,2500,2500,28 Apr 2017
84,Kollam,Anchal,Potato,Other,FAQ,2500,2500,2500,29 Apr 2017
85,Ernakulam,Angamaly,Potato,Potato,FAQ,1200,1600,1400,16 Jan 2017
86,Ernakulam,Angamaly,Potato,Potato,FAQ,1400,1800,1600,08 Feb 2017
87,Ernakulam,Angamaly,Potato,Potato,FAQ,1400,1800,1600,20 Jan 2017
88,Ernakulam,Angamaly,Potato,Potato,FAQ,1400,1800,1600,28 Feb 2017
89,Ernakulam,Angamaly,Potato,Potato,FAQ,1500,2100,1800,18 Jul 2017
90,Ernakulam,Angamaly,Potato,Potato,FAQ,1600,2000,1800,08 Dec 2016
91,Ernakulam,Angamaly,Potato,Potato,FAQ,1600,2000,1800,08 Mar 2017
92,Ernakulam,Angamaly,Potato,Potato,FAQ,1600,2000,1800,14 Mar 2017
93,Ernakulam,Angamaly,Potato,Potato,FAQ,1600,2000,1800,25 Mar 2017
94,Ernakulam,Angamaly,Potato,Potato,FAQ,1600,2000,1800,27 Feb 2017
95,Ernakulam,Angamaly,Potato,Potato,FAQ,1600,2000,1800,29 May 2017
96,Ernakulam,Angamaly,Potato,Potato,FAQ,1700,2300,2000,16 Jun 2017
97,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,01 Oct 2016
98,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,05 Apr 2017
99,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,09 Aug 2017
100,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,09 Mar 2017
101,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,15 Nov 2016
102,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,18 Mar 2017
103,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,20 Oct 2016
104,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,21 Apr 2017
105,Ernakulam,Angamaly,Potato,Potato,FAQ,1800,2200,2000,28 Jul 2017
106,Ernakulam,Angamaly,Potato,Potato,FAQ,2000,2400,2200,02 May 2017
107,Ernakulam,Angamaly,Potato,Potato,FAQ,2000,2400,2200,03 May 2017
108,Alappuzha,Alappuzha,Potato,Other,FAQ,1950,2050,2000,03 Feb 2017
109,Alappuzha,Alappuzha,Potato,Other,FAQ,2000,2100,2050,07 Jan 2017
110,Alappuzha,Alappuzha,Potato,Other,FAQ,2000,2100,2050,12 Jan 2017
111,Alappuzha,Alappuzha,Potato,Other,FAQ,2000,2150,2100,02 Feb 2017
112,Alappuzha,Alappuzha,Potato,Other,FAQ,2200,2300,2250,21 Oct 2016
113,Alappuzha,Alappuzha,Potato,Other,FAQ,2350,2450,2400,26 Oct 2016
114,Ernakulam,Aluva,Potato,Potato,FAQ,1400,1800,1600,12 Jun 2017
115,Ernakulam,Aluva,Potato,Potato,FAQ,1400,2000,1700,06 Mar 2017
116,Ernakulam,Aluva,Potato,Potato,FAQ,1400,2000,1700,16 Mar 2017
117,Ernakulam,Aluva,Potato,Potato,FAQ,1400,2000,1700,20 Feb 2017
118,Ernakulam,Aluva,Potato,Potato,FAQ,1500,2000,1800,20 Mar 2017
119,Ernakulam,Aluva,Potato,Potato,FAQ,1600,2400,2000,03 Mar 2017
