0,1,2,3,4,5,6,7,8,9
1,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,800,600,16 Jan 2017
2,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,800,600,26 Mar 2017
3,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,900,650,21 May 2017
4,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1000,700,28 May 2017
5,Ahmednagar,Ahmednagar,Potato,Other,FAQ,500,1000,750,26 May 2017
6,Ahmednagar,Ahmednagar,Potato,Other,FAQ,600,1100,850,16 Oct 2016
7,Sholapur,Akluj,Potato,Local,FAQ,500,800,700,15 Dec 2016
8,Sholapur,Akluj,Potato,Local,FAQ,500,1000,700,11 Feb 2017
9,Sholapur,Akluj,Potato,Local,FAQ,600,900,800,30 Jan 2017
10,Sholapur,Akluj,Potato,Local,FAQ,700,1000,800,05 Feb 2017
11,Sholapur,Akluj,Potato,Local,FAQ,700,1000,900,17 Aug 2017
12,Sholapur,Akluj,Potato,Local,FAQ,700,1000,900,27 Jul 2017
13,Sholapur,Akluj,Potato,Local,FAQ,700,1100,1000,05 May 2017
14,Sholapur,Akluj,Potato,Local,FAQ,700,1200,1000,13 Jan 2017
15,Sholapur,Akluj,Potato,Local,FAQ,700,1200,1000,15 Jan 2017
16,Sholapur,Akluj,Potato,Local,FAQ,800,1000,900,06 May 2017
17,Sholapur,Akluj,Potato,Local,FAQ,800,1100,1000,08 Jul 2017
18,Sholapur,Akluj,Potato,Local,FAQ,800,1200,1000,06 Mar 2017
19,Sholapur,Akluj,Potato,Local,FAQ,900,1000,1000,24 Aug 2017
20,Sholapur,Akluj,Potato,Local,FAQ,900,1100,1000,19 Mar 2017
21,Sholapur,Akluj,Potato,Local,FAQ,900,1200,1000,08 Apr 2017
22,Sholapur,Akluj,Potato,Local,FAQ,900,1200,1000,10 Jun 2017
23,Sholapur,Akluj,Potato,Local,FAQ,900,1200,1000,19 Jun 2017
24,Sholapur,Akluj,Potato,Local,FAQ,900,1200,1000,26 May 2017
25,Sholapur,Akluj,Potato,Local,FAQ,1000,1300,1200,19 Apr 2017
26,Sholapur,Akluj,Potato,Local,FAQ,1000,1800,1500,26 Oct 2016
27,Sholapur,Akluj,Potato,Local,FAQ,1000,2000,1700,22 Sep 2016
28,Sholapur,Akluj,Potato,Local,FAQ,1800,2300,2000,19 Sep 2016
29,Amarawati,Amarawati,Potato,Other,FAQ,1200,1400,1300,21 Oct 2016
30,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,400,700,550,22 Apr 2017
31,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,400,800,600,07 Apr 2017
32,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,400,800,600,31 Mar 2017
33,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,700,600,18 Apr 2017
34,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,700,650,08 Jul 2017
35,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,800,700,06 Jun 2017
36,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,800,700,27 Mar 2017
37,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,650,750,700,09 Jul 2017
38,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1000,1200,1100,07 Oct 2016
39,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1250,1550,1400,21 Nov 2016
40,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1300,1500,1400,16 Sep 2016
41,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1400,1700,1500,06 Sep 2016
42,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,11 Jan 2017
43,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,13 Jan 2017
44,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,17 Jan 2017
45,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,24 Aug 2017
46,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,31 Aug 2017
47,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,900,700,17 Feb 2017
48,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,700,900,800,07 Jul 2017
49,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,700,900,800,10 Mar 2017
50,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,700,900,800,27 Mar 2017
51,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,600,500,01 Jan 2017
52,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,800,600,14 Jul 2017
53,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,900,650,20 Jun 2017
54,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1000,700,27 Nov 2016
55,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,1000,700,29 May 2017
56,Ahmednagar,Ahmednagar,Potato,Other,FAQ,1000,1400,1200,16 Sep 2016
57,Ahmednagar,Ahmednagar,Potato,Other,FAQ,1000,1400,1200,19 Sep 2016
58,Sholapur,Akluj,Potato,Local,FAQ,500,800,600,04 Feb 2017
59,Sholapur,Akluj,Potato,Local,FAQ,500,800,700,22 Dec 2016
60,Sholapur,Akluj,Potato,Local,FAQ,500,1200,700,03 Apr 2017
61,Sholapur,Akluj,Potato,Local,FAQ,700,1100,1000,30 Mar 2017
62,Sholapur,Akluj,Potato,Local,FAQ,800,1100,900,21 May 2017
63,Sholapur,Akluj,Potato,Local,FAQ,800,1100,1000,10 May 2017
64,Sholapur,Akluj,Potato,Local,FAQ,800,1200,900,26 Apr 2017
65,Sholapur,Akluj,Potato,Local,FAQ,900,1000,1000,28 Jul 2017
66,Sholapur,Akluj,Potato,Local,FAQ,900,1100,1000,16 Mar 2017
67,Sholapur,Akluj,Potato,Local,FAQ,900,1200,1000,17 Mar 2017
68,Sholapur,Akluj,Potato,Local,FAQ,900,1200,1000,24 Mar 2017
69,Sholapur,Akluj,Potato,Local,FAQ,900,1200,1000,30 Nov 2016
70,Sholapur,Akluj,Potato,Local,FAQ,1000,1200,1000,16 Jun 2017
71,Sholapur,Akluj,Potato,Local,FAQ,1200,1800,1500,19 Oct 2016
72,Amarawati,Amarawati,Potato,Other,FAQ,1100,1300,1200,19 Oct 2016
73,Amarawati,Amarawati,Potato,Other,FAQ,1400,1650,1525,28 Sep 2016
74,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,300,600,500,24 Dec 2016
75,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,700,600,05 Feb 2017
76,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,800,650,18 Mar 2017
77,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,800,700,20 Dec 2016
78,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,550,750,650,28 Jan 2017
79,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,550,800,675,15 Apr 2017
80,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,550,900,725,17 Apr 2017
81,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,700,650,07 May 2017
82,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,800,700,06 May 2017
83,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,800,700,14 Jul 2017
84,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,800,700,18 Jun 2017
85,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1000,1400,1200,08 Nov 2016
86,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1000,1600,1500,09 Oct 2016
87,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1400,1600,1500,03 Sep 2016
88,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1400,1600,1500,05 Sep 2016
89,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1450,1650,1500,11 Sep 2016
90,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,300,700,500,23 Dec 2016
91,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,500,800,650,14 Jan 2017
92,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,16 Aug 2017
93,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,24 Jul 2017
94,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,900,750,15 Feb 2017
95,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,1000,800,07 Feb 2017
96,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,700,1000,850,30 May 2017
97,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,800,1000,900,12 Apr 2017
98,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,800,1000,900,21 Jun 2017
99,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,800,1100,900,29 Nov 2016
100,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,700,550,21 Aug 2017
101,Ahmednagar,Ahmednagar,Potato,Other,FAQ,400,900,650,09 Apr 2017
102,Ahmednagar,Ahmednagar,Potato,Other,FAQ,1000,1400,1200,18 Sep 2016
103,Ahmednagar,Ahmednagar,Potato,Other,FAQ,1000,1700,1350,01 Sep 2016
104,Sholapur,Akluj,Potato,Local,FAQ,500,700,600,03 Dec 2016
105,Sholapur,Akluj,Potato,Local,FAQ,500,800,700,24 Dec 2016
106,Sholapur,Akluj,Potato,Local,FAQ,500,900,700,15 Feb 2017
107,Sholapur,Akluj,Potato,Local,FAQ,500,1200,800,06 Apr 2017
108,Sholapur,Akluj,Potato,Local,FAQ,700,1000,900,25 Jan 2017
109,Sholapur,Akluj,Potato,Local,FAQ,700,1000,900,25 Mar 2017
110,Sholapur,Akluj,Potato,Local,FAQ,800,1000,900,29 Jul 2017
111,Sholapur,Akluj,Potato,Local,FAQ,800,1200,1000,13 Mar 2017
112,Sholapur,Akluj,Potato,Local,FAQ,900,1100,1000,31 Mar 2017
113,Sholapur,Akluj,Potato,Local,FAQ,900,1200,1000,21 Jun 2017
114,Sholapur,Akluj,Potato,Local,FAQ,1000,1200,1000,28 Jun 2017
115,Sholapur,Akluj,Potato,Local,FAQ,1000,1200,1100,12 Jul 2017
116,Sholapur,Akluj,Potato,Local,FAQ,1000,1700,1500,05 Oct 2016
117,Sholapur,Akluj,Potato,Local,FAQ,1200,1500,1400,12 Nov 2016
118,Sholapur,Akluj,Potato,Local,FAQ,1200,1600,1400,19 Nov 2016
119,Sholapur,Akluj,Potato,Local,FAQ,1300,2800,2000,19 Aug 2017
120,Sholapur,Akluj,Potato,Local,FAQ,1500,2000,1700,11 Sep 2016
121,Amarawati,Amarawati,Potato,Other,FAQ,1000,1200,1100,15 Oct 2016
122,Amarawati,Amarawati,Potato,Other,FAQ,1400,1600,1500,03 Sep 2016
123,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,600,550,06 Jan 2017
124,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,700,600,19 Dec 2016
125,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,700,600,23 May 2017
126,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,800,650,19 Apr 2017
127,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,800,650,29 Apr 2017
128,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,500,800,700,17 Dec 2016
129,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,700,650,13 Jun 2017
130,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,700,650,26 Jun 2017
131,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,800,700,02 May 2017
132,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,800,700,09 Jun 2017
133,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,600,800,700,25 Mar 2017
134,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,800,1000,900,20 Sep 2016
135,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1000,1300,1150,24 Oct 2016
136,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1000,1400,1200,05 Nov 2016
137,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1050,1450,1250,15 Nov 2016
138,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1200,1500,1400,14 Oct 2016
139,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1400,1500,1450,02 Sep 2016
140,Amarawati,Amrawati(Frui & Veg. Market),Potato,Other,FAQ,1400,1600,1500,10 Sep 2016
141,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,300,700,500,24 Dec 2016
142,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,02 Aug 2017
143,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,10 Jan 2017
144,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,14 Mar 2017
145,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,16 Dec 2016
146,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,22 Aug 2017
147,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,800,700,31 Jul 2017
148,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,600,900,750,14 Feb 2017
149,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,700,900,800,31 May 2017
150,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,700,1000,850,14 Jun 2017
151,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,800,1000,900,06 Dec 2016
152,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,800,1000,900,10 Apr 2017
153,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,800,1000,900,22 Jun 2017
154,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,1400,1600,1500,29 Oct 2016
155,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,1500,1700,1600,07 Oct 2016
156,Chandrapur,Chandrapur(Ganjwad),Potato,Other,FAQ,1500,1700,1600,20 Sep 2016
157,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Potato,Other,FAQ,400,500,450,01 Dec 2016
158,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Potato,Other,FAQ,400,500,450,15 Jul 2017
159,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Potato,Other,FAQ,400,600,500,22 Jul 2017
160,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Potato,Other,FAQ,400,600,500,26 Dec 2016
