0,1,2,3,4,5,6,7,8,9
1,Bishnupur,Bishenpur,Potato,Other,FAQ,840,1240,1040,10 Feb 2016
2,Bishnupur,Bishenpur,Potato,Other,FAQ,840,1240,1040,11 Feb 2016
3,Bishnupur,Bishenpur,Potato,Other,FAQ,840,1240,1040,12 Feb 2016
4,Bishnupur,Bishenpur,Potato,Other,FAQ,840,1240,1040,16 Feb 2016
5,Bishnupur,Bishenpur,Potato,Other,FAQ,850,1250,1050,20 Jan 2016
6,Bishnupur,Bishenpur,Potato,Other,FAQ,850,1250,1050,23 Jan 2016
7,Bishnupur,Bishenpur,Potato,Other,FAQ,850,1250,1050,25 Jan 2016
8,Bishnupur,Bishenpur,Potato,Other,FAQ,850,1250,1050,27 Jan 2016
9,Bishnupur,Bishenpur,Potato,Other,FAQ,890,1290,1090,01 Feb 2016
10,Bishnupur,Bishenpur,Potato,Other,FAQ,890,1290,1090,04 Feb 2016
11,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,06 Feb 2016
12,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,08 Feb 2016
13,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,09 Feb 2016
14,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,17 Feb 2016
15,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,20 Feb 2016
16,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,22 Feb 2016
17,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,23 Feb 2016
18,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,24 Feb 2016
19,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,25 Feb 2016
20,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,27 Feb 2016
21,Bishnupur,Bishenpur,Potato,Other,FAQ,1100,1500,1300,29 Feb 2016
22,Bishnupur,Bishenpur,Potato,Other,FAQ,1200,1600,1400,01 Mar 2016
23,Bishnupur,Bishenpur,Potato,Other,FAQ,1200,1600,1400,02 Mar 2016
24,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,01 Dec 2015
25,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,02 Dec 2015
26,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,02 Nov 2015
27,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,03 Dec 2015
28,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,03 Nov 2015
29,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,04 Dec 2015
30,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,04 Nov 2015
31,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,05 Dec 2015
32,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,05 Nov 2015
33,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,06 Nov 2015
34,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,07 Dec 2015
35,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,07 Nov 2015
36,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,08 Dec 2015
37,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,08 Jan 2016
38,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,09 Dec 2015
39,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,09 Nov 2015
40,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,10 Dec 2015
41,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,10 Nov 2015
42,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,11 Dec 2015
43,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,11 Jan 2016
44,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,12 Jan 2016
45,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,12 Nov 2015
46,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,13 Jan 2016
47,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,14 Jan 2016
48,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,15 Dec 2015
49,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,15 Jan 2016
50,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,16 Jan 2016
51,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,16 Nov 2015
52,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,17 Nov 2015
53,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,18 Jan 2016
54,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,18 Nov 2015
55,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,19 Jan 2016
56,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,19 Nov 2015
57,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,20 Nov 2015
58,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,21 Nov 2015
59,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,24 Nov 2015
60,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,25 Nov 2015
61,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,26 Nov 2015
62,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,27 Nov 2015
63,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,28 Nov 2015
64,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,29 Oct 2015
65,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,30 Nov 2015
66,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,30 Oct 2015
67,Bishnupur,Bishenpur,Potato,Other,FAQ,1300,1700,1500,31 Oct 2015
68,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,01 Oct 2015
69,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,03 Oct 2015
70,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,05 Oct 2015
71,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,06 Oct 2015
72,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,07 Oct 2015
73,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,08 Oct 2015
74,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,09 Oct 2015
75,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,12 Oct 2015
76,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,13 Oct 2015
77,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,16 Oct 2015
78,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,17 Oct 2015
79,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,19 Oct 2015
80,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,20 Oct 2015
81,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,22 Oct 2015
82,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,23 Oct 2015
83,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,24 Oct 2015
84,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,24 Sep 2015
85,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,25 Sep 2015
86,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,26 Sep 2015
87,Bishnupur,Bishenpur,Potato,Other,FAQ,1400,1800,1600,29 Sep 2015
88,Bishnupur,Bishenpur,Potato,Other,FAQ,1600,2000,1800,26 Oct 2015
89,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,01 Jan 2016
90,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,16 Dec 2015
91,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,17 Dec 2015
92,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,18 Dec 2015
93,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,19 Dec 2015
94,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,21 Dec 2015
95,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,22 Dec 2015
96,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,23 Dec 2015
97,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,26 Dec 2015
98,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,29 Dec 2015
99,Bishnupur,Bishenpur,Potato,Other,FAQ,1800,2200,2000,30 Dec 2015
100,Bishnupur,Bishenpur,Potato,Other,FAQ,1900,2300,2100,14 Sep 2015
101,Bishnupur,Bishenpur,Potato,Other,FAQ,1900,2300,2100,17 Sep 2015
102,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,01 Aug 2016
103,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,11 Aug 2016
104,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,12 Aug 2016
105,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,15 Aug 2016
106,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,16 Aug 2016
107,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,17 Aug 2016
108,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,18 Aug 2016
109,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,20 Aug 2016
110,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,22 Aug 2016
111,Bishnupur,Bishenpur,Potato,Other,FAQ,2100,2500,2300,30 Jul 2016
112,Bishnupur,Bishenpur,Potato,Other,FAQ,2200,2700,2500,05 Aug 2016
113,Bishnupur,Bishenpur,Potato,Other,FAQ,2200,2700,2500,06 Aug 2016
114,Bishnupur,Bishenpur,Potato,Other,FAQ,2200,2700,2500,08 Aug 2016
115,Bishnupur,Bishenpur,Potato,Other,FAQ,2200,2700,2500,09 Aug 2016
116,Bishnupur,Bishenpur,Potato,Other,FAQ,2300,2700,2500,01 Sep 2016
