0,1,2,3,4,5,6,7,8,9
1,Shajapur,Agar,Potato,Potato,FAQ,2000,2000,2000,07 Nov 2024
2,Shajapur,Agar,Potato,Potato,FAQ,2000,2000,2000,18 Sep 2024
3,Badwani,Badwani(F&V),Potato,Potato,FAQ,1500,1500,1500,27 Oct 2024
4,Badwani,Badwani(F&V),Potato,Potato,FAQ,1600,1600,1600,10 Nov 2024
5,Badwani,Badwani(F&V),Potato,Potato,FAQ,1800,1800,1800,28 Oct 2024
6,Shivpuri,Barad,Potato,Potato,FAQ,1400,1400,1400,30 Sep 2024
7,Bhind,Bhind,Potato,Potato,FAQ,1200,1200,1200,21 Sep 2024
8,Bhind,Bhind,Potato,Potato,FAQ,1300,1300,1300,02 Jul 2024
9,Hoshangabad,Hoshangabad(F&V),Potato,Potato,FAQ,1740,3110,2260,25 Oct 2024
10,Hoshangabad,Hoshangabad(F&V),Potato,Potato,FAQ,1760,3050,2300,06 Nov 2024
11,Hoshangabad,Hoshangabad(F&V),Potato,Potato,FAQ,1760,3080,2310,04 Nov 2024
12,Hoshangabad,Hoshangabad(F&V),Potato,Potato,FAQ,1800,3120,2330,11 Nov 2024
13,Indore,Indore,Potato,Local,FAQ,2200,2200,2200,31 Jul 2024
14,Katni,Katni,Potato,Potato,FAQ,1400,1600,1600,03 Nov 2024
15,Katni,Katni,Potato,Potato,FAQ,1600,1600,1600,03 Oct 2024
16,Katni,Katni,Potato,Potato,FAQ,1600,1700,1700,07 Nov 2024
17,Katni,Katni,Potato,Potato,FAQ,1800,1900,1900,14 Aug 2024
18,Sagar,Khurai(F&V),Potato,Potato,FAQ,2000,2600,2300,08 Nov 2024
19,Sagar,Khurai(F&V),Potato,Potato,FAQ,2100,2500,2300,24 Oct 2024
20,Dhar,Manawar(F&V),Potato,Potato,FAQ,2150,2350,2250,24 Nov 2024
21,Dhar,Manawar(F&V),Potato,Potato,FAQ,2250,2450,2350,17 Nov 2024
22,Dhar,Manawar(F&V),Potato,Potato,FAQ,2250,2450,2350,27 Nov 2024
23,Dhar,Manawar(F&V),Potato,Potato,FAQ,2333,2533,2433,11 Oct 2024
24,Indore,Mhow(F&V),Potato,Potato,FAQ,1400,1600,1505,21 Oct 2024
25,Morena,Morena,Potato,Potato,FAQ,500,500,500,16 Jul 2024
26,Morena,Morena,Potato,Potato,FAQ,500,800,800,09 Nov 2024
27,Morena,Morena,Potato,Potato,FAQ,600,600,600,15 Nov 2024
28,Morena,Morena,Potato,Potato,FAQ,600,800,800,14 Oct 2024
29,Morena,Morena,Potato,Potato,FAQ,600,1200,600,10 Nov 2024
30,Morena,Morena,Potato,Potato,FAQ,600,1200,1200,16 Aug 2024
31,Morena,Morena,Potato,Potato,FAQ,1000,1200,1200,24 Sep 2024
32,Morena,Morena,Potato,Potato,FAQ,1000,1200,1200,28 Jul 2024
33,Morena,Morena,Potato,Potato,FAQ,3000,3000,3000,14 Jul 2024
34,Jhabua,Petlawad(F&V),Potato,Desi,FAQ,1200,1600,1477,05 Oct 2024
35,Jhabua,Petlawad(F&V),Potato,Desi,FAQ,1200,1900,1543,01 Nov 2024
36,Morena,Porsa,Potato,Potato,FAQ,600,1000,1000,16 Oct 2024
37,Morena,Porsa,Potato,Potato,FAQ,900,900,900,04 Aug 2024
38,Morena,Porsa,Potato,Potato,FAQ,900,900,900,20 Jul 2024
39,Morena,Porsa,Potato,Potato,FAQ,1000,1000,1000,02 Jul 2024
40,Morena,Porsa,Potato,Potato,FAQ,1000,1000,1000,03 Sep 2024
41,Morena,Porsa,Potato,Potato,FAQ,1000,1000,1000,06 Sep 2024
42,Morena,Porsa,Potato,Potato,FAQ,1000,1000,1000,18 Oct 2024
43,Morena,Porsa,Potato,Potato,FAQ,1000,1000,1000,23 Sep 2024
44,Morena,Porsa,Potato,Potato,FAQ,1000,1000,1000,30 Sep 2024
45,Morena,Porsa,Potato,Potato,FAQ,1000,1200,1200,02 Aug 2024
46,Dhar,Rajgarh(F&V),Potato,Desi,FAQ,1800,2500,2000,14 Oct 2024
47,Rewa,Rewa(F&V),Potato,Other,FAQ,1500,1600,1500,19 Nov 2024
48,Morena,Sabalgarh(F&V),Potato,Desi,FAQ,450,500,475,27 Nov 2024
49,Morena,Sabalgarh(F&V),Potato,Desi,FAQ,500,1000,800,07 Nov 2024
50,Shajapur,Shajapur,Potato,Potato,FAQ,2160,2160,2160,12 Aug 2024
51,Shajapur,Shajapur,Potato,Potato,FAQ,2240,2240,2240,09 Aug 2024
