0,1,2,3,4,5,6,7,8,9
1,Bhopal,Bhopal(F&V),Potato,Other,FAQ,200,300,250,12 May 2015
2,Bhopal,Bhopal(F&V),Potato,Other,FAQ,200,300,250,29 Apr 2015
3,Bhopal,Bhopal(F&V),Potato,Other,FAQ,200,500,400,12 Mar 2015
4,Bhopal,Bhopal(F&V),Potato,Other,FAQ,300,500,400,15 Mar 2015
5,Bhopal,Bhopal(F&V),Potato,Other,FAQ,300,600,400,18 Jun 2015
6,Bhopal,Bhopal(F&V),Potato,Other,FAQ,400,600,500,26 Feb 2015
7,Bhopal,Bhopal(F&V),Potato,Other,FAQ,400,800,600,11 Feb 2015
8,Bhopal,Bhopal(F&V),Potato,Other,FAQ,400,800,600,26 Dec 2014
9,Bhopal,Bhopal(F&V),Potato,Other,FAQ,500,800,600,14 Mar 2015
10,Bhopal,Bhopal(F&V),Potato,Other,FAQ,800,1400,1400,01 Dec 2014
11,Bhopal,Bhopal(F&V),Potato,Other,FAQ,1200,1400,1300,15 Nov 2014
12,Bhopal,Bhopal(F&V),Potato,Other,FAQ,1600,2000,1800,01 Nov 2014
13,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,400,800,600,09 Aug 2015
14,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,400,800,600,20 Aug 2015
15,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,500,800,600,06 Apr 2015
16,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,500,800,600,13 Jul 2015
17,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,500,800,600,21 Jun 2015
18,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,500,800,600,23 Jun 2015
19,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,500,800,600,25 May 2015
20,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,500,900,700,01 Jun 2015
21,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,500,900,700,04 Apr 2015
22,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,500,900,700,31 May 2015
23,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,600,1000,800,01 Jul 2015
24,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,600,1000,800,05 Jul 2015
25,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,700,1200,1000,12 Mar 2015
26,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,800,1400,1200,21 Jan 2015
27,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,800,1600,1200,23 Dec 2014
28,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,800,1800,1200,01 Jan 2015
29,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,1000,1400,1200,21 Feb 2015
30,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,1000,1500,1200,30 Jan 2015
31,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,1500,2800,2400,29 Nov 2014
32,Burhanpur,Burhanpur(F&V),Potato,Other,FAQ,1600,2400,2000,31 Oct 2014
33,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,400,500,450,09 Feb 2015
34,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,400,500,450,27 Feb 2015
35,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,400,500,475,11 Feb 2015
36,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,400,500,475,15 Jan 2015
37,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,400,500,475,21 Jan 2015
38,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,400,500,475,29 Jan 2015
39,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,500,600,550,02 Jan 2015
40,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,500,600,550,08 Aug 2015
41,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,500,600,575,01 Apr 2015
42,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,500,600,575,18 Dec 2014
43,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,600,700,650,09 Jan 2015
44,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,600,1000,800,06 Jul 2015
45,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,600,1000,800,29 Jun 2015
46,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,700,800,750,06 Dec 2014
47,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,700,800,750,12 Dec 2014
48,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,700,800,775,22 Nov 2014
49,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,700,800,775,27 Nov 2014
50,Chhindwara,Chhindwara(F&V),Potato,Other,FAQ,800,900,850,19 Nov 2014
51,Damoh,Damoh(F&V),Potato,Other,FAQ,1000,1000,1000,21 Dec 2014
52,Sagar,Deori,Potato,Other,FAQ,300,700,500,16 Apr 2015
53,Sagar,Deori,Potato,Other,FAQ,300,700,500,24 Mar 2015
54,Sagar,Deori,Potato,Other,FAQ,300,800,500,30 Mar 2015
55,Sagar,Deori,Potato,Other,FAQ,300,800,650,17 Apr 2015
56,Sagar,Deori,Potato,Other,FAQ,400,1100,800,30 Jan 2015
57,Sagar,Deori,Potato,Other,FAQ,600,1400,900,08 Jan 2015
58,Sagar,Deori,Potato,Other,FAQ,800,1400,1200,06 Oct 2014
59,Sagar,Deori,Potato,Other,FAQ,800,1600,1200,19 Sep 2014
