0,1,2,3,4,5,6,7,8,9
1,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,2100,2000,03 Jun 2019
2,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,07 Jun 2019
3,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,10 Jun 2019
4,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,10 May 2019
5,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,11 Jun 2019
6,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,14 Jun 2019
7,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,14 May 2019
8,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,17 May 2019
9,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,21 Jun 2019
10,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,24 Jun 2019
11,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,25 Jun 2019
12,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,26 Jun 2019
13,Aizawl,New Market Aizawl,Potato,Other,FAQ,1200,3000,2100,28 May 2019
14,Aizawl,New Market Aizawl,Potato,Other,FAQ,1500,3000,2250,21 Sep 2018
15,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,01 Aug 2019
16,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,02 Aug 2019
17,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,02 Jul 2019
18,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,03 Jul 2019
19,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,04 Jul 2019
20,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,05 Jul 2019
21,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,08 Jul 2019
22,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,10 Jul 2019
23,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,13 Aug 2019
24,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,14 Aug 2019
25,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,19 Aug 2019
26,Aizawl,New Market Aizawl,Potato,Other,FAQ,2000,4000,3000,22 Aug 2019
