0,1,2,3,4,5,6,7,8,9
1,Zunheboto,Ghathashi,Potato,Potato,FAQ,3000,3100,3000,14 Jul 2023
2,Zunheboto,Ghathashi,Potato,Potato,FAQ,3100,3200,3150,16 Aug 2023
3,Zunheboto,Ghathashi,Potato,Potato,FAQ,5400,5700,5500,01 Aug 2023
4,Kohima,Jalukie,Potato,Other,FAQ,4000,4200,4100,03 Mar 2023
5,Kohima,Jalukie,Potato,Other,FAQ,4000,4300,4200,12 May 2023
6,Kohima,Jalukie,Potato,Other,FAQ,4400,4600,4500,17 Feb 2023
7,Kohima,Jalukie,Potato,Other,FAQ,5000,5200,5100,03 Feb 2023
8,Kohima,Jalukie,Potato,Other,FAQ,5400,5600,5500,01 May 2023
9,Kohima,Jalukie,Potato,Other,FAQ,5400,5600,5500,06 May 2023
10,Kohima,Jalukie,Potato,Other,FAQ,5400,5600,5500,10 May 2023
11,Kohima,Jalukie,Potato,Other,FAQ,5600,5800,5700,12 Aug 2023
12,Kohima,Jalukie,Potato,Other,FAQ,6000,6200,6100,04 May 2023
13,Kohima,Jalukie,Potato,Other,FAQ,6000,6200,6100,05 May 2023
14,Kohima,Jalukie,Potato,Other,FAQ,6000,6200,6100,25 Apr 2023
15,Kohima,Jalukie,Potato,Other,FAQ,6000,6200,6100,25 Mar 2023
16,Kohima,Jalukie,Potato,Other,FAQ,6000,6200,6100,28 Apr 2023
17,Kohima,Jalukie,Potato,Other,FAQ,6000,6300,6200,03 May 2023
18,Kohima,Jalukie,Potato,Other,FAQ,6000,6300,6200,08 May 2023
19,Kohima,Jalukie,Potato,Other,FAQ,6000,6300,6200,09 May 2023
20,Kohima,Jalukie,Potato,Other,FAQ,6000,6300,6200,11 May 2023
21,Kohima,Jalukie,Potato,Other,FAQ,6000,6300,6200,14 Apr 2023
22,Kohima,Jalukie,Potato,Other,FAQ,6000,6300,6200,16 Dec 2022
23,Kohima,Jalukie,Potato,Other,FAQ,6000,6300,6200,20 Mar 2023
24,Kohima,Jalukie,Potato,Other,FAQ,6000,6300,6200,27 Jan 2023
25,Kohima,Jalukie,Potato,Other,FAQ,7000,7200,7100,23 Dec 2022
26,Kohima,Jalukie,Potato,Other,FAQ,7000,7300,7200,23 Sep 2022
27,Kohima,Jalukie,Potato,Other,FAQ,7500,7700,7600,02 Dec 2022
28,Kohima,Jalukie,Potato,Other,FAQ,7500,7700,7600,09 Sep 2022
29,Kohima,Jalukie,Potato,Other,FAQ,8000,8200,8100,17 May 2023
30,Kohima,Jalukie,Potato,Other,FAQ,8000,8200,8100,20 May 2023
