0,1,2,3,4,5,6,7,8,9
1,Angul,Angaura,Potato,Other,FAQ,1800,2200,2000,04 Apr 2022
2,Angul,Angul,Potato,Other,FAQ,1200,1600,1500,07 Sep 2021
3,Angul,Angul,Potato,Other,FAQ,1400,1600,1500,09 Sep 2021
4,Angul,Angul,Potato,Other,FAQ,1400,1600,1500,15 Sep 2021
5,Angul,Angul,Potato,Other,FAQ,1400,2000,1500,14 Sep 2021
6,Angul,Angul,Potato,Other,FAQ,1800,2000,2000,10 Dec 2021
7,Angul,Angul,Potato,Other,FAQ,1800,2200,2000,05 Feb 2022
8,Angul,Angul,Potato,Other,FAQ,2000,2200,2200,19 Oct 2021
9,Angul,Angul,Potato,Other,FAQ,2000,2500,2200,03 May 2022
10,Angul,Angul,Potato,Other,FAQ,2000,2500,2200,05 May 2022
11,Angul,Angul,Potato,Other,FAQ,2000,2500,2200,29 Nov 2021
12,Angul,Angul,Potato,Other,FAQ,2000,3000,2500,14 May 2022
13,Angul,Angul,Potato,Other,FAQ,2000,3000,2500,20 Aug 2022
14,Angul,Angul,Potato,Other,FAQ,2000,3000,2500,27 Aug 2022
15,Angul,Angul(Atthamallick),Potato,Potato,FAQ,1500,2000,1800,02 Dec 2021
16,Angul,Angul(Atthamallick),Potato,Potato,FAQ,1500,2000,1800,03 Dec 2021
17,Angul,Angul(Atthamallick),Potato,Potato,FAQ,1600,2000,1800,01 Jan 2022
18,Angul,Angul(Atthamallick),Potato,Potato,FAQ,1700,2000,1800,27 Nov 2021
19,Angul,Angul(Atthamallick),Potato,Potato,FAQ,1800,2000,1900,05 Dec 2021
20,Angul,Angul(Atthamallick),Potato,Potato,FAQ,1800,2000,1900,29 Nov 2021
21,Angul,Angul(Jarapada),Potato,Other,FAQ,1400,1600,1500,02 Oct 2021
22,Angul,Angul(Jarapada),Potato,Other,FAQ,1600,2000,1800,31 Oct 2021
23,Angul,Angul(Jarapada),Potato,Other,FAQ,1800,2000,1800,12 Dec 2021
24,Angul,Angul(Jarapada),Potato,Other,FAQ,1800,2000,2000,30 Jan 2022
25,Angul,Angul(Jarapada),Potato,Other,FAQ,1800,2200,2000,07 Feb 2022
26,Angul,Angul(Jarapada),Potato,Other,FAQ,2000,2200,2000,10 Jan 2022
27,Angul,Angul(Jarapada),Potato,Other,FAQ,2000,2500,2500,11 Jul 2022
28,Angul,Angul(Jarapada),Potato,Other,FAQ,2000,3000,2500,01 Aug 2022
