0,1,2,3,4,5,6,7,8,9
1,Sirohi,Abu Road,Potato,Other,FAQ,775,825,800,07 Jan 2022
2,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,02 Nov 2021
3,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,03 Apr 2022
4,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,06 Jun 2022
5,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,10 Dec 2021
6,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,12 Jun 2022
7,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,12 Nov 2021
8,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,14 Apr 2022
9,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,17 Nov 2021
10,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,19 Apr 2022
11,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,23 Feb 2022
12,Sirohi,Abu Road,Potato,Other,FAQ,975,1025,1000,28 Feb 2022
13,Sirohi,Abu Road,Potato,Other,FAQ,1075,1125,1100,10 Apr 2022
14,Sirohi,Abu Road,Potato,Other,FAQ,1175,1225,1200,07 Mar 2022
15,Sirohi,Abu Road,Potato,Other,FAQ,1175,1225,1200,20 May 2022
16,Sirohi,Abu Road,Potato,Other,FAQ,1175,1225,1200,24 Apr 2022
17,Sirohi,Abu Road,Potato,Other,FAQ,1175,1225,1200,25 Apr 2022
18,Sirohi,Abu Road,Potato,Other,FAQ,1175,1225,1200,31 Dec 2021
19,Sirohi,Abu Road,Potato,Other,FAQ,1475,1525,1500,28 Jan 2022
20,Ajmer,Ajmer(F&V),Potato,Other,FAQ,600,1000,800,10 Jan 2022
21,Ajmer,Ajmer(F&V),Potato,Other,FAQ,600,1000,800,12 Jan 2022
22,Ajmer,Ajmer(F&V),Potato,Other,FAQ,700,1100,900,05 Feb 2022
23,Ajmer,Ajmer(F&V),Potato,Other,FAQ,700,1200,950,13 Sep 2021
24,Ajmer,Ajmer(F&V),Potato,Other,FAQ,700,1200,950,19 Sep 2021
25,Ajmer,Ajmer(F&V),Potato,Other,FAQ,700,1400,1050,28 Feb 2022
26,Ajmer,Ajmer(F&V),Potato,Other,FAQ,800,1200,1000,04 Feb 2022
27,Ajmer,Ajmer(F&V),Potato,Other,FAQ,800,1200,1000,12 Sep 2021
28,Ajmer,Ajmer(F&V),Potato,Other,FAQ,800,1200,1000,18 Sep 2021
29,Ajmer,Ajmer(F&V),Potato,Other,FAQ,800,1300,1050,03 Feb 2022
30,Ajmer,Ajmer(F&V),Potato,Other,FAQ,800,1300,1050,22 Oct 2021
31,Ajmer,Ajmer(F&V),Potato,Other,FAQ,800,1400,1100,21 Feb 2022
32,Ajmer,Ajmer(F&V),Potato,Other,FAQ,800,1400,1100,27 Oct 2021
33,Ajmer,Ajmer(F&V),Potato,Other,FAQ,1000,1500,1250,01 Apr 2022
34,Ajmer,Ajmer(F&V),Potato,Other,FAQ,1000,1600,1300,26 Jun 2022
35,Ajmer,Ajmer(F&V),Potato,Other,FAQ,1000,1800,1500,28 Nov 2021
36,Ajmer,Ajmer(F&V),Potato,Other,FAQ,1100,1400,1250,16 Mar 2022
37,Ajmer,Ajmer(F&V),Potato,Other,FAQ,1100,1400,1250,29 Apr 2022
38,Ajmer,Ajmer(F&V),Potato,Other,FAQ,1200,1700,1500,10 Aug 2022
39,Alwar,Alwar (F&V),Potato,Other,FAQ,700,950,850,22 Dec 2021
40,Alwar,Alwar (F&V),Potato,Other,FAQ,700,1000,850,16 Dec 2021
41,Alwar,Alwar (F&V),Potato,Other,FAQ,800,1000,900,05 Mar 2022
42,Alwar,Alwar (F&V),Potato,Other,FAQ,800,1000,900,20 Feb 2022
43,Alwar,Alwar (F&V),Potato,Other,FAQ,800,1000,900,30 Jan 2022
44,Alwar,Alwar (F&V),Potato,Other,FAQ,800,1000,900,31 Jan 2022
45,Alwar,Alwar (F&V),Potato,Other,FAQ,800,1100,950,09 Mar 2022
46,Alwar,Alwar (F&V),Potato,Other,FAQ,800,1100,950,25 Sep 2021
47,Alwar,Alwar (F&V),Potato,Other,FAQ,800,1100,1000,01 Sep 2021
48,Alwar,Alwar (F&V),Potato,Other,FAQ,800,1200,1000,02 Oct 2021
49,Alwar,Alwar (F&V),Potato,Other,FAQ,1000,1200,1100,09 Apr 2022
50,Alwar,Alwar (F&V),Potato,Other,FAQ,1000,1200,1100,16 Oct 2021
