0,1,2,3,4,5,6,7,8,9
1,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,400,1600,1200,25 Mar 2019
2,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,400,1600,1300,01 Jul 2019
3,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,400,1600,1400,02 Feb 2019
4,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,500,1300,1000,17 Feb 2019
5,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,500,1300,1000,18 Feb 2019
6,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,500,1500,1200,16 Jul 2019
7,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,500,1500,1200,18 Jul 2019
8,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,500,1500,1200,23 May 2019
9,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,500,1500,1200,26 Feb 2019
10,Hyderabad,Bowenpally,Potato,(Red Nanital),FAQ,500,1700,1300,18 Dec 2018
11,Hyderabad,Bowenpally,Potato,Potato,Medium,800,2300,1800,23 Sep 2018
12,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,400,800,600,02 Mar 2019
13,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,400,1000,700,11 Feb 2019
14,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,400,1000,700,28 Feb 2019
15,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,500,700,600,16 Feb 2019
16,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,600,1000,800,01 Mar 2019
17,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,600,1000,800,03 Apr 2019
18,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,600,1000,800,07 Jan 2019
19,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,600,1000,800,09 Jan 2019
20,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,600,1000,800,10 Jan 2019
21,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,600,1000,800,25 Feb 2019
22,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,600,1000,800,26 Feb 2019
23,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,600,1200,900,21 Dec 2018
24,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,700,1100,900,02 Feb 2019
25,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,900,1100,1000,04 Aug 2019
26,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,900,1100,1000,23 Apr 2019
27,Hyderabad,Gudimalkapur,Potato,(Red Nanital),FAQ,900,1300,1100,17 May 2019
