0,1,2,3,4,5,6,7,8,9
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,4600,4600,05 Dec 2024
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4400,4600,4600,06 Dec 2024
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4400,4600,4600,07 Dec 2024
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4500,4800,4800,04 Dec 2024
5,Thiruvellore,Ambattur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,6000,6000,6000,04 Dec 2024
6,Thiruvellore,Ambattur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,6000,6000,6000,05 Dec 2024
7,Thiruvellore,Ambattur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,6000,6000,6000,06 Dec 2024
8,Thiruvellore,Ambattur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,6000,6000,6000,07 Dec 2024
9,Salem,Ammapet(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4500,5000,5000,07 Dec 2024
10,Salem,Ammapet(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5000,6800,6800,05 Dec 2024
11,Salem,Ammapet(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5000,6800,6800,06 Dec 2024
12,Salem,Ammapet(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5000,7000,7000,04 Dec 2024
13,Madurai,Anaiyur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5000,6000,6000,05 Dec 2024
14,Madurai,Anaiyur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5000,6000,6000,06 Dec 2024
15,Madurai,Anaiyur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5000,6000,6000,07 Dec 2024
16,Madurai,Anaiyur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5500,6000,6000,04 Dec 2024
17,Theni,Andipatti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,6000,6000,04 Dec 2024
18,Theni,Andipatti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,6000,6000,05 Dec 2024
19,Theni,Andipatti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,6000,6000,06 Dec 2024
20,Theni,Andipatti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,6000,6000,07 Dec 2024
21,Madurai,Anna nagar(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5000,7600,7600,04 Dec 2024
22,Madurai,Anna nagar(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5000,7600,7600,05 Dec 2024
23,Madurai,Anna nagar(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5600,7500,7500,07 Dec 2024
24,Madurai,Anna nagar(Uzhavar Sandhai ),Potato,(Red Nanital),Local,5600,7600,7600,06 Dec 2024
25,Thiruvannamalai,Arani(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,4800,4800,04 Dec 2024
26,Thiruvannamalai,Arani(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4800,6000,6000,05 Dec 2024
27,Thiruvannamalai,Arani(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4800,6000,6000,06 Dec 2024
