0,1,2,3,4,5,6,7,8,9
1,Khowai,Bachaibari,Potato,Potato,FAQ,2400,2600,2500,09 Jul 2024
2,Khowai,Bachaibari,Potato,Potato,FAQ,2400,2600,2500,16 Jul 2024
3,Khowai,Bachaibari,Potato,Potato,FAQ,2400,2600,2500,20 Jul 2024
4,Khowai,Bachaibari,Potato,Potato,FAQ,2400,2600,2500,23 Jul 2024
5,Khowai,Bachaibari,Potato,Potato,FAQ,2500,2800,2600,05 Oct 2024
6,Khowai,Bachaibari,Potato,Potato,FAQ,2500,2800,2600,06 Jul 2024
7,Khowai,Bachaibari,Potato,Potato,FAQ,2500,2900,2600,15 Oct 2024
8,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2800,2700,13 Jul 2024
9,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,01 Oct 2024
10,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,02 Nov 2024
11,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,05 Nov 2024
12,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,08 Oct 2024
13,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,19 Oct 2024
14,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,22 Oct 2024
15,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,24 Sep 2024
16,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,26 Oct 2024
17,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,28 Sep 2024
18,Khowai,Bachaibari,Potato,Potato,FAQ,2600,2900,2700,29 Oct 2024
19,Khowai,Bachaibari,Potato,Potato,FAQ,2700,2900,2800,21 Sep 2024
20,Khowai,Bachaibari,Potato,Potato,FAQ,2800,3200,3000,27 Jul 2024
21,Khowai,Bachaibari,Potato,Potato,FAQ,2800,3200,3000,30 Jul 2024
22,Khowai,Bachaibari,Potato,Potato,FAQ,2800,3400,3000,12 Nov 2024
23,Khowai,Bachaibari,Potato,Potato,FAQ,3000,3200,3100,14 Sep 2024
24,Khowai,Bachaibari,Potato,Potato,FAQ,3000,3400,3200,03 Aug 2024
25,Khowai,Bachaibari,Potato,Potato,FAQ,3000,3400,3200,03 Sep 2024
26,Khowai,Bachaibari,Potato,Potato,FAQ,3000,3400,3200,06 Aug 2024
27,Khowai,Bachaibari,Potato,Potato,FAQ,3000,3400,3200,07 Sep 2024
28,Khowai,Bachaibari,Potato,Potato,FAQ,3000,3400,3200,10 Aug 2024
29,Khowai,Bachaibari,Potato,Potato,FAQ,3000,3400,3200,10 Sep 2024
30,Khowai,Bachaibari,Potato,Potato,FAQ,3000,3400,3200,13 Aug 2024
31,Khowai,Bachaibari,Potato,Potato,FAQ,3000,3400,3200,17 Aug 2024
32,Khowai,Bachaibari,Potato,Potato,FAQ,3200,3500,3400,24 Aug 2024
33,Khowai,Bachaibari,Potato,Potato,FAQ,3200,3600,3400,20 Aug 2024
34,Khowai,Bachaibari,Potato,Potato,FAQ,3200,3600,3400,27 Aug 2024
35,Khowai,Bachaibari,Potato,Potato,FAQ,3200,3600,3400,31 Aug 2024
36,Khowai,Bachaibari,Potato,Potato,FAQ,3200,3700,3500,16 Nov 2024
37,Khowai,Bachaibari,Potato,Potato,FAQ,3200,3700,3500,19 Nov 2024
38,Khowai,Bachaibari,Potato,Potato,FAQ,3200,3800,3400,23 Nov 2024
39,Khowai,Bachaibari,Potato,Potato,FAQ,3200,3800,3500,26 Nov 2024
40,Khowai,Bachaibari,Potato,Potato,FAQ,3200,3800,3500,30 Nov 2024
41,South District,Barpathari,Potato,Jalander,FAQ,2700,2900,2800,02 Sep 2024
42,South District,Barpathari,Potato,Jalander,FAQ,2700,2900,2800,06 Sep 2024
43,South District,Barpathari,Potato,Jalander,FAQ,2700,2900,2800,09 Sep 2024
44,South District,Barpathari,Potato,Jalander,FAQ,2700,2900,2800,13 Sep 2024
45,South District,Barpathari,Potato,Jalander,FAQ,2700,2900,2800,16 Sep 2024
46,South District,Barpathari,Potato,Jalander,FAQ,2900,3100,3000,20 Sep 2024
47,South District,Barpathari,Potato,Jalander,FAQ,3000,3200,3100,01 Jul 2024
48,South District,Barpathari,Potato,Jalander,FAQ,3100,3300,3200,18 Oct 2024
49,South District,Barpathari,Potato,Jalander,FAQ,3100,3300,3200,25 Oct 2024
50,South District,Barpathari,Potato,Jalander,FAQ,3100,3300,3200,28 Oct 2024
51,South District,Barpathari,Potato,Jalander,FAQ,3200,3400,3300,01 Nov 2024
52,South District,Barpathari,Potato,Jalander,FAQ,3200,3400,3300,04 Nov 2024
53,South District,Barpathari,Potato,Jalander,FAQ,3200,3400,3300,04 Oct 2024
54,South District,Barpathari,Potato,Jalander,FAQ,3200,3400,3300,15 Nov 2024
55,South District,Barpathari,Potato,Jalander,FAQ,3200,3400,3300,18 Nov 2024
56,South District,Barpathari,Potato,Jalander,FAQ,3200,3400,3300,19 Nov 2024
57,South District,Barpathari,Potato,Jalander,FAQ,3200,3500,3300,30 Sep 2024
58,South District,Barpathari,Potato,Jalander,FAQ,3300,3500,3400,21 Oct 2024
59,South District,Barpathari,Potato,Jalander,FAQ,3300,3500,3400,23 Sep 2024
60,South District,Barpathari,Potato,Jalander,FAQ,3300,3500,3400,26 Aug 2024
61,South District,Barpathari,Potato,Jalander,FAQ,3300,3500,3400,27 Sep 2024
62,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,05 Jul 2024
63,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,08 Jul 2024
64,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,12 Aug 2024
65,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,12 Jul 2024
66,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,15 Jul 2024
67,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,19 Jul 2024
68,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,22 Jul 2024
69,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,26 Jul 2024
70,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,29 Jul 2024
71,South District,Barpathari,Potato,Jalander,FAQ,3400,3600,3500,30 Aug 2024
72,South District,Barpathari,Potato,Jalander,FAQ,3500,3700,3600,07 Oct 2024
73,South District,Barpathari,Potato,Jalander,FAQ,3500,3700,3600,09 Aug 2024
74,South District,Barpathari,Potato,Jalander,FAQ,3500,3700,3600,11 Oct 2024
75,South District,Barpathari,Potato,Jalander,FAQ,3500,3700,3600,14 Oct 2024
76,South District,Barpathari,Potato,Jalander,FAQ,3500,3700,3600,16 Oct 2024
