0,1,2,3,4,5,6,7,8,9
1,Khowai,Bachaibari,Potato,Potato,FAQ,1450,1550,1500,17 Feb 2024
2,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,01 Feb 2024
3,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,01 Mar 2024
4,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,02 Feb 2024
5,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,02 Mar 2024
6,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,03 Feb 2024
7,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,03 Mar 2024
8,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,04 Feb 2024
9,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,04 Mar 2024
10,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,05 Feb 2024
11,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,05 Mar 2024
12,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,06 Feb 2024
13,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,06 Mar 2024
14,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,07 Feb 2024
15,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,07 Mar 2024
16,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,08 Feb 2024
17,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,08 Mar 2024
18,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,09 Feb 2024
19,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,09 Mar 2024
20,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,10 Feb 2024
21,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,11 Feb 2024
22,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,12 Feb 2024
23,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,13 Feb 2024
24,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,14 Feb 2024
25,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,15 Feb 2024
26,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,16 Feb 2024
27,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,18 Feb 2024
28,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,19 Feb 2024
29,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,20 Feb 2024
30,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,20 Jan 2024
31,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,21 Feb 2024
32,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,21 Jan 2024
33,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,22 Feb 2024
34,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,22 Jan 2024
35,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,23 Feb 2024
36,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,23 Jan 2024
37,Khowai,Bachaibari,Potato,Potato,FAQ,1500,1600,1550,24 Feb 2024
