0,1,2,3,4,5,6,7,8,9
1,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,400,650,500,06 Jul 2021
2,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,04 Mar 2021
3,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,06 Mar 2021
4,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,07 Mar 2021
5,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,08 Mar 2021
6,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,12 Mar 2021
7,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,13 Mar 2021
8,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,14 Mar 2021
9,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,15 Mar 2021
10,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,16 Mar 2021
11,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,17 Mar 2021
12,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,18 Mar 2021
13,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,19 Mar 2021
14,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,22 Mar 2021
15,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,24 Mar 2021
16,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,25 Mar 2021
17,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,26 Aug 2021
18,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,27 Mar 2021
19,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,28 Aug 2021
20,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,28 Feb 2021
21,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,28 Mar 2021
22,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,29 Aug 2021
23,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,600,550,31 Aug 2021
24,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,700,600,16 Aug 2021
25,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,800,700,23 Jun 2021
26,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,500,800,700,25 Jun 2021
27,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,680,650,08 Aug 2021
28,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,680,650,16 May 2021
29,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,700,650,18 Aug 2021
30,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,700,650,19 Aug 2021
31,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,700,650,21 Aug 2021
32,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,03 Feb 2021
33,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,05 Feb 2021
34,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,19 Jul 2021
35,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,20 Jan 2021
36,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,20 Jul 2021
37,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,21 Jan 2021
38,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,21 Jul 2021
39,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,22 Jan 2021
40,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,22 Jul 2021
41,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,22 Jun 2021
42,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,23 Jul 2021
43,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,24 Jul 2021
44,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,24 Jun 2021
45,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,25 Jan 2021
46,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,26 Jan 2021
47,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,26 Jul 2021
48,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,27 Jan 2021
49,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,600,800,700,28 Jan 2021
50,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,700,800,750,27 Jun 2021
51,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,800,950,900,21 Jun 2021
52,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,800,1000,950,20 Jun 2021
53,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,900,1000,950,12 Apr 2021
54,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,900,1000,950,13 Apr 2021
55,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Potato,Other,FAQ,900,1000,950,17 Apr 2021
56,Dehradoon,Dehradoon,Potato,Other,FAQ,300,500,400,23 Mar 2021
57,Dehradoon,Dehradoon,Potato,Other,FAQ,300,500,430,24 Mar 2021
58,Dehradoon,Dehradoon,Potato,Other,FAQ,300,550,400,25 Mar 2021
59,Dehradoon,Dehradoon,Potato,Other,FAQ,300,600,400,02 Apr 2021
60,Dehradoon,Dehradoon,Potato,Other,FAQ,300,600,400,22 Mar 2021
61,Dehradoon,Dehradoon,Potato,Other,FAQ,300,600,400,26 Mar 2021
62,Dehradoon,Dehradoon,Potato,Other,FAQ,300,600,430,31 Mar 2021
63,Dehradoon,Dehradoon,Potato,Other,FAQ,320,600,400,27 Mar 2021
64,Dehradoon,Dehradoon,Potato,Other,FAQ,350,550,400,30 Mar 2021
65,Dehradoon,Dehradoon,Potato,Other,FAQ,350,700,500,03 Apr 2021
66,Dehradoon,Dehradoon,Potato,Other,FAQ,350,850,400,12 Jul 2021
67,Dehradoon,Dehradoon,Potato,Other,FAQ,350,850,500,16 Jul 2021
68,Dehradoon,Dehradoon,Potato,Other,FAQ,350,850,550,19 Jul 2021
69,Dehradoon,Dehradoon,Potato,Other,FAQ,350,860,550,23 Jul 2021
70,Dehradoon,Dehradoon,Potato,Other,FAQ,350,860,550,24 Jul 2021
71,Dehradoon,Dehradoon,Potato,Other,FAQ,350,900,400,13 Jul 2021
72,Dehradoon,Dehradoon,Potato,Other,FAQ,380,850,550,20 Jul 2021
73,Dehradoon,Dehradoon,Potato,Other,FAQ,380,860,500,14 Jul 2021
74,Dehradoon,Dehradoon,Potato,Other,FAQ,380,860,500,15 Jul 2021
75,Dehradoon,Dehradoon,Potato,Other,FAQ,380,860,500,17 Jul 2021
76,Dehradoon,Dehradoon,Potato,Other,FAQ,400,550,500,19 Mar 2021
77,Dehradoon,Dehradoon,Potato,Other,FAQ,400,600,500,12 Apr 2021
