0,1,2,3,4,5,6,7,8,9
1,Auraiya,Achalda,Potato,Badshah,FAQ,700,800,760,20 Jan 2024
2,Auraiya,Achalda,Potato,Badshah,FAQ,700,900,800,18 Dec 2023
3,Auraiya,Achalda,Potato,Badshah,FAQ,800,950,890,22 Nov 2023
4,Auraiya,Achalda,Potato,Badshah,FAQ,840,1040,940,17 Oct 2023
5,Auraiya,Achalda,Potato,Badshah,FAQ,850,950,900,04 Nov 2023
6,Auraiya,Achalda,Potato,Badshah,FAQ,900,1050,1000,09 Dec 2023
7,Auraiya,Achalda,Potato,Badshah,FAQ,910,1110,1010,08 Dec 2023
8,Auraiya,Achalda,Potato,Badshah,FAQ,1000,1050,1025,29 Feb 2024
9,Auraiya,Achalda,Potato,Badshah,FAQ,1000,1100,1070,07 Mar 2024
10,Auraiya,Achalda,Potato,Badshah,FAQ,1300,1420,1370,25 Mar 2024
11,Auraiya,Achalda,Potato,Badshah,FAQ,1300,1450,1380,28 Mar 2024
12,Auraiya,Achalda,Potato,Badshah,FAQ,1300,1500,1400,03 Apr 2024
13,Auraiya,Achalda,Potato,Badshah,FAQ,1560,1760,1660,24 May 2024
14,Auraiya,Achalda,Potato,Badshah,FAQ,1600,1800,1700,01 Jun 2024
15,Auraiya,Achalda,Potato,Badshah,FAQ,1650,1800,1710,15 Jun 2024
16,Auraiya,Achalda,Potato,Badshah,FAQ,1850,2020,1920,29 Jun 2024
17,Auraiya,Achalda,Potato,Badshah,FAQ,2010,2200,2140,12 Jul 2024
18,Auraiya,Achalda,Potato,Badshah,FAQ,2100,2250,2200,22 Jul 2024
19,Auraiya,Achalda,Potato,Badshah,FAQ,2100,2250,2200,30 Jul 2024
20,Agra,Achnera,Potato,Desi,FAQ,550,820,710,20 Feb 2024
21,Agra,Achnera,Potato,Desi,FAQ,600,680,640,14 Jan 2024
22,Agra,Achnera,Potato,Desi,FAQ,600,680,640,29 Jan 2024
23,Agra,Achnera,Potato,Desi,FAQ,620,700,660,19 Dec 2023
24,Agra,Achnera,Potato,Desi,FAQ,650,750,700,17 Feb 2024
25,Agra,Achnera,Potato,Desi,FAQ,650,900,800,23 Feb 2024
26,Agra,Achnera,Potato,Desi,FAQ,780,840,810,09 Nov 2023
27,Agra,Achnera,Potato,Desi,FAQ,780,860,820,07 Dec 2023
28,Agra,Achnera,Potato,Desi,FAQ,800,840,820,25 Nov 2023
29,Agra,Achnera,Potato,Desi,FAQ,820,880,850,05 Nov 2023
30,Agra,Achnera,Potato,Desi,FAQ,820,880,850,31 Oct 2023
31,Agra,Achnera,Potato,Desi,FAQ,850,930,890,13 Oct 2023
32,Agra,Achnera,Potato,Desi,FAQ,880,960,920,29 Sep 2023
33,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,01 Mar 2024
34,Agra,Achnera,Potato,Desi,FAQ,940,1020,980,05 Sep 2023
35,Agra,Achnera,Potato,Desi,FAQ,940,1020,980,06 Sep 2023
36,Agra,Achnera,Potato,Desi,FAQ,1200,1320,1265,16 Mar 2024
37,Agra,Achnera,Potato,Desi,FAQ,1300,1420,1385,01 Apr 2024
38,Agra,Achnera,Potato,Desi,FAQ,1500,1620,1590,20 Apr 2024
39,Agra,Achnera,Potato,Desi,FAQ,1650,1750,1700,13 Jun 2024
40,Agra,Achnera,Potato,Desi,FAQ,1650,1750,1700,21 May 2024
41,Agra,Achnera,Potato,Desi,FAQ,2100,2200,2150,03 Jul 2024
42,Agra,Achnera,Potato,Desi,FAQ,2100,2250,2180,06 Jul 2024
43,Agra,Achnera,Potato,Desi,FAQ,2100,2280,2180,26 Jul 2024
44,Agra,Achnera,Potato,Desi,FAQ,2200,2330,2275,20 Jul 2024
45,Agra,Agra,Potato,Desi,FAQ,560,700,620,25 Jan 2024
46,Agra,Agra,Potato,Desi,FAQ,560,720,625,10 Feb 2024
47,Agra,Agra,Potato,Desi,FAQ,580,800,650,30 Dec 2023
48,Agra,Agra,Potato,Desi,FAQ,600,780,680,22 Dec 2023
49,Agra,Agra,Potato,Desi,FAQ,600,800,690,04 Jan 2024
50,Agra,Agra,Potato,Desi,FAQ,600,800,690,21 Dec 2023
51,Agra,Agra,Potato,Desi,FAQ,690,950,800,23 Feb 2024
52,Agra,Agra,Potato,Desi,FAQ,700,950,810,24 Feb 2024
53,Agra,Agra,Potato,Desi,FAQ,750,870,800,12 Nov 2023
54,Agra,Agra,Potato,Desi,FAQ,800,900,825,21 Nov 2023
55,Agra,Agra,Potato,Desi,FAQ,800,900,840,01 Nov 2023
56,Auraiya,Achalda,Potato,Badshah,FAQ,650,750,700,31 Jan 2024
57,Auraiya,Achalda,Potato,Badshah,FAQ,650,760,700,09 Feb 2024
58,Auraiya,Achalda,Potato,Badshah,FAQ,700,800,750,10 Jan 2024
59,Auraiya,Achalda,Potato,Badshah,FAQ,700,820,780,04 Jan 2024
60,Auraiya,Achalda,Potato,Badshah,FAQ,700,820,780,25 Dec 2023
61,Auraiya,Achalda,Potato,Badshah,FAQ,800,920,880,07 Nov 2023
62,Auraiya,Achalda,Potato,Badshah,FAQ,850,950,900,18 Nov 2023
63,Auraiya,Achalda,Potato,Badshah,FAQ,850,980,910,04 Dec 2023
64,Auraiya,Achalda,Potato,Badshah,FAQ,920,1120,1020,12 Sep 2023
65,Auraiya,Achalda,Potato,Badshah,FAQ,930,1130,1030,18 Sep 2023
66,Auraiya,Achalda,Potato,Badshah,FAQ,1300,1420,1390,21 Mar 2024
67,Auraiya,Achalda,Potato,Badshah,FAQ,1500,1650,1610,06 May 2024
