0,1,2,3,4,5,6,7,8,9
1,Barpeta,Bohorihat,Rice,Coarse,FAQ,1850,2100,1975,18 Mar 2016
2,Barpeta,Bohorihat,Rice,Coarse,FAQ,1900,2100,2000,12 Feb 2016
3,Barpeta,Bohorihat,Rice,Coarse,FAQ,1900,2100,2000,17 Mar 2016
4,Barpeta,Bohorihat,Rice,Coarse,FAQ,1900,2150,2000,13 Feb 2016
5,Barpeta,Bohorihat,Rice,Coarse,FAQ,1900,2150,2000,14 Feb 2016
6,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2000,1975,06 Mar 2016
7,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2000,1975,07 Mar 2016
8,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2100,2000,05 Mar 2016
9,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2150,2000,08 Mar 2016
10,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2150,2000,09 Mar 2016
11,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2150,2000,21 Mar 2016
12,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2150,2050,15 Feb 2016
13,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2150,2050,16 Feb 2016
14,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2150,2050,19 Apr 2016
15,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2200,2000,15 Mar 2016
16,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2200,2075,17 Feb 2016
17,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2200,2080,22 Feb 2016
18,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2200,2100,04 Feb 2016
19,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2200,2100,04 May 2016
20,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2200,2100,23 Feb 2016
21,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2200,2150,25 Feb 2016
22,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2250,2100,03 Feb 2016
23,Barpeta,Bohorihat,Rice,Coarse,FAQ,1950,2250,2150,06 Feb 2016
