0,1,2,3,4,5,6,7,8,9
1,Kanker,Sambalpur,Rice,Other,FAQ,1800,1800,1800,25 Jan 2016
2,Kanker,Sambalpur,Rice,Other,FAQ,2000,2000,2000,29 Jan 2016
3,Kanker,Sambalpur,Rice,Other,FAQ,1300,1300,1300,23 Jan 2016
4,Kanker,Sambalpur,Rice,Other,FAQ,1450,1450,1450,17 Jan 2016
5,Kanker,Sambalpur,Rice,Other,FAQ,1500,1500,1500,04 Feb 2016
6,Kanker,Sambalpur,Rice,Other,FAQ,1800,1800,1800,05 Feb 2016
7,Kanker,Sambalpur,Rice,Other,FAQ,1800,1800,1800,27 Jan 2016
8,Kanker,Sambalpur,Rice,Other,FAQ,1300,1300,1300,14 Feb 2016
9,Kanker,Sambalpur,Rice,Other,FAQ,1400,2000,1700,09 Feb 2016
10,Kanker,Sambalpur,Rice,Other,FAQ,2000,2000,2000,20 Feb 2016
11,Kanker,Sambalpur,Rice,Other,FAQ,1300,1300,1300,26 Jan 2016
12,Kanker,Sambalpur,Rice,Other,FAQ,1800,1800,1800,31 Jan 2016
13,Kanker,Sambalpur,Rice,Other,FAQ,1400,1400,1400,30 Jan 2016
14,Kanker,Sambalpur,Rice,Other,FAQ,1400,1400,1400,10 Feb 2016
15,Kanker,Sambalpur,Rice,Other,FAQ,2000,2000,2000,11 Feb 2016
