0,1,2,3,4,5,6,7,8,9
1,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,11 Jun 2019
2,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,12 Jul 2019
3,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,18 Jun 2019
4,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,19 Aug 2019
5,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,01 Oct 2018
6,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,06 Sep 2018
7,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,12 Sep 2018
8,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,22 Nov 2018
9,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,23 Nov 2018
10,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,01 Mar 2019
11,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,13 Mar 2019
12,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,15 Mar 2019
13,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,29 Apr 2019
14,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4300,29 Jan 2019
15,Bharuch,Jambusar,Rice,Other,FAQ,2600,3000,2800,13 Aug 2019
16,Bharuch,Jambusar,Rice,Other,FAQ,2600,3000,2800,25 Oct 2018
17,Bharuch,Jambusar,Rice,Other,FAQ,2600,3000,2800,26 Jul 2019
18,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,09 Jun 2019
19,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,12 Jan 2019
20,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,14 Nov 2018
21,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,19 Apr 2019
22,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,27 May 2019
23,Bharuch,Jambusar,Rice,Other,FAQ,2800,3100,3000,16 Feb 2019
24,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,04 Jul 2019
25,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,05 Feb 2019
26,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,09 May 2019
27,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,19 Feb 2019
28,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,24 Feb 2019
29,Bharuch,Jambusar,Rice,Other,FAQ,2800,3400,3100,17 Oct 2018
30,Bharuch,Jambusar,Rice,Other,FAQ,2800,3400,3100,18 Aug 2019
31,Bharuch,Jambusar,Rice,Other,FAQ,3000,3200,3100,28 Feb 2019
32,Bharuch,Jambusar,Rice,Other,FAQ,3000,3400,3200,11 May 2019
33,Bharuch,Jambusar,Rice,Other,FAQ,3000,3400,3200,31 Dec 2018
34,Bharuch,Jambusar,Rice,Other,FAQ,3000,3400,3200,31 Mar 2019
35,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,1800,2200,2000,18 Dec 2018
36,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2200,2400,2300,21 Apr 2019
37,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2500,3300,2900,04 Nov 2018
38,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2600,3300,2900,24 Apr 2019
39,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2700,3100,2900,21 Nov 2018
40,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2700,3100,2900,29 Aug 2019
41,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2700,3300,3000,07 May 2019
42,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2700,3300,3000,11 May 2019
43,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2700,3300,3000,12 Feb 2019
44,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2800,3200,3000,10 Dec 2018
45,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2800,3200,3000,30 Jul 2019
46,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2800,3400,3100,18 Jan 2019
47,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2900,3300,3100,13 Feb 2019
48,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3000,3400,3200,05 Mar 2019
49,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3000,3400,3200,25 Mar 2019
50,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3000,3400,3200,30 Mar 2019
51,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3200,3600,3400,31 May 2019
52,Vadodara(Baroda),Vadodara,Rice,IR-8,FAQ,2300,2500,2500,01 May 2019
53,Vadodara(Baroda),Vadodara,Rice,IR-8,FAQ,2300,2500,2500,05 Aug 2019
54,Vadodara(Baroda),Vadodara,Rice,IR-8,FAQ,2300,2500,2500,08 Apr 2019
55,Vadodara(Baroda),Vadodara,Rice,IR-8,FAQ,2300,2500,2500,08 Jul 2019
56,Vadodara(Baroda),Vadodara,Rice,IR-8,FAQ,2300,2500,2500,09 Jul 2019
57,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,06 Aug 2019
58,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,13 Aug 2019
59,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,22 Jun 2019
60,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,30 Jul 2019
61,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,03 Oct 2018
62,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,15 Sep 2018
63,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,18 Sep 2018
64,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,23 Oct 2018
65,Dahod,Dahod,Rice,Coarse,FAQ,4000,4300,4200,27 Dec 2018
66,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,05 Mar 2019
67,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,07 Jun 2019
68,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,08 Mar 2019
69,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,09 Apr 2019
70,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,15 Apr 2019
71,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4200,18 Apr 2019
72,Dahod,Dahod,Rice,Coarse,FAQ,4000,4400,4300,24 Jan 2019
73,Bharuch,Jambusar,Rice,Other,FAQ,2500,3100,2800,08 Oct 2018
74,Bharuch,Jambusar,Rice,Other,FAQ,2600,3000,2800,16 Aug 2019
75,Bharuch,Jambusar,Rice,Other,FAQ,2600,3000,2800,21 Nov 2018
76,Bharuch,Jambusar,Rice,Other,FAQ,2600,3000,2800,27 Aug 2019
77,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,01 Sep 2019
78,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,08 Jun 2019
79,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,09 Jul 2019
80,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,10 Aug 2019
81,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,11 Jun 2019
82,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,15 Feb 2019
83,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,20 Jul 2019
84,Bharuch,Jambusar,Rice,Other,FAQ,2700,3300,3000,26 Apr 2019
85,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,01 Feb 2019
86,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,03 Mar 2019
87,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,10 Jun 2019
88,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,14 Apr 2019
89,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,25 Nov 2018
90,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,26 Mar 2019
91,Bharuch,Jambusar,Rice,Other,FAQ,2800,3200,3000,30 Mar 2019
92,Bharuch,Jambusar,Rice,Other,FAQ,2800,3400,3100,09 Jan 2019
93,Bharuch,Jambusar,Rice,Other,FAQ,3000,3400,3200,13 Feb 2019
94,Bharuch,Jambusar,Rice,Other,FAQ,3000,3400,3200,29 Jan 2019
95,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2500,3100,2800,28 Sep 2018
96,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2700,3100,2900,27 Aug 2019
97,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2700,3300,3000,06 Jun 2019
98,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2700,3300,3000,07 Jan 2019
99,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2700,3300,3000,08 May 2019
100,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2800,3400,3100,20 Jul 2019
101,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,2900,3300,3100,22 Feb 2019
102,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3000,3400,3200,13 Mar 2019
103,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3000,3400,3200,29 Jun 2019
104,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3000,3400,3200,31 Mar 2019
105,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3100,3300,3200,29 Dec 2018
106,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3200,3400,3300,20 Jan 2019
107,Bharuch,Jambusar(Kaavi),Rice,Other,FAQ,3200,3600,3400,30 Jan 2019
108,Anand,Tarapur,Rice,Other,FAQ,1750,3125,2625,01 Oct 2018
109,Vadodara(Baroda),Vadodara,Rice,IR-8,FAQ,2300,2500,2500,01 Sep 2018
110,Vadodara(Baroda),Vadodara,Rice,IR-8,FAQ,2300,2500,2500,06 Apr 2019
111,Vadodara(Baroda),Vadodara,Rice,IR-8,FAQ,2300,2500,2500,08 Feb 2019
112,Vadodara(Baroda),Vadodara,Rice,IR-8,FAQ,2300,2500,2500,10 Jul 2019
113,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,20 Jul 2019
114,Dahod,Dahod,Rice,Coarse,FAQ,3800,4200,4000,21 Aug 2019
