0,1,2,3,4,5,6,7,8,9
1,Bokaro,Bermo,Rice,Coarse,FAQ,2000,2200,2200,03 Dec 2015
2,Bokaro,Bermo,Rice,Coarse,FAQ,2000,2200,2200,12 Nov 2015
3,Bokaro,Bermo,Rice,Coarse,FAQ,2000,2200,2200,21 Nov 2015
4,Bokaro,Bermo,Rice,Coarse,FAQ,2100,2300,2300,04 Sep 2015
5,Bokaro,Bermo,Rice,Coarse,FAQ,2100,2300,2300,07 Sep 2015
6,Bokaro,Bermo,Rice,Coarse,FAQ,2100,2300,2300,16 Sep 2015
7,Bokaro,Bermo,Rice,Coarse,FAQ,2100,2300,2300,19 Sep 2015
8,Bokaro,Bermo,Rice,Coarse,FAQ,2200,2400,2400,06 Dec 2015
9,Bokaro,Bermo,Rice,Coarse,FAQ,2200,2400,2400,11 Dec 2015
10,Bokaro,Bermo,Rice,Coarse,FAQ,2200,2400,2400,18 Dec 2015
11,Bokaro,Bermo,Rice,Coarse,FAQ,2300,2500,2500,01 Oct 2015
12,Bokaro,Bermo,Rice,Coarse,FAQ,2300,2500,2500,09 Oct 2015
13,Bokaro,Bermo,Rice,Coarse,FAQ,2300,2500,2500,21 Oct 2015
14,Bokaro,Bermo,Rice,Coarse,FAQ,2300,2500,2500,23 Sep 2015
15,Bokaro,Bermo,Rice,Coarse,FAQ,2400,2600,2600,06 Nov 2015
16,Bokaro,Bermo,Rice,Coarse,FAQ,2400,2600,2600,29 Oct 2015
17,Bokaro,Bermo,Rice,Fine,FAQ,2600,2800,2800,03 Dec 2015
18,Bokaro,Bermo,Rice,Fine,FAQ,2600,2800,2800,12 Nov 2015
19,Bokaro,Bermo,Rice,Fine,FAQ,2600,2800,2800,21 Nov 2015
20,Bokaro,Bermo,Rice,Fine,FAQ,2800,3000,3000,06 Dec 2015
21,Bokaro,Bermo,Rice,Fine,FAQ,2800,3000,3000,07 Sep 2015
22,Bokaro,Bermo,Rice,Fine,FAQ,2800,3000,3000,11 Dec 2015
23,Bokaro,Bermo,Rice,Fine,FAQ,2800,3000,3000,16 Sep 2015
24,Bokaro,Bermo,Rice,Fine,FAQ,2800,3000,3000,18 Dec 2015
25,Bokaro,Bermo,Rice,Fine,FAQ,2800,3000,3000,19 Sep 2015
26,Bokaro,Bermo,Rice,Fine,FAQ,3000,3200,3200,04 Sep 2015
27,Bokaro,Bermo,Rice,Fine,FAQ,3200,3200,3200,01 Oct 2015
28,Bokaro,Bermo,Rice,Fine,FAQ,3200,3400,3400,09 Oct 2015
29,Bokaro,Bermo,Rice,Fine,FAQ,3200,3400,3400,21 Oct 2015
30,Bokaro,Bermo,Rice,Fine,FAQ,3200,3400,3400,23 Sep 2015
31,Bokaro,Bermo,Rice,Fine,FAQ,3300,3500,3500,06 Nov 2015
32,Bokaro,Bermo,Rice,Fine,FAQ,3300,3500,3500,29 Oct 2015
33,Giridih,Giridih,Rice,Fine,FAQ,3300,3500,3500,01 Aug 2016
34,Giridih,Giridih,Rice,Fine,FAQ,3300,3500,3500,01 Feb 2016
35,Giridih,Giridih,Rice,Fine,FAQ,3300,3500,3500,01 Jul 2016
