0,1,2,3,4,5,6,7,8,9
1,Kottayam,Kottayam,Rice,Other,FAQ,4600,5200,5000,12 Nov 2024
2,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,06 Sep 2024
3,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,08 Jul 2024
4,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,13 Aug 2024
5,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,15 Nov 2024
6,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,18 Oct 2024
7,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,30 Aug 2024
8,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,30 Sep 2024
9,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,02 Sep 2024
10,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,10 Jul 2024
11,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,13 Jul 2024
12,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,11 Nov 2024
13,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,13 Sep 2024
14,Malappuram,Manjeri,Rice,Other,FAQ,4750,4850,4800,30 Sep 2024
15,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,02 Oct 2024
16,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,08 Aug 2024
17,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,10 Sep 2024
18,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,12 Nov 2024
19,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,25 Jul 2024
20,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,26 Oct 2024
21,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,31 Jul 2024
22,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,06 Aug 2024
23,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,16 Nov 2024
24,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,18 Sep 2024
25,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,24 Jul 2024
26,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,29 Aug 2024
27,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,30 Jul 2024
28,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,01 Aug 2024
29,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,09 Oct 2024
30,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,14 Nov 2024
31,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,28 Sep 2024
32,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,05 Aug 2024
33,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,05 Jul 2024
34,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,06 Aug 2024
35,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,16 Aug 2024
36,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,21 Sep 2024
37,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,25 Oct 2024
38,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,07 Oct 2024
39,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,08 Oct 2024
40,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,11 Jul 2024
41,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,13 Aug 2024
42,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,23 Aug 2024
43,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,24 Jul 2024
44,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,4800,4800,21 Sep 2024
45,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,05 Oct 2024
46,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,08 Nov 2024
47,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,11 Nov 2024
48,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,13 Nov 2024
49,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,16 Oct 2024
50,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,19 Oct 2024
51,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,26 Jul 2024
52,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,28 Aug 2024
53,Kottayam,Kottayam,Rice,Other,FAQ,4600,5200,5000,03 Sep 2024
54,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,04 Oct 2024
55,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,06 Nov 2024
56,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,07 Aug 2024
57,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,10 Aug 2024
58,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,24 Jul 2024
59,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,27 Sep 2024
60,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,11 Jul 2024
61,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,14 Jul 2024
62,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,05 Nov 2024
63,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,11 Oct 2024
64,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,28 Nov 2024
65,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,01 Aug 2024
66,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,02 Nov 2024
67,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,05 Nov 2024
68,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,17 Aug 2024
69,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,28 Aug 2024
70,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,04 Nov 2024
71,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,11 Jul 2024
72,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,14 Oct 2024
73,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,19 Nov 2024
74,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,26 Aug 2024
75,Kottayam,Kottayam,Rice,Other,FAQ,4600,5200,5000,27 Jul 2024
76,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,08 Aug 2024
77,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,12 Aug 2024
78,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,20 Sep 2024
79,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,31 Jul 2024
80,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,03 Jul 2024
81,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,06 Jul 2024
82,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,01 Jul 2024
83,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,02 Jul 2024
84,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,08 Jul 2024
85,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,14 Sep 2024
86,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,15 Nov 2024
87,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,25 Sep 2024
88,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,27 Aug 2024
89,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,28 Sep 2024
90,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,03 Oct 2024
91,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,17 Sep 2024
92,Kottayam,Kottayam,Rice,Other,FAQ,4600,5000,4800,08 Oct 2024
93,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,12 Jul 2024
94,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,19 Sep 2024
95,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,23 Oct 2024
96,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,24 Sep 2024
97,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,25 Nov 2024
98,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,26 Nov 2024
99,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,26 Sep 2024
100,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,24 Jul 2024
101,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,28 Aug 2024
102,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,09 Nov 2024
103,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,12 Oct 2024
104,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,18 Sep 2024
105,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,20 Nov 2024
106,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,01 Nov 2024
107,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,06 Jul 2024
108,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,06 Sep 2024
109,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,12 Aug 2024
110,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,16 Aug 2024
111,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,23 Sep 2024
112,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,27 Jul 2024
113,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,29 Jul 2024
114,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,30 Sep 2024
115,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,4800,4800,09 Nov 2024
116,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,02 Sep 2024
117,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,06 Jul 2024
118,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,09 Sep 2024
119,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,31 Aug 2024
120,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,01 Nov 2024
121,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,11 Oct 2024
122,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,16 Aug 2024
123,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,25 Oct 2024
124,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,27 Nov 2024
125,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,12 Jul 2024
126,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,22 Jul 2024
127,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,04 Oct 2024
128,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,12 Sep 2024
129,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,27 Sep 2024
130,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,30 Nov 2024
131,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,30 Oct 2024
132,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,01 Oct 2024
133,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,02 Sep 2024
134,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,09 Sep 2024
135,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,12 Jul 2024
136,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,12 Sep 2024
137,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,19 Sep 2024
138,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,22 Oct 2024
139,Idukki,Thodupuzha,Rice,IR-8,FAQ,3600,3800,3800,27 Sep 2024
140,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,02 Nov 2024
141,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,11 Sep 2024
142,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,13 Sep 2024
143,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,18 Jul 2024
144,Idukki,Thodupuzha,Rice,Mataa Parboiled,FAQ,4600,5000,4800,19 Aug 2024
145,Kottayam,Kottayam,Rice,Other,FAQ,4600,5200,4900,02 Jul 2024
146,Kottayam,Kottayam,Rice,Other,FAQ,4600,5200,4900,06 Jul 2024
147,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,23 Aug 2024
148,Kottayam,Kottayam,Rice,Other,FAQ,4600,5400,5000,28 Nov 2024
149,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,12 Aug 2024
150,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,18 Aug 2024
151,Malappuram,Manjeri,Rice,Other,FAQ,4600,4700,4650,19 Aug 2024
152,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,01 Dec 2024
153,Malappuram,Manjeri,Rice,Other,FAQ,4700,4800,4750,14 Sep 2024
