0,1,2,3,4,5,6,7,8,9
1,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,01 Nov 2022
2,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,02 Jun 2023
3,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,03 May 2023
4,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,03 Nov 2022
5,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,05 Nov 2022
6,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,10 Aug 2023
7,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,10 Jan 2023
8,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,11 Aug 2023
9,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,13 Oct 2022
10,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,15 Feb 2023
11,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,15 May 2023
12,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,16 Apr 2023
13,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,17 Jan 2023
14,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,17 Jun 2023
15,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,18 Oct 2022
16,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,21 Oct 2022
17,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,24 Jun 2023
18,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,25 Jan 2023
19,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,25 Sep 2022
20,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,26 Feb 2023
21,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3500,3700,3700,27 Feb 2023
22,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3600,3700,3700,28 Sep 2022
23,Ernakulam,Ernakulam,Rice,Jaya,FAQ,3700,3700,3700,11 Apr 2023
24,Kottayam,Kottayam,Rice,Other,FAQ,4000,4400,4200,19 Dec 2022
25,Kottayam,Kottayam,Rice,Other,FAQ,4000,4800,4400,01 Feb 2023
26,Kottayam,Kottayam,Rice,Other,FAQ,4000,4800,4400,06 Dec 2022
27,Kottayam,Kottayam,Rice,Other,FAQ,4000,4800,4400,07 Feb 2023
28,Kottayam,Kottayam,Rice,Other,FAQ,4000,4800,4400,20 Feb 2023
29,Kottayam,Kottayam,Rice,Other,FAQ,4000,4800,4400,28 Jan 2023
30,Kottayam,Kottayam,Rice,Other,FAQ,4000,4800,4400,31 Jan 2023
31,Kottayam,Kottayam,Rice,Other,FAQ,4100,4700,4400,14 Jan 2023
32,Kottayam,Kottayam,Rice,Other,FAQ,4400,5000,4800,15 Mar 2023
33,Kottayam,Kottayam,Rice,Other,FAQ,4400,5200,4800,04 May 2023
34,Kottayam,Kottayam,Rice,Other,FAQ,4400,5200,4800,05 May 2023
35,Kottayam,Kottayam,Rice,Other,FAQ,4400,5200,4800,17 Jun 2023
36,Kottayam,Kottayam,Rice,Other,FAQ,4400,5200,4800,18 Aug 2023
37,Kottayam,Kottayam,Rice,Other,FAQ,4600,4800,4700,28 Dec 2022
38,Malappuram,Manjeri,Rice,Other,FAQ,4000,4100,4050,02 Dec 2022
39,Malappuram,Manjeri,Rice,Other,FAQ,4000,4100,4050,06 Dec 2022
40,Malappuram,Manjeri,Rice,Other,FAQ,4000,4100,4050,07 Feb 2023
41,Malappuram,Manjeri,Rice,Other,FAQ,4000,4100,4050,15 Dec 2022
42,Malappuram,Manjeri,Rice,Other,FAQ,4000,4100,4050,27 Dec 2022
43,Malappuram,Manjeri,Rice,Other,FAQ,4300,4400,4350,09 Mar 2023
44,Malappuram,Manjeri,Rice,Other,FAQ,4300,4400,4350,15 Feb 2023
45,Malappuram,Manjeri,Rice,Other,FAQ,4300,4400,4350,24 Apr 2023
46,Malappuram,Manjeri,Rice,Other,FAQ,4300,4400,4350,26 May 2023
47,Malappuram,Manjeri,Rice,Other,FAQ,4400,4500,4450,11 Aug 2023
48,Malappuram,Manjeri,Rice,Other,FAQ,4400,4500,4450,14 Aug 2023
49,Malappuram,Manjeri,Rice,Other,FAQ,4400,4500,4450,15 Jun 2023
50,Malappuram,Manjeri,Rice,Other,FAQ,4400,4500,4450,17 Aug 2023
51,Malappuram,Manjeri,Rice,Other,FAQ,4400,4500,4450,17 Jun 2023
52,Malappuram,Manjeri,Rice,Other,FAQ,4400,4500,4450,21 Jul 2023
53,Malappuram,Manjeri,Rice,Other,FAQ,4400,4500,4450,22 Jun 2023
54,Malappuram,Perinthalmanna,Rice,Jaya,FAQ,2700,2900,2800,12 Sep 2022
