0,1,2,3,4,5,6,7,8,9
1,Gadchiroli,Aheri,Rice,Other,FAQ,1800,1800,1800,06 May 2016
2,Gadchiroli,Aheri,Rice,Other,FAQ,1800,1800,1800,10 May 2016
3,Latur,Ahmedpur,Rice,Other,FAQ,1410,1425,1425,01 Aug 2016
4,Raigad,Alibagh,Rice,Other,FAQ,1500,1700,1600,08 Oct 2015
5,Raigad,Alibagh,Rice,Other,FAQ,3400,3600,3500,02 Sep 2015
6,Raigad,Alibagh,Rice,Other,FAQ,3400,3600,3500,19 Oct 2015
7,Raigad,Alibagh,Rice,Other,FAQ,3500,4000,3750,01 Feb 2016
8,Raigad,Alibagh,Rice,Other,FAQ,3500,4000,3750,07 Jan 2016
9,Raigad,Alibagh,Rice,Other,FAQ,3500,4000,3750,15 Jan 2016
10,Raigad,Alibagh,Rice,Other,FAQ,3500,4000,3750,19 Jan 2016
11,Raigad,Alibagh,Rice,Other,FAQ,3500,4000,3750,23 Oct 2015
12,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,04 Aug 2016
13,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,04 Mar 2016
14,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,11 Jun 2016
15,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,13 Apr 2016
16,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,13 Jun 2016
17,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,14 May 2016
18,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,15 Mar 2016
19,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,16 Apr 2016
20,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,17 Feb 2016
21,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,21 May 2016
22,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,22 Aug 2016
23,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,23 Aug 2016
24,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,30 Jul 2016
25,Bhandara,Bhandara,Rice,Other,FAQ,3400,3640,3585,26 May 2016
26,Bhandara,Bhandara,Rice,Other,FAQ,3430,3660,3515,19 Jul 2016
27,Bhandara,Bhandara,Rice,Other,FAQ,3700,4030,3950,14 Jul 2016
28,Thane,Bhivandi,Rice,1009 Kar,FAQ,1700,2200,1850,15 Jun 2016
29,Thane,Bhivandi,Rice,1009 Kar,FAQ,2000,3000,2550,12 Apr 2016
30,Thane,Bhivandi,Rice,1009 Kar,FAQ,2050,3550,2540,23 Mar 2016
31,Thane,Bhivandi,Rice,1009 Kar,FAQ,2100,3100,2330,05 Aug 2016
32,Thane,Bhivandi,Rice,1009 Kar,FAQ,2100,3500,2340,04 Aug 2016
33,Thane,Bhivandi,Rice,1009 Kar,FAQ,2200,4500,2900,20 Jul 2016
34,Thane,Bhivandi,Rice,1009 Kar,FAQ,3400,4450,3850,26 May 2016
35,Nanded,Bhokar,Rice,1009 Kar,FAQ,1570,1570,1570,18 Dec 2015
36,Pune,Bhor,Rice,Other,FAQ,3600,4000,3800,20 Dec 2015
37,Pune,Bhor,Rice,Other,FAQ,3700,4000,3800,13 Dec 2015
38,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1421,1485,1461,11 Oct 2015
39,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1575,1621,1611,03 Jan 2016
40,Pune,Indapur(Bhigwan),Rice,1009 Kar,FAQ,1780,1825,1800,22 May 2016
41,Ahmednagar,Karjat,Rice,Other,FAQ,2000,4400,3000,03 Oct 2015
42,Ahmednagar,Karjat,Rice,Other,FAQ,2000,4400,3000,04 Oct 2015
43,Ahmednagar,Karjat,Rice,Other,FAQ,2000,4400,3000,07 Jul 2016
44,Ahmednagar,Karjat,Rice,Other,FAQ,2000,4400,3000,08 Aug 2016
45,Ahmednagar,Karjat,Rice,Other,FAQ,2000,4400,3000,25 Feb 2016
46,Ahmednagar,Karjat,Rice,Other,FAQ,2000,4400,3000,26 Oct 2015
47,Ahmednagar,Karjat,Rice,Other,FAQ,2000,4400,3000,27 Oct 2015
48,Raigad,Khalapur (Shil-Phata),Rice,Other,FAQ,2300,7000,3800,13 Jun 2016
49,Raigad,Khalapur (Shil-Phata),Rice,Other,FAQ,2400,7000,3500,17 Jun 2016
50,Raigad,Khalapur (Shil-Phata),Rice,Other,FAQ,2500,7500,3600,08 Aug 2016
51,Kolhapur,Kolhapur(Laxmipuri),Rice,1009 Kar,FAQ,2050,4700,3100,15 Mar 2016
52,Kolhapur,Kolhapur(Laxmipuri),Rice,1009 Kar,FAQ,2050,4900,3750,21 Jun 2016
53,Kolhapur,Kolhapur(Laxmipuri),Rice,1009 Kar,FAQ,2050,4900,3750,23 Jun 2016
54,Kolhapur,Kolhapur(Laxmipuri),Rice,1009 Kar,FAQ,2100,5000,3900,17 May 2016
55,Kolhapur,Kolhapur(Laxmipuri),Rice,1009 Kar,FAQ,2200,5100,3400,04 Aug 2016
56,Raigad,Alibagh,Rice,Other,FAQ,3000,4000,3500,02 Dec 2015
57,Raigad,Alibagh,Rice,Other,FAQ,3000,4000,3500,05 Nov 2015
58,Raigad,Alibagh,Rice,Other,FAQ,3400,3600,3500,24 Sep 2015
59,Raigad,Alibagh,Rice,Other,FAQ,3500,4000,3750,04 Feb 2016
60,Raigad,Alibagh,Rice,Other,FAQ,3500,4000,3750,06 Jan 2016
61,Raigad,Alibagh,Rice,Other,FAQ,3500,4000,3750,29 Jan 2016
62,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,03 Jun 2016
63,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,06 Apr 2016
64,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,06 Jul 2016
65,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,15 Jun 2016
66,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,16 Jul 2016
67,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,25 Apr 2016
68,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,25 Aug 2016
69,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,29 Feb 2016
70,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,29 Mar 2016
71,Raigad,Alibagh,Rice,Other,FAQ,3500,4500,4000,30 Jun 2016
72,Bhandara,Bhandara,Rice,Other,FAQ,3200,3900,3725,16 Jun 2016
73,Bhandara,Bhandara,Rice,Other,FAQ,3640,3680,3655,21 Jul 2016
74,Thane,Bhivandi,Rice,1009 Kar,FAQ,1900,3500,2000,13 Jul 2016
75,Thane,Bhivandi,Rice,1009 Kar,FAQ,2000,2200,2100,12 Oct 2015
76,Thane,Bhivandi,Rice,1009 Kar,FAQ,2200,2800,2450,23 Dec 2015
77,Thane,Bhivandi,Rice,1009 Kar,FAQ,2230,4570,3070,07 Jan 2016
78,Thane,Bhivandi,Rice,1009 Kar,FAQ,2250,2550,2450,10 May 2016
79,Thane,Bhivandi,Rice,1009 Kar,FAQ,2250,3250,2670,11 Jan 2016
80,Thane,Bhivandi,Rice,1009 Kar,FAQ,2250,4000,3500,09 May 2016
81,Thane,Bhivandi,Rice,1009 Kar,FAQ,2250,4500,3500,21 Apr 2016
82,Thane,Bhivandi,Rice,1009 Kar,FAQ,2500,4500,3000,14 Jul 2016
83,Thane,Bhivandi,Rice,1009 Kar,FAQ,3200,4500,3850,21 Jan 2016
84,Thane,Bhivandi,Rice,1009 Kar,FAQ,3500,5050,4500,20 May 2016
