0,1,2,3,4,5,6,7,8,9
1,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,27 Dec 2018
2,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,02 Jan 2019
3,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,10 Jan 2019
4,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,07 Jan 2019
5,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,29 Dec 2018
6,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,08 Jan 2019
7,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,11 Jan 2019
8,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,03 Jan 2019
9,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,14 Jan 2019
10,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,31 Dec 2018
11,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,05 Jan 2019
12,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,12 Dec 2018
13,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,13 Dec 2018
14,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,18 Dec 2018
15,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,22 Dec 2018
16,Sehore,Baktara,Rice,1009 Kar,FAQ,1550,1550,1550,01 Jul 2019
17,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,09 Jan 2019
18,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,10 Dec 2018
19,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,15 Jan 2019
20,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,14 Dec 2018
21,Sehore,Baktara,Rice,Govt. Quality,FAQ,1750,1750,1750,26 Dec 2018
