0,1,2,3,4,5,6,7,8,9
1,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,01 Sep 2017
2,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,02 Mar 2018
3,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,05 Apr 2018
4,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,08 May 2018
5,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,14 Jun 2018
6,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,20 Jun 2018
7,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,21 Apr 2018
8,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,22 Feb 2018
9,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,27 Mar 2018
10,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,28 Jul 2018
11,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,29 Oct 2017
12,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,01 May 2018
13,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,02 Oct 2017
14,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,05 Mar 2018
15,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,06 May 2018
16,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,09 Oct 2017
17,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,10 May 2018
18,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,10 Oct 2017
19,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,12 Feb 2018
20,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,15 Oct 2017
21,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,17 Sep 2017
22,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,26 Feb 2018
23,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,27 Aug 2018
24,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,30 Apr 2018
25,Balasore,Bampada,Rice,Sona Boiled,FAQ,2600,3500,2700,11 Sep 2017
26,Balasore,Bampada,Rice,Sona Boiled,FAQ,2600,3500,2700,23 Nov 2017
27,Balasore,Bampada,Rice,Sona Boiled,FAQ,2800,3000,2900,17 Aug 2018
28,Balasore,Bampada,Rice,Sona Boiled,FAQ,2800,3000,2900,23 Aug 2018
29,Balasore,Barikpur,Rice,Common,FAQ,2500,2700,2600,02 Mar 2018
30,Balasore,Barikpur,Rice,Common,FAQ,2500,3000,2600,10 Jan 2018
31,Balasore,Barikpur,Rice,Common,FAQ,2500,3000,2600,18 Sep 2017
32,Balasore,Barikpur,Rice,Common,FAQ,2600,3200,2700,20 Dec 2017
33,Balasore,Barikpur,Rice,Common,FAQ,2800,3000,2900,23 Mar 2018
34,Balasore,Barikpur,Rice,Other,FAQ,2600,3200,2700,17 Oct 2017
35,Balasore,Barikpur,Rice,Other,FAQ,2600,3200,2700,26 Sep 2017
36,Mayurbhanja,Baripada,Rice,Other,FAQ,2500,3000,2800,22 Mar 2018
37,Mayurbhanja,Baripada,Rice,Other,FAQ,2500,3200,2700,06 Apr 2018
38,Mayurbhanja,Baripada,Rice,Other,FAQ,2500,3200,2800,28 Jun 2018
39,Mayurbhanja,Baripada,Rice,Other,FAQ,2500,3200,3000,31 May 2018
40,Mayurbhanja,Baripada,Rice,Other,FAQ,2600,3500,3000,11 Apr 2018
41,Mayurbhanja,Baripada,Rice,Other,FAQ,2700,3500,3200,02 May 2018
42,Mayurbhanja,Baripada,Rice,Other,FAQ,2700,3500,3200,15 Apr 2018
43,Mayurbhanja,Baripada,Rice,Other,FAQ,2750,3500,3000,24 May 2018
44,Mayurbhanja,Baripada,Rice,Other,FAQ,2800,3500,3200,19 Jul 2018
45,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2000,2500,2200,01 Oct 2017
46,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2000,2500,2200,05 Sep 2017
47,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2000,2500,2200,13 Sep 2017
48,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,05 Aug 2018
49,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,08 Aug 2018
50,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,11 Apr 2018
51,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,12 Jul 2018
52,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,12 Jun 2018
53,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,17 May 2018
54,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,18 Aug 2018
55,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,19 Jun 2018
56,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,29 May 2018
57,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,30 May 2018
58,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2600,2400,13 Nov 2017
59,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2400,2800,2600,04 Apr 2018
60,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2400,2800,2600,10 Jan 2018
61,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2400,2800,2600,10 Mar 2018
62,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2400,2800,2600,23 Mar 2018
63,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2400,2800,2600,29 Mar 2018
64,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,02 Jul 2018
65,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,07 Jan 2018
66,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,09 Jun 2018
67,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,09 Nov 2017
68,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,09 Oct 2017
69,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,13 Mar 2018
70,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,14 Nov 2017
71,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,20 Oct 2017
72,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,21 Oct 2017
73,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,25 Mar 2018
74,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,26 Mar 2018
75,Ganjam,Bhanjanagar,Rice,Common,FAQ,2000,2200,2100,27 Nov 2017
76,Bolangir,Bolangir,Rice,Other,FAQ,2500,2600,2500,01 Sep 2017
77,Bolangir,Bolangir,Rice,Other,FAQ,2500,2600,2500,07 Feb 2018
78,Bolangir,Bolangir,Rice,Other,FAQ,2500,2600,2500,10 Oct 2017
79,Bolangir,Bolangir,Rice,Other,FAQ,2500,2600,2500,13 Dec 2017
80,Bolangir,Bolangir,Rice,Other,FAQ,2500,2600,2500,14 Sep 2017
81,Bolangir,Bolangir,Rice,Other,FAQ,2500,2600,2500,21 Nov 2017
82,Bolangir,Bolangir,Rice,Other,FAQ,2500,2600,2500,31 Jan 2018
83,Bolangir,Bolangir,Rice,Other,FAQ,2700,2800,2700,12 Feb 2018
84,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,01 May 2018
85,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,05 Apr 2018
86,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,05 May 2018
87,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,06 Aug 2018
88,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,10 Jul 2018
89,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,18 Aug 2018
90,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,22 Apr 2018
91,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,23 Jun 2018
92,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,25 May 2018
93,Bolangir,Bolangir,Rice,Other,FAQ,2800,3000,2800,30 Apr 2018
94,Sundergarh,Bonai,Rice,Other,FAQ,2000,2500,2200,15 Sep 2017
95,Sundergarh,Bonai,Rice,Other,FAQ,2200,2500,2500,01 Sep 2017
96,Sundergarh,Bonai,Rice,Other,FAQ,2200,2500,2500,18 Sep 2017
97,Sundergarh,Bonai,Rice,Other,FAQ,2500,2500,2500,02 Oct 2017
98,Sundergarh,Bonai,Rice,Other,FAQ,2500,2800,2500,13 Mar 2018
99,Sundergarh,Bonai,Rice,Other,FAQ,2500,2800,2500,16 Apr 2018
100,Sundergarh,Bonai,Rice,Other,FAQ,2500,2800,2500,16 Nov 2017
101,Sundergarh,Bonai,Rice,Other,FAQ,2500,2800,2500,26 Feb 2018
102,Sundergarh,Bonai,Rice,Other,FAQ,2500,2800,2800,05 Jan 2018
103,Sundergarh,Bonai,Rice,Other,FAQ,2500,2800,2800,13 Jan 2018
104,Sundergarh,Bonai,Rice,Other,FAQ,2500,2800,2800,27 Oct 2017
105,Sundergarh,Bonai,Rice,Other,FAQ,2500,2800,2800,28 Nov 2017
106,Sundergarh,Bonai,Rice,Other,FAQ,2500,2800,2800,31 Dec 2017
107,Sundergarh,Bonai,Rice,Other,FAQ,2500,3000,2800,19 Jan 2018
108,Sundergarh,Bonai,Rice,Other,FAQ,2800,3000,3000,18 Jun 2018
109,Sundergarh,Bonai,Rice,Other,FAQ,2800,3500,3000,12 Jun 2018
110,Sundergarh,Bonai,Rice,Other,FAQ,3000,3200,3000,01 Sep 2018
111,Sundergarh,Bonai,Rice,Other,FAQ,3000,3200,3200,14 Aug 2018
112,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,07 May 2018
113,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,07 Nov 2017
114,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,08 Sep 2017
115,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,13 May 2018
116,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,15 Feb 2018
117,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,18 Jan 2018
118,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,19 Dec 2017
119,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,19 Jan 2018
120,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,25 Aug 2018
121,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,26 Jun 2018
122,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,01 Jul 2018
123,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,02 Nov 2017
124,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,03 Jun 2018
125,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,11 Dec 2017
126,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,11 Sep 2017
127,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,12 Nov 2017
128,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,12 Oct 2017
129,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,20 Nov 2017
130,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,26 Aug 2018
131,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,26 Sep 2017
132,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,31 Oct 2017
133,Balasore,Bampada,Rice,Sona Boiled,FAQ,2500,3000,2600,11 Oct 2017
134,Balasore,Bampada,Rice,Sona Boiled,FAQ,2600,3200,2700,14 Oct 2017
135,Balasore,Bampada,Rice,Sona Boiled,FAQ,2600,3200,2700,15 Nov 2017
136,Balasore,Bampada,Rice,Sona Boiled,FAQ,2600,3200,2700,17 Nov 2017
137,Balasore,Bampada,Rice,Sona Boiled,FAQ,2800,3000,2900,02 May 2018
138,Balasore,Bampada,Rice,Sona Boiled,FAQ,2800,3000,2900,23 Feb 2018
139,Balasore,Bampada,Rice,Sona Boiled,FAQ,2800,3200,2900,22 Oct 2017
140,Balasore,Barikpur,Rice,Common,FAQ,2600,3000,2700,17 Feb 2018
141,Balasore,Barikpur,Rice,Common,FAQ,2800,3000,2900,01 Apr 2018
142,Mayurbhanja,Baripada,Rice,Other,FAQ,2500,3500,3000,24 Mar 2018
143,Mayurbhanja,Baripada,Rice,Other,FAQ,2600,3000,2800,25 Aug 2018
144,Mayurbhanja,Baripada,Rice,Other,FAQ,2600,3200,2800,20 Aug 2018
145,Mayurbhanja,Baripada,Rice,Other,FAQ,2700,3500,3200,02 Jul 2018
146,Mayurbhanja,Baripada,Rice,Other,FAQ,2700,3500,3200,29 Jul 2018
147,Mayurbhanja,Baripada,Rice,Other,FAQ,2800,3200,3000,30 May 2018
148,Mayurbhanja,Baripada,Rice,Other,FAQ,2800,3500,3200,10 Jun 2018
149,Mayurbhanja,Baripada,Rice,Other,FAQ,2800,3500,3200,18 Jun 2018
150,Mayurbhanja,Baripada,Rice,Other,FAQ,2800,3500,3200,20 Jun 2018
151,Mayurbhanja,Baripada,Rice,Other,FAQ,3000,3500,3200,30 Mar 2018
152,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2000,2500,2200,02 Sep 2017
153,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2000,2500,2200,11 Sep 2017
154,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2000,2500,2200,23 Sep 2017
155,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2000,2500,2200,26 Sep 2017
156,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,01 Aug 2018
157,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,13 Jul 2018
158,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,19 Apr 2018
159,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,22 Aug 2018
160,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2500,2400,26 May 2018
161,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2600,2400,16 Nov 2017
162,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2600,2400,25 Nov 2017
163,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2200,2600,2400,25 Oct 2017
164,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2400,2600,2500,12 Oct 2017
165,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2400,2600,2500,15 Oct 2017
166,Mayurbhanja,Betnoti,Rice,Sanna Bhatta,FAQ,2400,2800,2600,02 Mar 2018
167,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,07 Sep 2017
168,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,08 Apr 2018
169,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,14 May 2018
170,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,16 Aug 2018
171,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,17 Mar 2018
172,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,17 Oct 2017
173,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,18 Apr 2018
174,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,19 Nov 2017
175,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,19 Sep 2017
176,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,24 Jan 2018
177,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,24 Oct 2017
178,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,25 Sep 2017
179,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,27 Jun 2018
180,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,28 Mar 2018
181,Angul,Angul,Rice,Other,FAQ,2500,3000,2800,31 Aug 2018
182,Angul,Angul(Jarapada),Rice,Other,FAQ,2500,3000,2800,01 Jan 2018
