0,1,2,3,4,5,6,7,8,9
1,Fazilka,Abohar,Rice,Other,FAQ,1450,1450,1450,03 Oct 2015
2,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2000,2235,2145,24 Dec 2015
3,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2130,2225,2175,25 Dec 2015
4,Ludhiana,Jagraon,Rice,Other,FAQ,1860,2050,1950,22 Jan 2016
5,Ludhiana,Jagraon,Rice,Other,FAQ,2105,2105,2105,21 Dec 2015
6,Fazilka,Abohar,Rice,Other,FAQ,1450,1450,1450,02 Oct 2015
7,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,1575,2230,2150,14 Dec 2015
8,Muktsar,Malout,Rice,Basmati Paddy,FAQ,2075,2231,2150,04 Jan 2016
9,Muktsar,Malout,Rice,Other,FAQ,1621,2145,1950,19 Nov 2015
10,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2205,2400,2335,11 Dec 2015
11,Barnala,Barnala,Rice,Other,FAQ,1600,1955,1777,22 Jan 2016
12,Muktsar,Malout,Rice,Basmati Paddy,FAQ,1570,1671,1631,06 Nov 2015
13,Muktsar,Malout,Rice,Basmati Paddy,FAQ,1850,2361,2200,20 Nov 2015
14,Muktsar,Malout,Rice,Other,FAQ,1550,1671,1631,09 Nov 2015
15,Fazilka,Abohar,Rice,Other,FAQ,1450,1450,1450,04 Oct 2015
16,kapurthala,Dhilwan,Rice,Basmati Paddy,FAQ,1400,1950,1750,23 Nov 2015
17,kapurthala,Dhilwan,Rice,Basmati Paddy,FAQ,1550,1721,1600,04 Nov 2015
18,Ludhiana,Jagraon,Rice,Other,FAQ,2075,2075,2075,31 Dec 2015
19,Ludhiana,Jagraon,Rice,Other,FAQ,2545,2545,2545,27 Nov 2015
20,Muktsar,Muktsar,Rice,Basmati Paddy,FAQ,2000,2320,2200,08 Apr 2016
21,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,1575,2230,2150,16 Dec 2015
22,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2000,2260,2125,13 Dec 2015
23,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2150,2305,2250,04 Dec 2015
24,Barnala,Barnala,Rice,Other,FAQ,1600,1600,1600,04 Feb 2016
25,kapurthala,Dhilwan,Rice,Basmati Paddy,FAQ,2550,2600,2600,08 Dec 2015
26,Ludhiana,Jagraon,Rice,Other,FAQ,2395,2395,2395,04 Dec 2015
27,Muktsar,Muktsar,Rice,Basmati Paddy,FAQ,2400,2600,2450,10 Dec 2015
28,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,1870,2305,2255,24 Nov 2015
29,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2100,2235,2175,17 Dec 2015
30,Barnala,Barnala,Rice,Other,FAQ,1750,1750,1750,29 Jan 2016
31,Ludhiana,Jagraon,Rice,Other,FAQ,1650,1650,1650,13 Nov 2015
32,Ludhiana,Jagraon,Rice,Other,FAQ,2000,2285,2100,22 Dec 2015
33,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,1500,2365,2300,08 Dec 2015
34,kapurthala,Dhilwan,Rice,Basmati Paddy,FAQ,1625,1700,1700,03 Nov 2015
35,Muktsar,Muktsar,Rice,Basmati Paddy,FAQ,2400,2500,2450,08 Dec 2015
36,Muktsar,Muktsar,Rice,Basmati Paddy,FAQ,4000,6000,5000,27 Nov 2015
37,kapurthala,Dhilwan,Rice,Basmati Paddy,FAQ,1550,2750,2250,30 Nov 2015
38,Ludhiana,Jagraon,Rice,Other,FAQ,1450,1450,1450,07 Nov 2015
39,Ludhiana,Jagraon,Rice,Other,FAQ,2240,2240,2240,24 Dec 2015
40,Ludhiana,Jagraon,Rice,Other,FAQ,2245,2245,2245,23 Dec 2015
41,Ludhiana,Jagraon,Rice,Other,FAQ,2250,2250,2250,18 Dec 2015
42,Muktsar,Malout,Rice,Basmati Paddy,FAQ,2145,2351,2235,08 Dec 2015
43,Muktsar,Muktsar,Rice,Basmati Paddy,FAQ,2200,2500,2300,04 Dec 2015
44,Muktsar,Muktsar,Rice,Basmati Paddy,FAQ,4000,6000,5000,14 Nov 2015
45,Muktsar,Bariwala,Rice,Basmati Paddy,FAQ,2050,2330,2285,03 Dec 2015
46,Ludhiana,Jagraon,Rice,Other,FAQ,1800,2010,1950,27 Jan 2016
47,Ludhiana,Jagraon,Rice,Other,FAQ,1830,2060,1910,26 Jan 2016
