0,1,2,3,4,5,6,7,8,9
1,Nizamabad,Bodhan,Rice,B P T,Medium,3022,3022,3022,28 Dec 2015
2,Nizamabad,Bodhan,Rice,B P T,Medium,3072,3072,3072,21 Jan 2016
3,Nizamabad,Bodhan,Rice,B P T,Medium,3275,3275,3275,07 May 2016
4,Nizamabad,Bodhan,Rice,Other,Medium,2000,2080,2020,02 Feb 2016
5,Nizamabad,Bodhan,Rice,B P T,Medium,3004,3068,3036,12 Jan 2016
6,Nizamabad,Bodhan,Rice,B P T,Medium,3020,3360,3020,18 Jan 2016
7,Nizamabad,Bodhan,Rice,B P T,Medium,3200,3200,3200,03 Jan 2016
8,Nizamabad,Bodhan,Rice,B P T,Medium,2940,2940,2940,20 Jan 2016
9,Nizamabad,Bodhan,Rice,B P T,Medium,2960,2960,2960,30 Jan 2016
10,Nizamabad,Bodhan,Rice,B P T,Medium,3024,3200,3110,08 Jan 2016
11,Nizamabad,Bodhan,Rice,B P T,Medium,3432,3432,3432,24 Dec 2015
12,Adilabad,Adilabad(Rythu Bazar),Rice,B P T,Medium,3000,3000,3000,05 Feb 2016
13,Adilabad,Adilabad(Rythu Bazar),Rice,B P T,Medium,3000,3000,3000,06 Feb 2016
14,Nizamabad,Bodhan,Rice,B P T,Medium,3024,3084,3048,09 Jan 2016
15,Ranga Reddy,Medchal,Rice,BT Sona,Small,3500,3500,3500,23 Dec 2015
16,Nizamabad,Bodhan,Rice,B P T,Medium,2940,3080,2970,14 Jan 2016
17,Nizamabad,Bodhan,Rice,B P T,Medium,3433,4000,3780,12 Dec 2015
18,Nizamabad,Bodhan,Rice,B P T,Medium,2830,3200,2950,01 Feb 2016
19,Nizamabad,Bodhan,Rice,B P T,Medium,3020,3033,3020,26 Jan 2016
20,Nizamabad,Bodhan,Rice,B P T,Medium,3264,3264,3264,20 Apr 2016
21,Nizamabad,Bodhan,Rice,Other,Medium,3430,3430,3430,20 Dec 2015
22,Ranga Reddy,Medchal,Rice,Hansa,FAQ,3360,3360,3360,22 Feb 2016
23,Nizamabad,Bodhan,Rice,B P T,Medium,3041,3041,3041,25 Jan 2016
24,Adilabad,Adilabad(Rythu Bazar),Rice,B P T,Medium,3000,3000,3000,04 Feb 2016
25,Ranga Reddy,Medchal,Rice,1009 Kar,FAQ,2600,2600,2600,30 Jan 2016
26,Nizamabad,Bodhan,Rice,B P T,Medium,2950,3293,3061,06 Jan 2016
27,Nizamabad,Bodhan,Rice,B P T,Medium,3438,3438,3438,23 Dec 2015
28,Nizamabad,Bodhan,Rice,B P T,Medium,2941,3027,2979,02 Jan 2016
29,Nizamabad,Bodhan,Rice,Other,Medium,2739,2739,2739,17 Dec 2015
30,Nizamabad,Bodhan,Rice,B P T,Medium,2950,2950,2950,28 Jan 2016
31,Nizamabad,Bodhan,Rice,B P T,Medium,2957,2957,2957,24 Jan 2016
32,Nizamabad,Bodhan,Rice,B P T,Medium,3020,3020,3020,17 Jan 2016
33,Nizamabad,Bodhan,Rice,B P T,Medium,3433,3433,3433,10 Dec 2015
