0,1,2,3,4,5,6,7,8,9
1,Erode,Boothapadi,Rice,ADT 39,FAQ,1384,2253,2072,04 Oct 2016
2,Erode,Boothapadi,Rice,Ponni,FAQ,2007,2303,2100,13 Sep 2016
3,Erode,Boothapadi,Rice,ADT 39,FAQ,2300,2380,2350,18 Oct 2016
4,Erode,Boothapadi,Rice,ADT 39,FAQ,1100,1175,1138,27 Jun 2017
5,Erode,Boothapadi,Rice,ADT 39,FAQ,825,1190,950,11 Jul 2017
6,Erode,Boothapadi,Rice,ADT 39,FAQ,1386,1459,1400,13 Sep 2016
7,Erode,Boothapadi,Rice,ADT 39,FAQ,830,157500,1200,30 May 2017
8,Erode,Boothapadi,Rice,ADT 39,FAQ,850,1500,1200,14 Feb 2017
9,Erode,Boothapadi,Rice,ADT 39,FAQ,1001,1435,1250,20 Jun 2017
10,Erode,Boothapadi,Rice,ADT 39,FAQ,972,1305,1300,22 Aug 2017
