0,1,2,3,4,5,6,7,8,9
1,South District,Biokhora,Rice,Boiled Rice,FAQ,2600,2750,2700,12 Nov 2019
2,South District,Biokhora,Rice,Boiled Rice,FAQ,3000,3300,3200,02 Aug 2020
3,South District,Biokhora,Rice,Boiled Rice,FAQ,3000,3400,3200,14 Nov 2019
4,South District,Biokhora,Rice,Boiled Rice,FAQ,3000,3400,3200,16 Nov 2019
5,South District,Biokhora,Rice,Boiled Rice,FAQ,3000,3400,3200,19 Nov 2019
6,South District,Biokhora,Rice,Boiled Rice,FAQ,3200,3400,3300,03 Apr 2020
7,South District,Biokhora,Rice,Boiled Rice,FAQ,3200,3400,3350,30 Nov 2019
8,South District,Biokhora,Rice,Boiled Rice,FAQ,3200,3500,3300,18 Aug 2020
9,South District,Biokhora,Rice,Boiled Rice,FAQ,3200,3500,3300,22 Aug 2020
10,South District,Biokhora,Rice,Boiled Rice,FAQ,3200,3500,3300,23 Nov 2019
11,South District,Biokhora,Rice,Other,FAQ,2500,2700,2650,12 Nov 2019
12,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3300,3200,01 Feb 2020
13,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3300,3200,04 Feb 2020
14,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3300,3200,11 Jan 2020
15,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3300,3200,15 Feb 2020
16,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3300,3200,18 Feb 2020
17,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3300,3200,18 Jan 2020
18,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3300,3200,21 Jan 2020
19,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3300,3200,26 Jan 2020
20,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3300,3200,28 Jan 2020
21,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3400,3200,07 Dec 2019
22,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3400,3200,11 Feb 2020
23,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3000,3500,3200,14 Jan 2020
24,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3100,3400,3200,08 Feb 2020
25,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3400,3300,04 Jan 2020
26,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3400,3300,07 Jan 2020
27,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3400,3300,14 Dec 2019
28,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3400,3300,22 Feb 2020
29,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3400,3300,25 Feb 2020
30,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3400,3300,28 Dec 2019
31,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3400,3300,31 Dec 2019
32,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3300,03 Mar 2020
33,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3300,07 Mar 2020
34,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3300,17 Dec 2019
35,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3300,21 Mar 2020
36,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3300,29 Feb 2020
37,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3400,10 Dec 2019
38,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3400,10 Mar 2020
39,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3400,14 Mar 2020
40,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3400,17 Mar 2020
41,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3400,21 Dec 2019
42,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3400,24 Dec 2019
43,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3500,3400,31 Mar 2020
44,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3600,3400,17 Sep 2019
45,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3600,3400,27 Mar 2020
46,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3200,3600,3400,30 Mar 2020
47,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3500,3400,03 Oct 2019
48,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3500,3400,05 Oct 2019
49,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3500,3400,08 Oct 2019
50,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3500,3400,09 Nov 2019
51,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3500,3400,15 Oct 2019
52,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3500,3400,21 Sep 2019
53,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3500,3400,26 Oct 2019
54,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3500,3400,29 Oct 2019
55,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,02 Nov 2019
56,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,03 Dec 2019
57,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,05 Nov 2019
58,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,12 Nov 2019
59,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,12 Oct 2019
60,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,17 Nov 2019
61,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,19 Nov 2019
62,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,19 Oct 2019
63,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,22 Oct 2019
64,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,23 Nov 2019
65,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,24 Sep 2019
66,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3300,3600,3400,26 Nov 2019
67,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,01 Aug 2020
68,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,03 Sep 2019
69,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,04 Aug 2020
70,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,07 Sep 2019
71,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,10 Sep 2019
72,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,14 Sep 2019
73,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,16 May 2020
74,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,18 Jun 2020
75,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,20 Jun 2020
76,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,22 Jun 2020
77,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,23 Jun 2020
78,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,24 Jun 2020
79,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,25 Jun 2020
80,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,26 Jun 2020
81,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,27 Jun 2020
82,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,28 Sep 2019
83,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,29 Jun 2020
84,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3400,3600,3500,30 Nov 2019
85,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,01 Jun 2020
86,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,01 May 2020
87,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,02 Jun 2020
88,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,03 Aug 2020
89,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,03 Jun 2020
90,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,04 Jun 2020
91,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,06 Aug 2020
92,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,06 Jun 2020
93,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,07 Jul 2020
94,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,08 Aug 2020
95,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,08 Jul 2020
96,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,09 Jul 2020
97,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,10 Jul 2020
98,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,11 Aug 2020
99,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,11 Jul 2020
100,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,13 Aug 2020
101,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,13 Jul 2020
102,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,14 Aug 2020
103,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,14 Jul 2020
104,Sepahijala,Bishalgarh,Rice,Fine,FAQ,3500,3700,3600,15 Aug 2020
