0,1,2,3,4,5,6,7,8,9
1,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1200,1200,1200,11 Mar 2016
2,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1349,1708,1451,08 Dec 2015
3,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1362,1900,1835,30 Mar 2016
4,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1375,1375,1375,31 Dec 2015
5,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1378,2000,1833,13 Mar 2016
6,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1385,2425,1941,03 Mar 2016
7,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1393,2240,1769,06 Dec 2015
8,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1400,1610,1580,05 Sep 2015
9,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1400,2151,1789,05 Dec 2015
10,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1416,1416,1416,10 Jan 2016
11,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1416,1416,1416,11 Jan 2016
12,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1436,1710,1570,09 Dec 2015
13,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1443,2590,1485,07 May 2016
14,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1450,1450,1450,24 Apr 2016
15,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1450,2166,1855,19 Nov 2015
16,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1454,1800,1714,13 Jan 2016
17,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1463,1463,1463,30 Dec 2015
18,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1464,1464,1464,12 Dec 2015
19,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1471,1818,1689,17 Dec 2015
20,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1471,2182,1889,04 Dec 2015
21,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1480,1480,1480,05 Apr 2016
22,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1480,1480,1480,10 May 2016
23,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1500,1500,1500,18 Apr 2016
24,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1500,2180,2035,22 Mar 2016
25,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1500,2454,2067,23 Dec 2015
26,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1515,1515,1515,14 May 2016
27,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1519,2225,1913,07 Nov 2015
28,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1525,1525,1525,17 Jun 2016
29,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1525,1525,1525,18 Mar 2016
30,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1534,1534,1534,21 May 2016
31,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1562,1562,1562,12 May 2016
32,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1600,2500,2053,08 May 2016
33,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1630,1900,1814,05 Nov 2015
34,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1698,2180,1937,02 Oct 2015
35,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1700,1700,1700,01 Nov 2015
36,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1700,1750,1723,10 Jul 2016
37,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1700,2100,1918,09 Aug 2016
38,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1700,2100,1935,07 Aug 2016
39,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1700,2200,2089,04 Mar 2016
40,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1721,1800,1750,28 Jun 2016
41,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1747,2111,2025,25 Aug 2016
42,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1780,1951,1816,12 Oct 2015
43,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1785,2021,1906,06 Nov 2015
44,UdhamSinghNagar,Bazpur,Rice,Common,FAQ,1800,1800,1800,14 Jan 2016
