0,1,2,3,4,5,6,7,8,9
1,Auraiya,Achalda,Rice,III,FAQ,2200,2300,2250,13 Feb 2023
2,Auraiya,Achalda,Rice,III,FAQ,2200,2400,2300,03 Jan 2023
3,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2330,14 Nov 2022
4,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2330,29 Nov 2022
5,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2350,09 Mar 2023
6,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2360,13 May 2023
7,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2360,23 Mar 2023
8,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2380,01 Apr 2023
9,Auraiya,Achalda,Rice,III,FAQ,2300,2450,2400,08 May 2023
10,Auraiya,Achalda,Rice,III,FAQ,2300,2500,2400,30 Sep 2022
11,Auraiya,Achalda,Rice,III,FAQ,2350,2500,2420,01 Sep 2022
12,Auraiya,Achalda,Rice,III,FAQ,2350,2500,2420,23 Sep 2022
13,Auraiya,Achalda,Rice,III,FAQ,2400,2500,2450,06 Oct 2022
14,Auraiya,Achalda,Rice,III,FAQ,2400,2500,2450,28 Oct 2022
15,Auraiya,Achalda,Rice,III,FAQ,2400,2560,2500,18 Aug 2023
16,Auraiya,Achalda,Rice,III,FAQ,2400,2600,2500,30 Jun 2023
17,Auraiya,Achalda,Rice,III,FAQ,2450,2550,2500,06 Jul 2023
18,Agra,Achnera,Rice,III,FAQ,2930,2970,2950,12 Aug 2023
19,Agra,Achnera,Rice,III,FAQ,2950,2990,2970,24 Jul 2023
20,Agra,Agra,Rice,III,FAQ,2840,2880,2855,01 Sep 2022
21,Agra,Agra,Rice,III,FAQ,2880,2940,2910,14 Sep 2022
22,Agra,Agra,Rice,III,FAQ,2880,2940,2910,21 Oct 2022
23,Agra,Agra,Rice,III,FAQ,2880,2980,2930,07 Jul 2023
24,Agra,Agra,Rice,III,FAQ,2900,2980,2950,14 Dec 2022
25,Agra,Agra,Rice,III,FAQ,2920,2970,2950,02 Dec 2022
26,Agra,Agra,Rice,III,FAQ,2920,2980,2950,18 Nov 2022
27,Agra,Agra,Rice,III,FAQ,2930,2970,2950,13 Apr 2023
28,Agra,Agra,Rice,III,FAQ,2940,2980,2955,06 Feb 2023
29,Agra,Agra,Rice,III,FAQ,2940,3040,2980,31 Jul 2023
30,Agra,Agra,Rice,III,FAQ,2950,3000,2965,08 Jun 2023
31,Agra,Agra,Rice,III,FAQ,2950,3000,2970,20 Jan 2023
32,Agra,Agra,Rice,III,FAQ,2950,3000,2975,29 May 2023
33,Agra,Agra,Rice,III,FAQ,2950,3000,2980,12 Jun 2023
34,Mirzapur,Ahirora,Rice,III,FAQ,2040,2040,2040,28 Jan 2023
35,Mirzapur,Ahirora,Rice,III,FAQ,2350,2550,2450,10 Mar 2023
36,Mirzapur,Ahirora,Rice,III,FAQ,2350,2550,2460,13 Mar 2023
37,Mirzapur,Ahirora,Rice,III,FAQ,2350,2550,2460,30 Nov 2022
38,Mirzapur,Ahirora,Rice,III,FAQ,2350,2580,2460,01 Dec 2022
39,Mirzapur,Ahirora,Rice,III,FAQ,2420,2600,2510,01 May 2023
40,Mirzapur,Ahirora,Rice,III,FAQ,2430,2620,2530,30 May 2023
41,Mirzapur,Ahirora,Rice,III,FAQ,2430,2650,2530,20 Jul 2023
42,Mirzapur,Ahirora,Rice,III,FAQ,2450,2650,2560,16 Jan 2023
43,Mirzapur,Ahirora,Rice,III,FAQ,2450,2650,2560,23 Apr 2023
44,Mirzapur,Ahirora,Rice,III,FAQ,2450,2650,2560,23 Jul 2023
45,Mirzapur,Ahirora,Rice,III,FAQ,2460,2650,2560,17 Jul 2023
46,Mirzapur,Ahirora,Rice,III,FAQ,2500,2700,2600,11 Jun 2023
47,Mirzapur,Ahirora,Rice,III,FAQ,2500,2730,2620,29 Oct 2022
48,Mirzapur,Ahirora,Rice,III,FAQ,2500,2750,2630,27 Sep 2022
49,Mirzapur,Ahirora,Rice,III,FAQ,2520,2750,2620,05 Nov 2022
50,Mirzapur,Ahirora,Rice,III,FAQ,2520,2750,2630,01 Aug 2023
51,Mirzapur,Ahirora,Rice,III,FAQ,2550,2750,2630,15 Jun 2023
52,Mirzapur,Ahirora,Rice,III,FAQ,2550,2760,2650,15 Jul 2023
53,Prayagraj,Ajuha,Rice,Common,FAQ,2270,2350,2325,29 Apr 2023
54,Prayagraj,Ajuha,Rice,Common,FAQ,2280,2355,2330,12 May 2023
55,Prayagraj,Ajuha,Rice,Common,FAQ,2300,2385,2360,01 Apr 2023
56,Prayagraj,Ajuha,Rice,Common,FAQ,2300,2400,2360,05 Jun 2023
57,Auraiya,Achalda,Rice,III,FAQ,2200,2300,2280,03 Dec 2022
58,Auraiya,Achalda,Rice,III,FAQ,2200,2400,2300,31 Dec 2022
59,Auraiya,Achalda,Rice,III,FAQ,2250,2350,2300,26 Nov 2022
60,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2330,24 Dec 2022
61,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2350,01 Feb 2023
62,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2350,01 Mar 2023
63,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2350,02 May 2023
64,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2350,16 Mar 2023
65,Auraiya,Achalda,Rice,III,FAQ,2300,2400,2360,13 Mar 2023
66,Auraiya,Achalda,Rice,III,FAQ,2300,2430,2380,07 Nov 2022
67,Auraiya,Achalda,Rice,III,FAQ,2300,2450,2400,18 Mar 2023
68,Auraiya,Achalda,Rice,III,FAQ,2300,2450,2400,27 Apr 2023
69,Auraiya,Achalda,Rice,III,FAQ,2300,2500,2400,05 Jun 2023
