0,1,2,3,4,5,6,7,8,9
1,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2850,3260,3080,09 Aug 2024
2,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2850,3260,3080,20 Aug 2024
3,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2860,3270,3050,19 Jul 2024
4,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2860,3280,3050,06 Jul 2024
5,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2860,3280,3050,26 Aug 2024
6,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2870,3250,3060,24 Aug 2024
7,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2870,3300,3065,01 Aug 2024
8,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,3050,3500,3200,13 Sep 2024
9,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,3100,3500,3250,27 Sep 2024
10,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,3550,3750,3600,15 Nov 2024
11,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,3550,3750,3650,16 Nov 2024
12,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,3550,3765,3600,11 Nov 2024
13,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,3565,3750,3600,21 Nov 2024
14,Puruliya,Balarampur,Rice,Other,FAQ,3900,4100,4000,07 Sep 2024
15,Puruliya,Balarampur,Rice,Other,FAQ,3900,4200,4020,24 Oct 2024
16,Puruliya,Balarampur,Rice,Other,FAQ,3900,4200,4100,01 Dec 2024
17,Puruliya,Balarampur,Rice,Other,FAQ,3920,4200,4000,21 Nov 2024
18,Puruliya,Balarampur,Rice,Other,FAQ,3940,4200,4020,14 Nov 2024
19,Puruliya,Balarampur,Rice,Other,FAQ,4000,4200,4100,23 Aug 2024
20,Puruliya,Balarampur,Rice,Other,FAQ,4200,4400,4300,16 Jul 2024
21,Puruliya,Balarampur,Rice,Other,FAQ,4200,4450,4300,26 Jul 2024
22,Bankura,Bankura Sadar,Rice,Common,FAQ,3350,3450,3400,03 Jul 2024
23,Bankura,Bankura Sadar,Rice,Common,FAQ,3500,3600,3550,01 Sep 2024
24,Bankura,Bankura Sadar,Rice,Common,FAQ,3500,3600,3550,02 Sep 2024
25,Bankura,Bankura Sadar,Rice,Common,FAQ,3500,3600,3550,07 Sep 2024
26,Bankura,Bankura Sadar,Rice,Common,FAQ,3500,3600,3550,09 Sep 2024
27,Bankura,Bankura Sadar,Rice,Common,FAQ,3500,3600,3550,12 Sep 2024
28,Bankura,Bankura Sadar,Rice,Common,FAQ,3550,3650,3600,17 Oct 2024
29,Bankura,Bankura Sadar,Rice,Common,FAQ,3550,3650,3600,21 Nov 2024
30,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3200,3400,3300,27 Aug 2024
31,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3250,3350,3300,09 Sep 2024
32,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3250,3350,3300,12 Sep 2024
33,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3300,3400,3350,11 Nov 2024
34,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3400,3600,3500,02 Dec 2024
35,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3400,3600,3500,27 Nov 2024
36,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4600,4700,4650,11 Jul 2024
37,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4600,4700,4650,31 Jul 2024
38,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4600,4800,4700,06 Aug 2024
39,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4600,4800,4700,06 Jul 2024
40,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4600,4800,4700,29 Sep 2024
41,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4650,4750,4700,10 Sep 2024
42,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4700,4800,4750,18 Sep 2024
43,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4700,4800,4750,21 Sep 2024
44,Sounth 24 Parganas,Baruipur(Canning),Rice,Super Fine,FAQ,4700,4800,4750,26 Jul 2024
