0,1,2,3,4,5,6,7,8,9
1,Alipurduar,Alipurduar,Rice,Common,FAQ,3400,3500,3450,04 Dec 2023
2,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2850,3250,3060,16 Nov 2023
3,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2850,3250,3060,27 Nov 2023
4,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2850,3280,3060,09 Dec 2023
5,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2860,3250,3050,20 Oct 2023
6,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2860,3250,3070,08 May 2024
7,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2860,3260,3050,13 Dec 2023
8,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2860,3270,3050,02 Apr 2024
9,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2860,3280,3050,01 Mar 2024
10,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2865,3270,3050,17 Jun 2024
11,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2865,3275,3050,21 May 2024
12,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2870,3250,3060,19 Mar 2024
13,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2900,3280,3060,19 Sep 2023
14,Puruliya,Balarampur,Rice,Other,FAQ,3500,3700,3600,10 Sep 2023
15,Puruliya,Balarampur,Rice,Other,FAQ,3500,3700,3600,18 Sep 2023
16,Puruliya,Balarampur,Rice,Other,FAQ,3500,3700,3600,21 Sep 2023
17,Puruliya,Balarampur,Rice,Other,FAQ,3700,3900,3800,06 Jan 2024
18,Puruliya,Balarampur,Rice,Other,FAQ,3800,4000,3900,02 Nov 2023
19,Puruliya,Balarampur,Rice,Other,FAQ,3800,4000,3900,05 Feb 2024
20,Puruliya,Balarampur,Rice,Other,FAQ,3800,4000,3900,17 Dec 2023
21,Puruliya,Balarampur,Rice,Other,FAQ,3800,4000,3900,17 Jan 2024
22,Puruliya,Balarampur,Rice,Other,FAQ,3800,4000,3900,17 Oct 2023
23,Puruliya,Balarampur,Rice,Other,FAQ,3800,4000,3900,28 Dec 2023
24,Puruliya,Balarampur,Rice,Other,FAQ,3800,4000,3900,29 Dec 2023
25,Puruliya,Balarampur,Rice,Other,FAQ,3800,4200,3900,02 Mar 2024
26,Puruliya,Balarampur,Rice,Other,FAQ,3900,4100,4000,02 Dec 2023
27,Puruliya,Balarampur,Rice,Other,FAQ,3900,4100,4000,04 Jan 2024
28,Puruliya,Balarampur,Rice,Other,FAQ,3900,4100,4000,11 Feb 2024
29,Puruliya,Balarampur,Rice,Other,FAQ,3900,4200,4000,10 Feb 2024
30,Puruliya,Balarampur,Rice,Other,FAQ,3900,4200,4000,17 Mar 2024
31,Puruliya,Balarampur,Rice,Other,FAQ,3900,4200,4000,26 Mar 2024
32,Puruliya,Balarampur,Rice,Other,FAQ,4000,4200,4100,06 May 2024
33,Puruliya,Balarampur,Rice,Other,FAQ,4000,4200,4100,25 May 2024
34,Puruliya,Balarampur,Rice,Other,FAQ,4020,4220,4130,20 May 2024
35,Puruliya,Balarampur,Rice,Other,FAQ,4200,4400,4300,02 Aug 2024
36,Puruliya,Balarampur,Rice,Other,FAQ,4200,4400,4300,08 Jun 2024
37,Puruliya,Balarampur,Rice,Other,FAQ,4200,4400,4300,15 Jul 2024
38,Bankura,Bankura Sadar,Rice,Common,FAQ,3200,3300,3250,01 Jun 2024
39,Bankura,Bankura Sadar,Rice,Common,FAQ,3250,3300,3270,03 Apr 2024
40,Bankura,Bankura Sadar,Rice,Common,FAQ,3250,3350,3300,12 Feb 2024
41,Bankura,Bankura Sadar,Rice,Common,FAQ,3250,3400,3300,21 Dec 2023
42,Bankura,Bankura Sadar,Rice,Common,FAQ,3300,3400,3350,06 Mar 2024
43,Bankura,Bankura Sadar,Rice,Common,FAQ,3300,3550,3500,03 Nov 2023
44,Bankura,Bankura Sadar,Rice,Common,FAQ,3350,3450,3400,27 Jul 2024
45,Bankura,Bankura Sadar,Rice,Common,FAQ,3350,3500,3400,26 Jul 2024
46,Bankura,Bankura Sadar,Rice,Common,FAQ,3400,3600,3500,10 Aug 2024
47,Bankura,Bankura Sadar,Rice,Common,FAQ,3450,3550,3500,12 Dec 2023
48,Bankura,Bankura Sadar,Rice,Common,FAQ,3500,3600,3550,20 Nov 2023
49,Bankura,Bankura Sadar,Rice,Common,FAQ,3550,3600,3580,14 Sep 2023
50,Bankura,Bankura Sadar,Rice,Common,FAQ,3550,3600,3580,29 Sep 2023
51,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,2900,3300,3100,01 Sep 2023
52,Sounth 24 Parganas,Baruipur(Canning),Rice,Common,FAQ,3000,3200,3100,10 Aug 2024
53,Alipurduar,Alipurduar,Rice,Common,FAQ,3400,3500,3450,04 Oct 2023
54,Alipurduar,Alipurduar,Rice,Common,FAQ,3500,3600,3550,11 Sep 2023
55,Alipurduar,Alipurduar,Rice,Fine,FAQ,3600,3800,3700,03 Oct 2023
56,Alipurduar,Alipurduar,Rice,Fine,FAQ,3600,3800,3700,11 Oct 2023
57,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2850,3250,3060,03 Dec 2023
58,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2850,3250,3060,27 Oct 2023
59,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2850,3260,2950,29 Oct 2023
60,Paschim Bardhaman,Asansol,Rice,Fine,FAQ,2850,3260,3050,30 Jan 2024
