0,1,2,3,4,5,6,7,8,9
1,Delhi,Najafgarh,Sugar,Chini,FAQ,3400,3400,3400,03 Oct 2024
2,Delhi,Najafgarh,Sugar,Chini,FAQ,3700,3800,3700,11 Jul 2024
3,Delhi,Najafgarh,Sugar,Chini,FAQ,3700,3800,3700,30 Aug 2024
4,Delhi,Najafgarh,Sugar,Chini,FAQ,3700,3800,3800,27 Oct 2024
5,Delhi,Najafgarh,Sugar,Chini,FAQ,3700,3800,3800,29 Sep 2024
6,Delhi,Najafgarh,Sugar,Chini,FAQ,3700,3810,3800,28 Jul 2024
7,Delhi,Najafgarh,Sugar,Chini,FAQ,3700,7300,3800,30 Nov 2024
8,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3820,3800,07 Sep 2024
9,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3900,3830,23 Nov 2024
10,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3910,3910,25 Oct 2024
11,Delhi,Najafgarh,Sugar,Chini,FAQ,3812,5334,4700,12 Aug 2024
12,Delhi,Najafgarh,Sugar,Chini,FAQ,3862,5333,4360,20 Sep 2024
13,Delhi,Najafgarh,Sugar,Chini,FAQ,3909,5334,4200,12 Jul 2024
14,Delhi,Najafgarh,Sugar,Chini,FAQ,4041,4041,4041,21 Sep 2024
15,Delhi,Najafgarh,Sugar,Chini,FAQ,4321,4321,4321,18 Jul 2024
16,Delhi,Najafgarh,Sugar,Chini,FAQ,4454,4454,4454,18 Nov 2024
17,Delhi,Najafgarh,Sugar,Other,FAQ,5200,16300,8700,20 Sep 2024
18,Delhi,Najafgarh,Sugar,Other,FAQ,8000,16500,11200,17 Nov 2024
19,Delhi,Najafgarh,Sugar,Shakkar,FAQ,4100,15300,8235,17 Nov 2024
20,Delhi,Najafgarh,Sugar,Shakkar,FAQ,4400,14400,6890,20 Sep 2024
21,Delhi,Narela,Sugar,Chini,FAQ,3945,3945,3945,15 Jul 2024
22,Delhi,Narela,Sugar,Chini,FAQ,4108,4108,4108,22 Aug 2024
23,Delhi,Narela,Sugar,Chini,FAQ,4140,4140,4140,20 Oct 2024
24,Delhi,Narela,Sugar,Chini,FAQ,4147,4147,4147,18 Nov 2024
25,Delhi,Narela,Sugar,Chini,FAQ,4151,4151,4151,16 Aug 2024
26,Delhi,Narela,Sugar,Chini,FAQ,4176.1,4176.1,4176.1,29 Sep 2024
