0,1,2,3,4,5,6,7,8,9
1,Delhi,Najafgarh,Sugar,Chini,FAQ,2540,2540,2540,12 May 2018
2,Delhi,Najafgarh,Sugar,Chini,FAQ,2540,2540,2540,18 May 2018
3,Delhi,Najafgarh,Sugar,Chini,FAQ,2570,2570,2570,14 May 2018
4,Delhi,Najafgarh,Sugar,Chini,FAQ,2570,2570,2570,20 May 2018
5,Delhi,Najafgarh,Sugar,Chini,FAQ,2600,2600,2600,24 May 2018
6,Delhi,Najafgarh,Sugar,Chini,FAQ,2650,2780,2715,01 Jun 2018
7,Delhi,Najafgarh,Sugar,Chini,FAQ,2670,2670,2670,21 May 2018
8,Delhi,Najafgarh,Sugar,Chini,FAQ,2680,3000,2840,04 Jun 2018
9,Delhi,Najafgarh,Sugar,Chini,FAQ,2700,2700,2700,08 May 2018
10,Delhi,Najafgarh,Sugar,Chini,FAQ,2720,2720,2720,05 May 2018
11,Delhi,Najafgarh,Sugar,Chini,FAQ,2720,2720,2720,26 Apr 2018
12,Delhi,Najafgarh,Sugar,Chini,FAQ,2750,2750,2750,26 May 2018
13,Delhi,Najafgarh,Sugar,Chini,FAQ,2760,2760,2760,31 May 2018
14,Delhi,Najafgarh,Sugar,Chini,FAQ,2770,2770,2770,27 Apr 2018
15,Delhi,Najafgarh,Sugar,Chini,FAQ,2770,2770,2770,29 Apr 2018
16,Delhi,Najafgarh,Sugar,Chini,FAQ,2900,2900,2900,29 Mar 2018
17,Delhi,Najafgarh,Sugar,Chini,FAQ,2970,2970,2970,03 May 2018
18,Delhi,Najafgarh,Sugar,Chini,FAQ,2985,3010,2997,05 Jun 2018
19,Delhi,Najafgarh,Sugar,Chini,FAQ,3000,3000,3000,08 Jun 2018
20,Delhi,Najafgarh,Sugar,Chini,FAQ,3000,3000,3000,09 Jun 2018
21,Delhi,Najafgarh,Sugar,Chini,FAQ,3000,3000,3000,10 Jun 2018
22,Delhi,Najafgarh,Sugar,Chini,FAQ,3000,3000,3000,12 Jun 2018
23,Delhi,Najafgarh,Sugar,Chini,FAQ,3000,3000,3000,16 Jun 2018
24,Delhi,Najafgarh,Sugar,Chini,FAQ,3000,3000,3000,19 Jul 2018
25,Delhi,Najafgarh,Sugar,Chini,FAQ,3000,3000,3000,26 Mar 2018
26,Delhi,Najafgarh,Sugar,Chini,FAQ,3079,3079,3079,16 Apr 2018
27,Delhi,Najafgarh,Sugar,Chini,FAQ,3100,3100,3100,03 Aug 2018
28,Delhi,Najafgarh,Sugar,Chini,FAQ,3100,3100,3100,16 Mar 2018
29,Delhi,Najafgarh,Sugar,Chini,FAQ,3100,3100,3100,28 Jan 2018
30,Delhi,Najafgarh,Sugar,Chini,FAQ,3100,3100,3100,30 Aug 2018
31,Delhi,Najafgarh,Sugar,Chini,FAQ,3150,3150,3150,23 Aug 2018
32,Delhi,Najafgarh,Sugar,Chini,FAQ,3150,3150,3150,27 Jul 2018
33,Delhi,Najafgarh,Sugar,Chini,FAQ,3200,3200,3200,21 Jul 2018
34,Delhi,Najafgarh,Sugar,Chini,FAQ,3200,3200,3200,26 Feb 2018
35,Delhi,Najafgarh,Sugar,Chini,FAQ,3200,3200,3200,27 Feb 2018
36,Delhi,Najafgarh,Sugar,Chini,FAQ,3250,3250,3250,14 Jan 2018
37,Delhi,Najafgarh,Sugar,Chini,FAQ,3250,3350,3300,16 Jul 2018
38,Delhi,Najafgarh,Sugar,Chini,FAQ,3300,3300,3300,02 Aug 2018
39,Delhi,Najafgarh,Sugar,Chini,FAQ,3300,3300,3300,09 Feb 2018
40,Delhi,Najafgarh,Sugar,Chini,FAQ,3300,3300,3300,17 Jul 2018
41,Delhi,Najafgarh,Sugar,Chini,FAQ,3300,3300,3300,20 Mar 2018
42,Delhi,Najafgarh,Sugar,Chini,FAQ,3300,3300,3300,23 Jul 2018
43,Delhi,Najafgarh,Sugar,Chini,FAQ,3300,3300,3300,24 Jul 2018
44,Delhi,Najafgarh,Sugar,Chini,FAQ,3300,3300,3300,29 Jan 2018
45,Delhi,Najafgarh,Sugar,Chini,FAQ,3300,3300,3300,30 Jul 2018
46,Delhi,Najafgarh,Sugar,Chini,FAQ,3400,3400,3400,09 Jan 2018
47,Delhi,Najafgarh,Sugar,Chini,FAQ,3400,3400,3400,11 Jan 2018
48,Delhi,Najafgarh,Sugar,Chini,FAQ,3400,3400,3400,12 Dec 2017
49,Delhi,Najafgarh,Sugar,Chini,FAQ,3400,3400,3400,30 Dec 2017
50,Delhi,Najafgarh,Sugar,Chini,FAQ,3500,3500,3500,15 Feb 2018
51,Delhi,Najafgarh,Sugar,Chini,FAQ,3500,3500,3500,25 Feb 2018
52,Delhi,Najafgarh,Sugar,Chini,FAQ,3500,3500,3500,27 Mar 2018
53,Delhi,Najafgarh,Sugar,Chini,FAQ,3500,3500,3500,28 Nov 2017
54,Delhi,Najafgarh,Sugar,Chini,FAQ,3600,3600,3600,27 Nov 2017
55,Delhi,Najafgarh,Sugar,Chini,FAQ,3600,3600,3600,30 Nov 2017
56,Delhi,Najafgarh,Sugar,Chini,FAQ,3700,3700,3700,16 Sep 2017
57,Delhi,Najafgarh,Sugar,Chini,FAQ,3750,3750,3750,23 Nov 2017
58,Delhi,Najafgarh,Sugar,Chini,FAQ,3750,3750,3750,29 Sep 2017
59,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3800,3800,08 Oct 2017
60,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3800,3800,12 Sep 2017
61,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3800,3800,18 Nov 2017
62,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3800,3800,19 Sep 2017
63,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3800,3800,25 Sep 2017
64,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3800,3800,26 Oct 2017
65,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3800,3800,27 Oct 2017
66,Delhi,Najafgarh,Sugar,Chini,FAQ,3800,3800,3800,29 Oct 2017
67,Delhi,Najafgarh,Sugar,Other,FAQ,2800,2800,2800,23 Mar 2018
68,Delhi,Najafgarh,Sugar,Shakkar,FAQ,2610,2610,2610,06 May 2018
69,Delhi,Narela,Sugar,Chini,FAQ,2723,2723,2723,17 May 2018
70,Delhi,Narela,Sugar,Chini,FAQ,2771,2771,2771,25 May 2018
71,Delhi,Narela,Sugar,Chini,FAQ,2844,2844,2844,19 May 2018
72,Delhi,Narela,Sugar,Chini,FAQ,2878,2878,2878,13 May 2018
73,Delhi,Narela,Sugar,Chini,FAQ,2889,2889,2889,28 Apr 2018
74,Delhi,Narela,Sugar,Chini,FAQ,2899,2899,2899,03 May 2018
75,Delhi,Narela,Sugar,Chini,FAQ,2899,2899,2899,07 May 2018
76,Delhi,Narela,Sugar,Chini,FAQ,3000,3000,3000,07 Dec 2017
77,Delhi,Narela,Sugar,Chini,FAQ,3047,3047,3047,12 Apr 2018
78,Delhi,Narela,Sugar,Chini,FAQ,3153,3153,3153,01 Jun 2018
79,Delhi,Narela,Sugar,Chini,FAQ,3227,3332,3332,29 Jun 2018
80,Delhi,Narela,Sugar,Chini,FAQ,3246,3246,3246,30 Mar 2018
81,Delhi,Narela,Sugar,Chini,FAQ,3259,3259,3259,02 Jul 2018
82,Delhi,Narela,Sugar,Chini,FAQ,3332,3332,3332,24 Aug 2018
83,Delhi,Narela,Sugar,Chini,FAQ,3340,3340,3340,15 Mar 2018
84,Delhi,Narela,Sugar,Chini,FAQ,3371,3473,3473,23 Aug 2018
85,Delhi,Narela,Sugar,Chini,FAQ,3377,3377,3377,08 Feb 2018
86,Delhi,Narela,Sugar,Chini,FAQ,3384,3445,3445,05 Jul 2018
87,Delhi,Narela,Sugar,Chini,FAQ,3392,3392,3392,27 Feb 2018
88,Delhi,Narela,Sugar,Chini,FAQ,3392,3508,3508,20 Aug 2018
89,Delhi,Narela,Sugar,Chini,FAQ,3403,3403,3403,17 Jun 2018
90,Delhi,Narela,Sugar,Chini,FAQ,3404,3404,3404,30 Aug 2018
91,Delhi,Narela,Sugar,Chini,FAQ,3412,3412,3412,14 Jun 2018
92,Delhi,Narela,Sugar,Chini,FAQ,3413,3413,3413,18 Aug 2018
93,Delhi,Narela,Sugar,Chini,FAQ,3422,3422,3422,12 Jul 2018
94,Delhi,Narela,Sugar,Chini,FAQ,3425,3425,3425,12 Jun 2018
95,Delhi,Narela,Sugar,Chini,FAQ,3427,3488,3427,02 Aug 2018
96,Delhi,Narela,Sugar,Chini,FAQ,3433,3433,3433,14 Aug 2018
97,Delhi,Narela,Sugar,Chini,FAQ,3445,3445,3445,25 Jan 2018
98,Delhi,Narela,Sugar,Chini,FAQ,3486,3486,3486,10 Jul 2018
99,Delhi,Narela,Sugar,Chini,FAQ,3488,3488,3488,04 Aug 2018
100,Delhi,Narela,Sugar,Chini,FAQ,3492,3492,3492,16 Jul 2018
101,Delhi,Narela,Sugar,Chini,FAQ,3494,3494,3494,17 Aug 2018
102,Delhi,Narela,Sugar,Chini,FAQ,3505,3505,3505,19 Jul 2018
103,Delhi,Narela,Sugar,Chini,FAQ,3508,3508,3508,12 Aug 2018
104,Delhi,Narela,Sugar,Chini,FAQ,3530,3530,3530,22 Jun 2018
105,Delhi,Narela,Sugar,Chini,FAQ,3530,3530,3530,23 Jul 2018
106,Delhi,Narela,Sugar,Chini,FAQ,3593,3593,3593,28 Jul 2018
107,Delhi,Narela,Sugar,Chini,FAQ,3598,3598,3598,20 Jul 2018
108,Delhi,Narela,Sugar,Chini,FAQ,3613,3613,3613,09 Jan 2018
109,Delhi,Narela,Sugar,Chini,FAQ,3645,3645,3645,21 Dec 2017
110,Delhi,Narela,Sugar,Chini,FAQ,3668,3668,3668,30 Jul 2018
111,Delhi,Narela,Sugar,Chini,FAQ,3855,3855,3855,05 Nov 2017
112,Delhi,Narela,Sugar,Chini,FAQ,3918,3918,3918,23 Nov 2017
113,Delhi,Narela,Sugar,Chini,FAQ,3962,3962,3962,05 Oct 2017
114,Delhi,Narela,Sugar,Chini,FAQ,3966,3966,3966,19 Sep 2017
115,Delhi,Narela,Sugar,Chini,FAQ,3982,3982,3982,28 Sep 2017
116,Delhi,Narela,Sugar,Chini,FAQ,3987,3987,3987,04 Sep 2017
117,Delhi,Narela,Sugar,Chini,FAQ,3989,3989,3989,03 Oct 2017
118,Delhi,Narela,Sugar,Chini,FAQ,4018,4018,4018,17 Oct 2017
119,Delhi,Narela,Sugar,Chini,FAQ,4021,4021,4021,26 Oct 2017
120,Delhi,Narela,Sugar,Chini,FAQ,4029,4029,4029,21 Oct 2017
121,Delhi,Narela,Sugar,Chini,FAQ,4033,4033,4033,12 Oct 2017
