0,1,2,3,4,5,6,7,8,9
1,Alappuzha,Cherthala,Sugar,Other,FAQ,2800,2900,2850,16 Dec 2014
2,Alappuzha,Cherthala,Sugar,Other,FAQ,2850,3100,2900,27 Oct 2014
3,Alappuzha,Cherthala,Sugar,Other,FAQ,2850,3200,3000,25 Oct 2014
4,Alappuzha,Cherthala,Sugar,Other,FAQ,2850,3200,3000,28 Oct 2014
5,Alappuzha,Cherthala,Sugar,Other,FAQ,2950,3000,3000,15 Dec 2014
6,Alappuzha,Cherthala,Sugar,Other,FAQ,2950,3100,3000,24 Jan 2015
7,Alappuzha,Cherthala,Sugar,Other,FAQ,2950,3200,3100,30 Dec 2014
8,Alappuzha,Cherthala,Sugar,Other,FAQ,3000,3150,3100,17 Jan 2015
9,Alappuzha,Cherthala,Sugar,Other,FAQ,3000,3150,3100,19 Jan 2015
10,Alappuzha,Cherthala,Sugar,Other,FAQ,3000,3200,3150,22 Dec 2014
11,Alappuzha,Cherthala,Sugar,Other,FAQ,3000,3250,3100,01 Oct 2014
12,Alappuzha,Cherthala,Sugar,Other,FAQ,3000,3300,3200,19 Sep 2014
13,Alappuzha,Cherthala,Sugar,Other,FAQ,3050,3100,3075,23 Mar 2015
14,Alappuzha,Cherthala,Sugar,Other,FAQ,3050,3200,3100,16 Feb 2015
15,Alappuzha,Cherthala,Sugar,Other,FAQ,3050,3200,3100,21 Jan 2015
16,Alappuzha,Cherthala,Sugar,Other,FAQ,3050,3200,3100,29 Jan 2015
17,Alappuzha,Cherthala,Sugar,Other,FAQ,3050,3200,3100,31 Jan 2015
18,Alappuzha,Cherthala,Sugar,Other,FAQ,3050,3250,3100,08 Oct 2014
19,Alappuzha,Cherthala,Sugar,Other,FAQ,3050,3400,3200,18 Oct 2014
20,Alappuzha,Cherthala,Sugar,Other,FAQ,3100,3200,3150,15 Jan 2015
21,Alappuzha,Cherthala,Sugar,Other,FAQ,3100,3200,3150,17 Dec 2014
22,Alappuzha,Cherthala,Sugar,Other,FAQ,3100,3200,3150,20 Dec 2014
23,Alappuzha,Cherthala,Sugar,Other,FAQ,3100,3200,3150,29 Dec 2014
24,Alappuzha,Cherthala,Sugar,Other,FAQ,3100,3300,3250,20 Sep 2014
25,Alappuzha,Cherthala,Sugar,Other,FAQ,3100,3400,3250,22 Oct 2014
26,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3250,3200,04 Dec 2014
27,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3250,3200,05 Nov 2014
28,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3250,3200,10 Nov 2014
29,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3250,3200,14 Jan 2015
30,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3250,3200,21 Nov 2014
31,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3250,3200,23 Dec 2014
32,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3250,3200,27 Nov 2014
33,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3250,3200,31 Oct 2014
34,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3300,3200,01 Nov 2014
35,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3300,3200,06 Nov 2014
36,Alappuzha,Cherthala,Sugar,Other,FAQ,3150,3300,3200,16 Jan 2015
37,Alappuzha,Cherthala,Sugar,Other,FAQ,3200,3250,3250,08 Dec 2014
38,Alappuzha,Cherthala,Sugar,Other,FAQ,3200,3275,3250,02 Dec 2014
39,Alappuzha,Cherthala,Sugar,Other,FAQ,3200,3300,3250,07 Nov 2014
40,Alappuzha,Cherthala,Sugar,Other,FAQ,3200,3300,3250,12 Dec 2014
