0,1,2,3,4,5,6,7,8,9
1,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3500,3700,3600,22 Dec 2021
2,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3500,3800,3675,14 Dec 2021
3,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3500,3850,3675,09 Dec 2021
4,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3500,3850,3675,13 Dec 2021
5,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3600,3850,3725,10 Dec 2021
6,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3600,3900,3750,28 Feb 2022
7,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3650,3900,3775,21 Feb 2022
8,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3650,3900,3775,22 Feb 2022
9,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3650,3900,3775,23 Feb 2022
10,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,07 Feb 2022
11,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3750,3900,3825,04 Feb 2022
12,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3750,3900,3825,15 Feb 2022
13,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3761,4200,3981,21 Dec 2021
14,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,5200,6500,5850,25 Feb 2022
15,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,1450,1650,1550,20 Sep 2021
16,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,01 Apr 2022
17,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,01 Dec 2021
18,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,01 Feb 2022
19,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,01 Mar 2022
20,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,01 Sep 2021
21,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,02 Dec 2021
22,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,02 Feb 2022
23,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,02 Mar 2022
24,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,03 Jan 2022
25,Udaipur,Udaipur (Grain),Sugar,Other,FAQ,3700,3900,3800,04 Apr 2022
