0,1,2,3,4,5,6,7,8,9
1,Baghpat,Baraut,Sugar,Medium,FAQ,4040,4060,4050,20 Jul 2024
2,Baghpat,Baraut,Sugar,Medium,FAQ,4050,4100,4080,03 Aug 2024
3,Baghpat,Baraut,Sugar,Medium,FAQ,4050,4100,4100,02 Aug 2024
4,Baghpat,Baraut,Sugar,Medium,FAQ,4060,4060,4060,22 Jul 2024
5,Baghpat,Baraut,Sugar,Medium,FAQ,4060,4070,4060,23 Jul 2024
6,Baghpat,Baraut,Sugar,Medium,FAQ,4060,4080,4070,19 Jul 2024
7,Baghpat,Baraut,Sugar,Medium,FAQ,4060,4080,4070,27 Jul 2024
8,Baghpat,Baraut,Sugar,Medium,FAQ,4070,4070,4070,29 Jul 2024
9,Baghpat,Baraut,Sugar,Medium,FAQ,4070,4080,4070,25 Jul 2024
10,Baghpat,Baraut,Sugar,Medium,FAQ,4070,4080,4070,26 Jul 2024
11,Baghpat,Baraut,Sugar,Medium,FAQ,4070,4080,4080,05 Aug 2024
12,Baghpat,Baraut,Sugar,Medium,FAQ,4070,4080,4080,31 Jul 2024
13,Baghpat,Baraut,Sugar,Medium,FAQ,4070,4100,4080,30 Jul 2024
14,Baghpat,Baraut,Sugar,Medium,FAQ,4080,4100,4090,06 Aug 2024
15,Baghpat,Baraut,Sugar,Medium,FAQ,4080,4100,4090,24 Jul 2024
16,Baghpat,Baraut,Sugar,Medium,FAQ,4090,4100,4090,18 Jul 2024
17,Baghpat,Baraut,Sugar,Medium,FAQ,4090,4100,4100,07 Aug 2024
18,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4100,4100,08 Aug 2024
19,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4120,4120,06 Sep 2024
20,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4120,4120,27 Nov 2024
21,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4125,4125,01 Aug 2024
22,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4130,4130,09 Jul 2024
23,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4130,4130,11 Jul 2024
24,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4140,4130,10 Jul 2024
25,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4150,4140,05 Jul 2024
26,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4150,4150,06 Jul 2024
27,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4150,4150,12 Jul 2024
28,Baghpat,Baraut,Sugar,Medium,FAQ,4100,4150,4150,13 Jul 2024
29,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4120,4120,01 Oct 2024
30,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4120,4120,02 Oct 2024
31,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4120,4120,03 Sep 2024
32,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4120,4120,04 Sep 2024
33,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4120,4120,05 Sep 2024
34,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4120,4120,07 Sep 2024
35,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4120,4120,25 Nov 2024
36,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4130,4120,02 Dec 2024
37,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4130,4130,02 Sep 2024
38,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4130,4130,29 Aug 2024
39,Baghpat,Baraut,Sugar,Medium,FAQ,4120,4150,4150,15 Jul 2024
40,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,03 Dec 2024
41,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,03 Oct 2024
42,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,13 Sep 2024
43,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,14 Sep 2024
44,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,25 Sep 2024
45,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,26 Nov 2024
46,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,26 Sep 2024
47,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,28 Nov 2024
48,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,29 Nov 2024
49,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,30 Nov 2024
50,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4130,4130,30 Sep 2024
51,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4150,4150,08 Jul 2024
52,Baghpat,Baraut,Sugar,Medium,FAQ,4130,4150,4150,17 Jul 2024
53,Baghpat,Baraut,Sugar,Medium,FAQ,4135,4135,4135,24 Sep 2024
54,Baghpat,Baraut,Sugar,Medium,FAQ,4135,4150,4135,17 Sep 2024
55,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4140,4140,18 Sep 2024
56,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4140,4140,19 Sep 2024
57,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4140,4140,20 Aug 2024
58,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4140,4140,21 Nov 2024
59,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4140,4140,22 Nov 2024
60,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4140,4140,23 Nov 2024
61,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4140,4140,28 Sep 2024
62,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4150,4140,12 Sep 2024
63,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4150,4140,27 Sep 2024
64,Baghpat,Baraut,Sugar,Medium,FAQ,4140,4150,4150,21 Aug 2024
65,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,04 Nov 2024
66,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,04 Oct 2024
67,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,05 Oct 2024
68,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,06 Nov 2024
69,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,07 Oct 2024
70,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,08 Oct 2024
71,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,09 Aug 2024
72,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,09 Oct 2024
73,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,09 Sep 2024
74,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,10 Aug 2024
75,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,10 Oct 2024
76,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,10 Sep 2024
77,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,11 Nov 2024
78,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,11 Oct 2024
79,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,11 Sep 2024
80,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,12 Aug 2024
81,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,12 Nov 2024
82,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,12 Oct 2024
83,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,13 Aug 2024
84,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,14 Aug 2024
85,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,14 Nov 2024
86,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,14 Oct 2024
87,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,15 Aug 2024
88,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,15 Nov 2024
89,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,16 Aug 2024
90,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,16 Jul 2024
91,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,16 Nov 2024
92,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,16 Oct 2024
93,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,17 Aug 2024
94,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,17 Oct 2024
95,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,18 Nov 2024
96,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,18 Oct 2024
97,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,19 Aug 2024
98,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,19 Nov 2024
99,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,19 Oct 2024
100,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,20 Nov 2024
101,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,20 Sep 2024
102,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,21 Oct 2024
103,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,21 Sep 2024
104,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,22 Aug 2024
105,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,22 Oct 2024
106,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,23 Aug 2024
107,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,23 Oct 2024
108,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,23 Sep 2024
109,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,24 Aug 2024
110,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,24 Oct 2024
111,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,26 Aug 2024
112,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,27 Aug 2024
113,Baghpat,Baraut,Sugar,Medium,FAQ,4150,4150,4150,28 Aug 2024
