0,1,2,3,4,5,6,7,8,9
1,Birbhum,Birbhum,Sugar,Medium,FAQ,4000,4200,4100,12 Sep 2022
2,Birbhum,Birbhum,Sugar,Medium,FAQ,4000,4250,4200,19 Oct 2022
3,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,01 Aug 2023
4,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,02 Aug 2023
5,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,02 Sep 2022
6,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,06 Aug 2023
7,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,07 Aug 2023
8,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,08 Aug 2023
9,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,10 Aug 2023
10,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,16 Sep 2022
11,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,18 Jul 2023
12,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,19 Jul 2023
13,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,20 Jul 2023
14,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,21 Jul 2023
15,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,26 Jul 2023
16,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,27 Jul 2023
17,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,28 Jul 2023
18,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,29 Jul 2023
19,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4150,31 Jul 2023
20,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4200,4160,25 Jul 2023
21,Birbhum,Birbhum,Sugar,Medium,FAQ,4100,4300,4150,15 Sep 2022
22,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4230,03 Oct 2022
23,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4230,07 Nov 2022
24,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4230,15 Nov 2022
25,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,01 Dec 2022
26,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,01 Feb 2023
27,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,01 Jan 2023
28,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,01 Jun 2023
29,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,01 Mar 2023
30,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,01 May 2023
31,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,01 Nov 2022
32,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,01 Oct 2022
33,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,01 Sep 2023
34,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,02 Apr 2023
35,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,02 Dec 2022
36,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,02 Feb 2023
37,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,02 Jan 2023
38,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,02 Jul 2023
39,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,02 Jun 2023
40,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,02 May 2023
41,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,02 Nov 2022
42,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,03 Apr 2023
43,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,03 Aug 2023
44,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,03 Dec 2022
45,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,03 Feb 2023
46,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,03 Jan 2023
47,Birbhum,Birbhum,Sugar,Medium,FAQ,4200,4300,4250,03 Jul 2023
