0,1,2,3,4,5,6,7,8,9
1,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3180,4100,3640,02 Dec 2024
2,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3190,3900,3545,26 Nov 2024
3,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3200,4000,3600,25 Nov 2024
4,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3220,4070,3645,23 Nov 2024
5,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3230,3950,3590,30 Nov 2024
6,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3280,3880,3580,29 Nov 2024
7,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3380,3800,3590,28 Nov 2024
8,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3420,3730,3575,22 Nov 2024
9,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3440,4250,3845,18 Nov 2024
10,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3450,4000,3725,20 Nov 2024
11,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3480,4150,3815,27 Nov 2024
12,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3490,4000,3745,21 Nov 2024
13,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3500,4150,3825,13 Nov 2024
14,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3500,4300,3900,19 Nov 2024
15,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3530,4450,3990,03 Dec 2024
16,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3620,4670,4145,06 Nov 2024
17,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3640,4310,3975,14 Nov 2024
18,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3640,4350,3995,15 Nov 2024
19,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3660,4400,4030,12 Nov 2024
20,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3660,4600,4130,28 Oct 2024
21,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3660,4830,4245,04 Nov 2024
22,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3660,5050,4355,29 Oct 2024
23,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3780,4450,4115,11 Nov 2024
24,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3880,4450,4165,09 Nov 2024
25,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3900,4580,4240,07 Nov 2024
26,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3900,4580,4240,26 Oct 2024
27,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3900,4890,4395,25 Oct 2024
28,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3940,4360,4150,08 Nov 2024
29,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3940,4900,4420,02 Nov 2024
30,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4000,4980,4490,25 Sep 2024
31,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4000,5250,4625,30 Oct 2024
32,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4000,5280,4640,11 Oct 2024
33,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4010,5000,4505,01 Nov 2024
34,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4080,4940,4510,04 Sep 2024
35,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4100,4200,4150,05 Sep 2024
36,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4110,5100,4605,20 Aug 2024
37,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4120,5300,4710,16 Oct 2024
38,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4130,5230,4680,24 Oct 2024
39,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4160,4800,4480,21 Sep 2024
40,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4160,4950,4555,24 Sep 2024
41,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4200,4800,4500,28 Aug 2024
42,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4200,4900,4550,12 Aug 2024
43,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4200,5080,4640,16 Sep 2024
44,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4300,4970,4635,20 Sep 2024
45,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4310,5400,4855,18 Oct 2024
46,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4350,4950,4650,27 Aug 2024
47,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4380,4700,4540,29 Aug 2024
48,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4390,4980,4685,26 Sep 2024
49,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4400,4930,4665,27 Sep 2024
50,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4400,5000,4700,23 Aug 2024
51,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4400,5100,4750,18 Sep 2024
52,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4400,5290,4845,14 Oct 2024
53,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4410,4660,4535,09 Jul 2024
54,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4430,5350,4890,01 Oct 2024
55,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4480,5130,4805,03 Oct 2024
56,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4500,4640,4570,16 Aug 2024
57,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4500,4800,4650,06 Sep 2024
58,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4500,4950,4725,19 Sep 2024
59,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4500,5100,4800,08 Oct 2024
60,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4500,5160,4830,23 Sep 2024
61,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4500,5490,4995,19 Oct 2024
62,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4540,4540,4540,10 Sep 2024
63,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4540,5200,4870,14 Sep 2024
64,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4550,5100,4825,21 Aug 2024
65,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4550,5260,4905,07 Oct 2024
66,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4560,5150,4855,16 Jul 2024
67,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4560,5260,4910,17 Oct 2024
68,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4570,4900,4735,10 Aug 2024
69,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4580,4580,4580,15 Jul 2024
70,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4580,5680,5130,22 Oct 2024
71,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4590,4990,4790,24 Aug 2024
72,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4600,4600,4600,03 Sep 2024
73,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4600,4940,4770,22 Aug 2024
74,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4600,5370,4985,10 Oct 2024
75,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4600,5560,5080,09 Oct 2024
76,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4610,4610,4610,12 Sep 2024
