0,1,2,3,4,5,6,7,8,9
1,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2730,2975,2853,24 Apr 2015
2,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2800,3000,2900,09 Sep 2014
3,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2800,3115,2975,14 May 2015
4,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2810,3160,2985,08 Aug 2015
5,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2820,3130,2975,13 May 2015
6,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2900,3000,2950,27 Jun 2015
7,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,3030,3320,3175,08 Jun 2015
8,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,3100,3300,3200,13 Jun 2015
9,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,Medium,2460,2780,2620,14 Jul 2015
10,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,Medium,2589,2909,2749,05 Jun 2015
11,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,Medium,2600,2799,2700,09 Sep 2014
12,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,Medium,2660,2719,2690,27 Aug 2015
13,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,Medium,2660,2809,2735,13 Sep 2014
14,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,Medium,2820,3079,2950,15 May 2015
15,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,Medium,2900,2960,2930,30 Sep 2014
16,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,Medium,2300,2529,2415,06 Jul 2015
17,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,Medium,2300,2670,2485,30 Jun 2015
18,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,Medium,2310,2429,2370,11 Jul 2015
19,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,Medium,2340,2459,2400,14 Jul 2015
20,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,Medium,2340,2689,2515,29 Jun 2015
21,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,Medium,2430,2450,2440,18 Sep 2014
22,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,Medium,2750,2949,2850,11 Jun 2015
23,Vijayanagaram,Bobbili,Gur(Jaggery),Other,Medium,2100,2200,2100,09 Apr 2015
24,Vijayanagaram,Bobbili,Gur(Jaggery),Other,Medium,2200,2200,2200,02 May 2015
25,Vijayanagaram,Bobbili,Gur(Jaggery),Other,Medium,2200,2200,2200,19 May 2015
26,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2000,2000,2000,07 May 2015
27,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2000,2000,2000,13 May 2015
28,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2000,2000,2000,14 May 2015
29,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2000,2000,2000,15 Apr 2015
30,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2000,2000,2000,16 Apr 2015
31,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2000,2000,2000,23 May 2015
32,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2000,2000,2000,24 Jul 2015
33,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2000,2500,2000,07 Apr 2015
34,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2000,2500,2000,08 Apr 2015
35,Chittor,Chittoor,Gur(Jaggery),NO 3,Medium,2500,2500,2500,25 May 2015
36,Vijayanagaram,Gajapathinagaram,Gur(Jaggery),Achhu,Medium,2400,2600,2500,23 May 2015
37,Vijayanagaram,Gajapathinagaram,Gur(Jaggery),Achhu,Medium,2500,2700,2600,19 Jun 2015
38,Chittor,Pakala,Gur(Jaggery),Black,Medium,2000,2000,2000,03 Aug 2015
39,Chittor,Pakala,Gur(Jaggery),NO 3,Medium,2000,2000,2000,02 Jun 2015
40,Chittor,Pakala,Gur(Jaggery),NO 3,Medium,2000,2000,2000,13 Aug 2015
41,Chittor,Pakala,Gur(Jaggery),NO 3,Medium,2000,2000,2000,19 Jun 2015
42,Chittor,Pakala,Gur(Jaggery),NO 3,Medium,2000,2000,2000,30 Jun 2015
43,Chittor,Pakala,Gur(Jaggery),NO 3,Medium,2000,2000,2000,30 May 2015
44,East Godavari,Prattipadu,Gur(Jaggery),Achhu,Medium,2800,3300,3000,31 Oct 2014
45,East Godavari,Prattipadu,Gur(Jaggery),Achhu,Medium,3100,3500,3300,28 Sep 2014
46,East Godavari,Prattipadu,Gur(Jaggery),Achhu,Medium,3200,3600,3400,17 Sep 2014
47,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,01 Aug 2015
48,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,09 Apr 2015
49,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,09 Oct 2014
50,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,10 Aug 2015
51,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,14 Nov 2014
52,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,14 Sep 2014
53,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,22 May 2015
54,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,27 Jul 2015
55,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,28 Jun 2015
56,Chittor,Puttur,Gur(Jaggery),NO 3,Medium,1500,2000,2000,29 Nov 2014
57,Chittor,Vepanjari,Gur(Jaggery),NO 3,Medium,2000,2000,2000,02 Jun 2015
58,Chittor,Vepanjari,Gur(Jaggery),NO 3,Medium,2000,2000,2000,19 Jun 2015
59,Chittor,Vepanjari,Gur(Jaggery),NO 3,Medium,2000,2000,2000,24 Apr 2015
60,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2670,2980,2825,18 Apr 2015
61,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2720,3130,2925,30 Apr 2015
62,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2790,2900,2845,31 Aug 2015
63,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2800,3020,2910,27 Apr 2015
64,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,Medium,2980,3000,2990,05 Aug 2015
