0,1,2,3,4,5,6,7,8,9
1,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,1900,2100,2100,27 Oct 2014
2,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2600,2800,2800,06 Mar 2015
3,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2600,2800,2800,15 Mar 2015
4,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2600,2800,2800,22 Mar 2015
5,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,03 May 2015
6,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,06 Jun 2015
7,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,08 May 2015
8,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,11 Apr 2015
9,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,11 Jun 2015
10,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,19 Apr 2015
11,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,20 Jun 2015
12,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,23 May 2015
13,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,25 Apr 2015
14,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,29 May 2015
15,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,2900,2900,30 Mar 2015
16,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2700,3000,3000,02 Jan 2015
17,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3000,3000,02 Mar 2015
18,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3000,3000,05 Apr 2015
19,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3000,3000,15 May 2015
20,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3000,3000,20 Dec 2014
21,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3000,3000,21 Feb 2015
22,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3000,3000,26 Dec 2014
23,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3000,3000,28 Jan 2015
24,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3100,3100,01 Dec 2014
25,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3100,3100,07 Dec 2014
26,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3100,3100,16 Nov 2014
27,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3100,3100,24 Nov 2014
28,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3150,3000,07 Nov 2014
29,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3150,3150,12 Nov 2014
30,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2800,3200,3200,25 Feb 2015
31,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2850,3150,3150,08 Jan 2015
32,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2900,3100,3100,14 Feb 2015
33,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2950,3150,3000,03 Nov 2014
34,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,2950,3150,3150,31 Oct 2014
35,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,3000,3200,3200,02 Feb 2015
36,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,3000,3200,3200,06 Feb 2015
37,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,3000,3200,3200,14 Jan 2015
38,Bokaro,Bermo,Gur(Jaggery),Other,FAQ,3000,3200,3200,20 Oct 2014
