0,1,2,3,4,5,6,7,8,9
1,Ahmednagar,Ahmednagar,Gur(Jaggery),Other,FAQ,3300,5000,4150,06 Apr 2024
2,Ahmednagar,Ahmednagar,Gur(Jaggery),Other,FAQ,3400,4200,3800,21 Feb 2024
3,Ahmednagar,Ahmednagar,Gur(Jaggery),Other,FAQ,3500,4400,3950,27 Jan 2024
4,Ahmednagar,Ahmednagar,Gur(Jaggery),Other,FAQ,3500,4500,4000,31 Jan 2024
5,Ahmednagar,Ahmednagar,Gur(Jaggery),Other,FAQ,3600,4400,4000,01 Jun 2024
6,Ahmednagar,Ahmednagar,Gur(Jaggery),Other,FAQ,4200,5500,4850,08 Jul 2024
7,Ahmednagar,Ahmednagar,Gur(Jaggery),Other,FAQ,4700,5300,5000,09 Aug 2024
8,Pune,Baramati,Gur(Jaggery),Other,FAQ,3400,3900,3550,07 Sep 2023
9,Pune,Baramati,Gur(Jaggery),Other,FAQ,3500,4011,3900,15 Nov 2023
10,Pune,Baramati,Gur(Jaggery),Other,FAQ,3550,3950,3900,20 Jul 2024
11,Pune,Baramati,Gur(Jaggery),Other,FAQ,3700,3900,3850,25 Jan 2024
12,Jalana,Jalana,Gur(Jaggery),Red,FAQ,3200,3440,3397,20 Mar 2024
13,Jalana,Jalana,Gur(Jaggery),Red,FAQ,3300,3351,3300,06 May 2024
14,Jalana,Jalana,Gur(Jaggery),Yellow,FAQ,3000,3853,3450,15 Mar 2024
15,Jalana,Jalana,Gur(Jaggery),Yellow,FAQ,3400,3700,3600,03 Aug 2024
16,Jalana,Jalana,Gur(Jaggery),Yellow,FAQ,3470,3960,3750,05 Apr 2024
17,Jalana,Jalana,Gur(Jaggery),Yellow,FAQ,3511,4219,3851,27 Apr 2024
18,Jalana,Jalana,Gur(Jaggery),Yellow,FAQ,3801,3915,3900,13 Apr 2024
19,Satara,Karad,Gur(Jaggery),Other,FAQ,3500,4510,3800,08 Dec 2023
20,Satara,Karad,Gur(Jaggery),Other,FAQ,3600,4370,3800,12 Feb 2024
21,Satara,Karad,Gur(Jaggery),Other,FAQ,3800,5100,4100,04 Jan 2024
22,Satara,Karad,Gur(Jaggery),Other,FAQ,3800,5100,4100,27 Dec 2023
23,Satara,Karad,Gur(Jaggery),Other,FAQ,3800,5110,4100,24 Jan 2024
