0,1,2,3,4,5,6,7,8,9
1,Betul,Betul,Gur(Jaggery),Other,FAQ,2275,2281,2281,02 Feb 2016
2,Betul,Betul,Gur(Jaggery),Other,FAQ,2800,3351,3100,24 Jun 2016
3,Betul,Betul,Gur(Jaggery),Yellow,FAQ,2501,3091,2851,29 Apr 2016
4,Betul,Betul,Gur(Jaggery),Yellow,FAQ,2611,2675,2675,05 May 2016
5,Betul,Betul,Gur(Jaggery),Yellow,FAQ,3000,3370,3245,27 Jun 2016
6,Chhindwara,Chhindwara,Gur(Jaggery),Other,FAQ,1790,1805,1805,10 May 2016
7,Chhindwara,Chhindwara,Gur(Jaggery),Other,FAQ,1800,2000,1900,05 Jan 2016
8,Chhindwara,Chhindwara,Gur(Jaggery),Other,FAQ,1850,1860,1860,22 Jan 2016
9,Chhindwara,Chhindwara,Gur(Jaggery),Other,FAQ,2011,2025,2025,18 May 2016
10,Narsinghpur,Gotegaon,Gur(Jaggery),Yellow,FAQ,2000,2000,2000,14 Jun 2016
11,Narsinghpur,Gotegaon,Gur(Jaggery),Yellow,FAQ,2000,3000,2200,12 May 2016
12,Narsinghpur,Kareli,Gur(Jaggery),Red,FAQ,2000,2300,2100,23 Nov 2015
13,Narsinghpur,Kareli,Gur(Jaggery),Red,FAQ,2200,2500,2350,12 Oct 2015
14,Narsinghpur,Kareli,Gur(Jaggery),Red,FAQ,2500,2901,2840,18 Jul 2016
15,Betul,Multai,Gur(Jaggery),Other,FAQ,1300,2100,1700,03 Feb 2016
16,Betul,Multai,Gur(Jaggery),Other,FAQ,1340,2200,1650,15 Sep 2015
17,Betul,Multai,Gur(Jaggery),Other,FAQ,1400,1400,1400,18 Mar 2016
18,Betul,Multai,Gur(Jaggery),Other,FAQ,1400,1600,1500,25 Jan 2016
19,Betul,Multai,Gur(Jaggery),Other,FAQ,1500,1500,1500,18 Oct 2015
20,Betul,Multai,Gur(Jaggery),Other,FAQ,1500,1600,1550,27 Apr 2016
21,Betul,Multai,Gur(Jaggery),Other,FAQ,1600,1600,1600,17 Sep 2015
22,Betul,Multai,Gur(Jaggery),Other,FAQ,1600,1600,1600,24 Sep 2015
23,Betul,Multai,Gur(Jaggery),Other,FAQ,1600,1600,1600,31 Jul 2016
24,Betul,Multai,Gur(Jaggery),Other,FAQ,1600,1750,1740,07 Jul 2016
25,Betul,Multai,Gur(Jaggery),Other,FAQ,1600,2000,1600,30 Jul 2016
26,Betul,Multai,Gur(Jaggery),Other,FAQ,1800,1800,1800,03 Oct 2015
27,Betul,Multai,Gur(Jaggery),Other,FAQ,1800,1800,1800,04 Oct 2015
28,Chhindwara,Saunsar,Gur(Jaggery),Other,FAQ,1600,1600,1600,25 Apr 2016
29,Narsinghpur,Tendukheda,Gur(Jaggery),Other,FAQ,1800,2150,2000,10 Dec 2015
