0,1,2,3,4,5,6,7,8,9
1,Gajapati,Kasinagar,Gur(Jaggery),Achhu,FAQ,1800,2000,1900,23 Feb 2024
2,Gajapati,Kasinagar,Gur(Jaggery),Achhu,FAQ,4000,5000,5000,20 Mar 2024
3,Kalahandi,Kesinga,Gur(Jaggery),Other,FAQ,6000,6500,6200,15 Apr 2024
4,Kalahandi,Kesinga,Gur(Jaggery),Other,FAQ,6000,7000,6500,13 Jun 2024
5,Kalahandi,Kesinga,Gur(Jaggery),Other,FAQ,7000,7000,7000,17 May 2024
6,Kalahandi,Kesinga,Gur(Jaggery),Other,FAQ,7000,7000,7000,28 Aug 2024
7,Kalahandi,Kesinga,Gur(Jaggery),Other,FAQ,7000,7500,7200,27 May 2024
8,Kalahandi,Kesinga,Gur(Jaggery),Other,FAQ,7000,8000,7500,06 Mar 2024
9,Kalahandi,Kesinga,Gur(Jaggery),Other,FAQ,7000,8000,7500,24 Jun 2024
10,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,01 Aug 2024
11,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,01 Jun 2024
12,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,01 Sep 2023
13,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,02 Aug 2024
14,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,02 Jul 2024
15,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,02 Jun 2024
16,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,02 May 2024
17,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,02 Nov 2023
18,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,02 Oct 2023
19,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,02 Sep 2023
20,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,03 Jul 2024
21,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,03 Jun 2024
22,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,04 Aug 2024
23,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,04 Dec 2023
24,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,04 Jun 2024
25,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,04 Sep 2023
26,Nowarangpur,Nawarangpur,Gur(Jaggery),NO 2,FAQ,2000,2000,2000,05 Aug 2024
