0,1,2,3,4,5,6,7,8,9
1,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,3000,4200,3600,12 Nov 2024
2,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,3000,4200,3600,21 Nov 2024
3,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,3700,4000,3850,02 Dec 2024
4,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,3700,4000,3850,29 Nov 2024
5,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4000,4400,4200,17 Sep 2024
6,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4000,4500,4250,20 Sep 2024
7,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4000,4500,4250,24 Sep 2024
8,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4100,4500,4300,08 Oct 2024
9,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4100,4500,4300,26 Sep 2024
10,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4200,4500,4350,19 Sep 2024
11,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4200,4500,4350,23 Sep 2024
12,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4200,4500,4350,25 Sep 2024
13,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4200,4550,4375,05 Nov 2024
14,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4200,4550,4375,08 Nov 2024
15,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4200,4550,4375,16 Oct 2024
16,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4200,4550,4375,17 Oct 2024
17,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4200,4550,4375,18 Oct 2024
18,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,4300,4600,4450,06 Nov 2024
19,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,01 Aug 2024
20,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,01 Jul 2024
21,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,02 Aug 2024
22,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,02 Dec 2024
23,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,02 Nov 2024
24,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,02 Oct 2024
25,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,02 Sep 2024
26,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,03 Aug 2024
27,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,03 Jul 2024
28,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,03 Sep 2024
29,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,04 Jul 2024
30,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,04 Nov 2024
31,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,04 Oct 2024
32,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,04 Sep 2024
33,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,05 Aug 2024
34,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,05 Nov 2024
35,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,05 Oct 2024
36,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,05 Sep 2024
37,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,06 Sep 2024
38,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,07 Nov 2024
39,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,07 Oct 2024
40,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,07 Sep 2024
41,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,08 Aug 2024
42,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,08 Nov 2024
43,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,3500,3900,3700,09 Nov 2024
