0,1,2,3,4,5,6,7,8,9
1,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2275,2850,2510,11 Sep 2014
2,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2280,2810,2730,20 Feb 2015
3,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2290,2740,2730,02 Jan 2015
4,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2370,2780,2740,21 Mar 2015
5,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2390,2775,2725,07 Mar 2015
6,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2425,2910,2525,13 Oct 2014
7,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2610,2700,2690,01 Dec 2014
8,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2610,2710,2690,29 Dec 2014
9,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2600,2800,2700,03 Dec 2014
10,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2600,2800,2700,10 Feb 2015
11,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2600,2800,2700,18 Feb 2015
12,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2650,2700,2675,07 Jul 2015
13,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2650,2700,2675,10 Jul 2015
14,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2650,2850,2725,22 Jun 2015
15,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2700,2900,2800,04 Aug 2015
16,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2700,2900,2800,17 Dec 2014
17,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2700,2900,2800,19 Jan 2015
18,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2800,2900,2850,24 Apr 2015
19,Jaipur,Jaipur(Grain)(Chandpole),Gur(Jaggery),Other,FAQ,2600,2800,2700,09 Dec 2014
20,Jaipur,Jaipur(Grain)(Chandpole),Gur(Jaggery),Other,FAQ,2600,2800,2700,09 Feb 2015
21,Jaipur,Jaipur(Grain)(Chandpole),Gur(Jaggery),Other,FAQ,2600,2800,2700,23 Dec 2014
22,Jaipur,Jaipur(Grain)(Chandpole),Gur(Jaggery),Other,FAQ,2600,2850,2725,26 Jun 2015
23,Jaipur,Jaipur(Grain)(Chandpole),Gur(Jaggery),Other,FAQ,2700,2800,2750,10 Nov 2014
24,Jaipur,Jaipur(Grain)(Chandpole),Gur(Jaggery),Other,FAQ,2700,3000,2850,27 Aug 2015
25,Jaipur,Jaipur(Grain)(Chandpole),Gur(Jaggery),Other,FAQ,2700,3000,2850,29 Jul 2015
26,Chittorgarh,Kapasan,Gur(Jaggery),Yellow,FAQ,2300,2390,2350,10 Apr 2015
27,Chittorgarh,Kapasan,Gur(Jaggery),Yellow,FAQ,2600,2800,2700,04 May 2015
28,Chittorgarh,Kapasan,Gur(Jaggery),Yellow,FAQ,2750,2850,2800,05 May 2015
29,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,2000,2500,2350,09 Mar 2015
30,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,2000,2500,2350,20 Feb 2015
31,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,2400,2800,2600,28 Apr 2015
32,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,2565,2800,2715,03 Feb 2015
33,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,2600,2800,2700,16 Dec 2014
34,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,2600,2800,2725,25 Nov 2014
35,Udaipur,Udaipur (Grain),Gur(Jaggery),Other,FAQ,2625,2850,2755,31 Dec 2014
36,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,1950,2790,2130,17 Oct 2014
37,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,1975,2920,2235,27 Oct 2014
38,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2000,2500,2350,11 Nov 2014
39,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2110,2750,2710,02 May 2015
40,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2140,2785,2730,29 Jul 2015
41,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2210,2700,2670,26 Nov 2014
42,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2210,2890,2740,17 Jan 2015
43,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2250,2790,2425,25 Jul 2015
44,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2310,2710,2680,18 Feb 2015
45,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2310,2740,2730,18 Apr 2015
46,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2540,2740,2680,25 Aug 2015
47,Ajmer,Ajmer (Grain),Gur(Jaggery),Other,FAQ,2610,2740,2710,10 Dec 2014
48,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2500,2700,2600,24 Nov 2014
49,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2600,2800,2700,06 May 2015
50,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2600,2800,2700,26 Feb 2015
51,Jaipur,Jaipur (Grain),Gur(Jaggery),Other,FAQ,2600,2800,2700,29 Apr 2015
