0,1,2,3,4,5,6,7,8,9
1,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4200,4000,12 Aug 2024
2,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,01 Aug 2024
3,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,01 Jul 2024
4,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,02 Jul 2024
5,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,05 Aug 2024
6,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,06 Aug 2024
7,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,08 Jul 2024
8,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,09 Jul 2024
9,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,09 Sep 2024
10,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,11 Jul 2024
11,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,12 Jul 2024
12,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,20 Jul 2024
13,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,31 Jul 2024
14,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4400,4000,27 Jul 2024
15,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4500,4000,21 Aug 2024
16,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4200,4000,12 Aug 2024
17,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,01 Aug 2024
18,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,01 Jul 2024
19,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,02 Jul 2024
20,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,05 Aug 2024
21,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,06 Aug 2024
22,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,08 Jul 2024
23,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,09 Jul 2024
24,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,11 Jul 2024
25,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,12 Jul 2024
26,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,20 Jul 2024
27,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,31 Jul 2024
28,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4500,4000,21 Aug 2024
